"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_truth_mean","gamma_fixed_mean","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max"
"S2_DYNAMIC_FIXED_GAMMA_T100",1,100,9,164.013333333333,0,TRUE,TRUE,TRUE,0.8,0.8,0.672003565894424,1.512122179452,-1.55101809603453,-1.55384687270306,0.00945274444539213,-1.57245304856149,-1.55376963799745,-1.53487433701906,-0.0028287766685311,1,0.5,0.487941597115367,0.010564223121884,0.467835679377535,0.48785205341179,0.509147985756211,-0.012058402884633,1,-0.4,-0.397357794187495,0.00992154612519159,-0.416679277005968,-0.397239419234776,-0.378275253166338,0.00264220581250552,1,0.0259197607973179,0.99757913367001,-1.57474342208117e-16,15,15.3312376538205,0.33123765382051,10.8590652956782,15.1325364844901,20.9645178595994,1.46699047520195,-3432.08029192823,-4441.39422368715,0.2848,0.299972222222222,14.490475,225.36699999962,0.0578423422472464,0.0453046191268424,0.907777777777778,0.0573048543347875,0.0450648281079726,0.907777777777778,0.874135287884737,0.87374417634088,0.0218824153403847,0.016652065910533,0.229713574848174,0.672003565894424,1.512122179452,0.773036498813027,1.31036671311142
"S2_DYNAMIC_FIXED_GAMMA_T100",2,100,9,190.828888888889,0,TRUE,TRUE,TRUE,0.8,0.8,0.867134424629295,1.16408300862199,-1.52214568450129,-1.5246433927779,0.00889243855658603,-1.54232687787978,-1.5245716447866,-1.50699859997821,-0.00249770827661644,1,0.5,0.488004428970955,0.00976470678000593,0.469251027919089,0.487878615683583,0.507095668531483,-0.0119955710290454,1,-0.4,-0.415172921956613,0.00918617575498006,-0.433570066123615,-0.415268113674481,-0.396876938733009,-0.0151729219566132,1,0.0208660826126072,0.996766081107464,-3.00685402502647e-16,15,16.6352872117709,1.63528721177093,11.8935798221078,16.4303141500498,22.5099625900942,7.33791003195814,-3510.86749145699,-4552.1009400087,0.269325,0.317375,14.595075,225.321000000462,0.0452818470721485,0.0359623585935128,0.935555555555556,0.0453858673144512,0.0359533779937532,0.935555555555556,0.541840422366174,0.540696147826775,0.0191267814169854,0.0145830138477039,0.0953941568871271,0.867134424629295,1.16408300862199,0.902056590597963,1.08372335579725
"S2_DYNAMIC_FIXED_GAMMA_T100",3,100,9,230.316666666667,0,TRUE,TRUE,TRUE,0.8,0.8,0.77194753777953,1.17803573190334,-1.40397869793906,-1.40096390292822,0.00931117764132485,-1.41990499751435,-1.40089564550202,-1.38236220224045,0.00301479501084212,1,0.5,0.499801743648804,0.0102927123031596,0.479349348290418,0.499680952575634,0.519535200529623,-0.000198256351196469,1,-0.4,-0.409801265100635,0.0100612097298318,-0.42876654041933,-0.409896890699861,-0.389553242227925,-0.0098012651006345,1,0.0292818092400841,0.992035195829557,3.02227378925737e-16,15,14.9084867746918,-0.0915132253082138,10.7697452187831,14.7587765396028,19.9676613505993,6.30048781356744,-3572.21733899845,-4719.11639864558,0.25695,0.308813888888889,14.45085,229.785000000149,0.0385726595624404,0.0312589366899571,0.983333333333333,0.0389485700856297,0.0313855065807461,0.983333333333333,0.789084251537935,0.78610623680667,0.0177136468811185,0.0136284648890161,0.14538822653194,0.77194753777953,1.17803573190334,0.905670923415493,1.13426036229099
"S2_DYNAMIC_FIXED_GAMMA_T100",4,100,9,160.464444444444,0,TRUE,TRUE,TRUE,0.8,0.8,0.681134707604779,1.38501022163585,-1.59011227919885,-1.59464647062796,0.00937625289917795,-1.6130646455844,-1.59461152491577,-1.576252894356,-0.00453419142911038,1,0.5,0.505594215920471,0.0101521761078997,0.485805563156073,0.505403847738961,0.525793579989775,0.00559421592047094,1,-0.4,-0.412178442536471,0.0101120401949483,-0.431901098108559,-0.411997508673683,-0.39216562639668,-0.0121784425364709,1,0.0281804757954893,0.990651836273222,1.84266182559314e-16,15,15.4485502092706,0.448550209270568,10.9165309102005,15.2600752683459,21.0483390327757,7.95141072315083,-3426.29613707542,-4431.71033459912,0.230275,0.305575,14.4812,227.389999999665,0.0473534706122209,0.0365048340648707,0.947777777777778,0.0470379688786313,0.036503016676146,0.947777777777778,0.872789481274486,0.864958872804943,0.0210481188330264,0.0158803716693394,0.174426343170752,0.681134707604779,1.38501022163585,0.766451840944715,1.37847311415334
"S2_DYNAMIC_FIXED_GAMMA_T100",5,100,9,281.008888888889,0,TRUE,TRUE,TRUE,0.8,0.8,0.820762434234092,1.21437773334684,-1.53963015075169,-1.52829122626913,0.00919353924322452,-1.54635092924202,-1.52834018122495,-1.50950944150037,0.011338924482559,1,0.5,0.48886659626629,0.0100498817167865,0.469319112455445,0.488817141423755,0.508230499471226,-0.0111334037337101,1,-0.4,-0.398442285864398,0.00963276680396922,-0.417192699024335,-0.398388976817512,-0.379874031795819,0.00155771413560218,1,0.0245729007763066,0.998083640866376,1.21816137424149e-16,15,15.525636103308,0.525636103308038,11.1300180531447,15.3655559302411,20.8637004872332,1.42787461101793,-3613.97310860671,-4786.58200049969,0.253125,0.299055555555556,14.534975,226.774000000209,0.0465461787887531,0.0342445734001997,0.927777777777778,0.0471984856886868,0.0344427594640502,0.927777777777778,0.660686022862514,0.652124828959801,0.0185528168626866,0.0133985671415254,0.153449412353332,0.820762434234092,1.21437773334684,0.86120482461053,1.11849273631062
"S2_DYNAMIC_FIXED_GAMMA_T100",6,100,9,213.898888888889,0,TRUE,TRUE,TRUE,0.8,0.8,0.687019697752817,1.29212472395296,-1.44814607902023,-1.4594072884688,0.00912146780857625,-1.47732096670764,-1.4594270385973,-1.44103417355931,-0.0112612094485725,1,0.5,0.50408238494449,0.010542739051872,0.483512196314867,0.503962827623951,0.524864731263227,0.00408238494448987,1,-0.4,-0.40025811565641,0.0097689517119162,-0.419579657246526,-0.400329362355215,-0.381232369376262,-0.000258115656409819,1,0.0233889711365392,0.99756340396101,-2.23586581348122e-17,15,14.9035856738695,-0.0964143261304926,10.6729471351536,14.7653716022181,20.0277451221496,2.05242034939348,-3561.57565407258,-4693.4768859932,0.234875,0.3039,14.509375,227.202000000514,0.0410069477331579,0.0324901438644267,0.975555555555556,0.0408763274882136,0.0324392153038425,0.975555555555556,0.825936243640764,0.828697564786047,0.0171570968951477,0.0132612250079273,0.213701679806683,0.687019697752817,1.29212472395296,0.824581741903634,1.1710339694191
"S2_DYNAMIC_FIXED_GAMMA_T100",7,100,9,205.13,0,TRUE,TRUE,TRUE,0.8,0.8,0.773283088022971,1.46034747956778,-1.48655364988887,-1.47699913336532,0.00981831610815999,-1.4962242341515,-1.47687343560408,-1.45787751668557,0.00955451652355022,1,0.5,0.498963042932148,0.0109924939673632,0.47676870520024,0.49903436407266,0.520367454341679,-0.0010369570678519,1,-0.4,-0.391420394968259,0.00999357001293193,-0.410674814163924,-0.391419706737722,-0.371446984694223,0.00857960503174082,1,0.0162295856274079,0.999826612151691,1.70195647698613e-16,15,14.7623794696505,-0.237620530349528,10.4154592429188,14.5725139035787,20.1021129981903,2.03575390457469,-3433.40549815478,-4468.04200241797,0.256625,0.304588888888889,14.4133,223.758999999613,0.0516998044987671,0.0393602158689804,0.963333333333333,0.0506344908551931,0.0389703345486726,0.963333333333333,0.890786489057852,0.88736332598626,0.0229066117842324,0.0170180431711689,0.227622399653367,0.773283088022971,1.46034747956778,0.837185807680761,1.31493598444495
"S2_DYNAMIC_FIXED_GAMMA_T100",8,100,9,174.394444444444,0,TRUE,TRUE,TRUE,0.8,0.8,0.83253927762397,1.34519007743444,-1.5147890397372,-1.51269079895861,0.00945284925881612,-1.53154978109841,-1.51276342725836,-1.49397878614056,0.00209824077859433,1,0.5,0.516525047797177,0.0103187162712618,0.495961522878416,0.516617177309038,0.536514920973955,0.0165250477971768,1,-0.4,-0.396211149699392,0.009873776091481,-0.415687017044847,-0.396163348077533,-0.376756923762887,0.00378885030060844,1,0.0214194142850997,0.997794551899091,8.67361737988404e-18,15,15.1429139411957,0.142913941195717,10.7823389152418,14.9739860975766,20.478215283384,3.1281412838574,-3451.7087755357,-4485.16919323517,0.2499,0.301344444444444,14.50525,223.564000000246,0.0498070994301692,0.0395564488235454,0.942222222222222,0.0499104440835855,0.0396563608488622,0.942222222222222,0.769148873281561,0.758075392222093,0.0198370733764494,0.0150459726394574,0.175862303741363,0.83253927762397,1.34519007743444,0.858689548313193,1.2244210295705
"S2_DYNAMIC_FIXED_GAMMA_T100",9,100,9,178.144444444444,0,TRUE,TRUE,TRUE,0.8,0.8,0.619037333121575,1.50217806132883,-1.65564478525192,-1.65687241351102,0.0096124558869618,-1.67557479783212,-1.65677840085842,-1.63807222289132,-0.00122762825910039,1,0.5,0.489144169440569,0.0102642463896478,0.469298293017417,0.489151618846374,0.509366336523858,-0.010855830559431,1,-0.4,-0.403437826588362,0.00986353213461695,-0.42259693124645,-0.403420821964325,-0.384325513313359,-0.00343782658836211,1,0.0264404442111249,0.998998018588451,-2.86036626483287e-16,15,14.7886348621894,-0.211365137810619,10.3929234952125,14.6151407086177,20.2429060695764,0.753245421148989,-3444.84569414695,-4488.85665446842,0.241225,0.305255555555556,14.420675,220.987999999896,0.0486666625859565,0.0360044751567575,0.954444444444444,0.0475444828385449,0.0358229297664662,0.954444444444444,0.886473339877729,0.897630483924228,0.0238452473450258,0.0169912518478027,0.224661930409595,0.619037333121575,1.50217806132883,0.731069576771458,1.19446203427738
"S2_DYNAMIC_FIXED_GAMMA_T100",10,100,9,188.225555555556,0,TRUE,TRUE,TRUE,0.8,0.8,0.755548547412699,1.44251539876033,-1.67500995209964,-1.66722538748091,0.00931415854006788,-1.68569338754501,-1.66718406219622,-1.64901717164994,0.00778456461872734,1,0.5,0.530522543542839,0.0107156790351542,0.50896402456347,0.530414572945599,0.551138681752577,0.0305225435428392,0,-0.4,-0.393592343314443,0.00964383787398161,-0.412435900126982,-0.393705170435702,-0.374735427730381,0.00640765668555676,1,0.0456482017999292,0.99585759279956,-1.49571713039778e-16,15,15.0105614340464,0.0105614340464228,10.6448538852865,14.8359543781291,20.3108524605213,2.06358851201975,-3470.36321587211,-4523.82467188943,0.26835,0.302866666666667,14.480925,233.082000000402,0.0547472988117487,0.0420331286653718,0.921111111111111,0.0543753910347445,0.0420358855487255,0.921111111111111,0.754024703670407,0.750640920712365,0.0200003284025889,0.0150644659299198,0.241982416341139,0.755548547412699,1.44251539876033,0.863991267304794,1.18631782312758
