"scenario_id","rep_id","TT","n1","stress_type","exposure_stress_type","target_mean_multiplier","realized_mean_multiplier","realized_median_multiplier","realized_min_multiplier","realized_max_multiplier","realized_cv_multiplier","area_multiplier_cv","area_log_sd","time_log_sd","mean_exposure","median_exposure","min_exposure","max_exposure","exposure_cv","reference_mean_exposure","reference_min_exposure","reference_max_exposure","exposure_mean_ratio","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","q05_count","q25_count","q75_count","q95_count","count_exposure_cor_cell","count_exposure_cor_area","lowest_exposure_group_mean_count","lowest_exposure_group_zero_prop","highest_exposure_group_mean_count","highest_exposure_group_zero_prop","gamma_truth_mean","delta_truth","r_truth_mean","beta0_star","beta0_star_ident","lambda_raw_min","lambda_raw_median","lambda_raw_max","lambda_ident_min","lambda_ident_median","lambda_ident_max","lambda_ident_log_rm_mean","reference_mean_count","reference_zero_prop","coherent","file"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",1,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0444653517257887,0.0152726489322482,0.122614281750691,0.509592335731817,0.532722628145264,0.75,0.08,33.5651713492106,23.7608811548731,7.17849941745034,127.317803094487,0.772886513957123,656.841291469245,291.48251758498,1168.75170429396,0.051100885077019,9.01222222222223,5,0.115555555555556,0.884444444444444,8111,148,0,2,11,33,0.653832182647021,0.90987082054856,4.01,0.13,18.6533333333333,0,0.8,0.9,15,-1.5,-1.67581758101154,0.0842390914207052,1.05685542354555,1.6098143768284,0.666221989997869,0.997096196536622,1.81516555879515,5.7831825748009e-17,162.68,0,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep01.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",2,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0309840258232495,0.00837772394485892,0.164660320586808,0.819837367998273,0.862270673607883,0.75,0.08,33.410679098146,19.8656758544591,3.24837006841536,102.58411226621,0.785272211231672,724.026171419258,311.909192262216,1145.58825906128,0.0461456787296147,11.8966666666667,7,0.153333333333333,0.846666666666667,10707,142,0,1,17.25,38.05,0.554337803374902,0.776902312559401,1.49,0.446666666666667,20.9633333333333,0.00333333333333333,0.8,0.9,15,-1.5,-1.4656523234212,0.198607790466504,1.18975412470388,1.66174106327009,0.641218927388333,1.00221050230768,1.623511272448,8.37871438896798e-17,257.365555555556,0,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep02.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",3,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.0500031266270105,0.0209668836963757,0.005,0.197262495584007,1.05734468059829,1.11398313707913,0.75,0.08,41.2959998895333,18.1989089448566,4.0272816310446,168.846226450683,1.18511589009766,742.828380650023,328.087077787036,1123.59428988503,0.0555929215485771,8.39888888888887,3,0.13,0.87,7559,207,0,1,6,42.0999999999999,0.567818498190274,0.702829555502816,1.76666666666667,0.27,18.4066666666667,0.05,0.8,0.9,15,-1.5,-1.78194190506619,0.0354830172011052,1.04281539800945,2.18576446461718,0.66957094593915,1.00955307250133,1.44475245341837,2.56742929385625e-16,182.707777777778,0,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep03.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",4,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0395700998029248,0.0161256197803077,0.138238704099692,0.566803515910541,0.593423450789666,0.75,0.08,36.2560582069763,22.067952183965,7.01555428301969,122.346121466118,0.854245265689194,655.403339109013,367.078772207106,1225.33247695285,0.0553186962035692,5.90444444444444,3,0.187777777777778,0.812222222222222,5314,49,0,1,8,20,0.228362642362066,0.309976106068103,3.69333333333333,0.1,10.12,0.303333333333333,0.8,0.9,15,-1.5,-2.28036627476399,0.000473344384043854,0.877653235215205,1.46026670956317,0.148714873349531,0.995786141985016,4.92023393746212,8.70802272882424e-17,133.436666666667,0.0522222222222222,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep04.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",5,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.0500000022856939,0.0512690858506337,0.005,0.207871185221955,0.906917906530332,0.95459560228264,0.75,0.08,43.9201800451912,44.5415422154911,2.18739203448147,164.04132370272,0.850287624248096,887.757482377902,426.130275683098,1230.09755233465,0.0494731736054185,15.7822222222223,7,0.113333333333333,0.886666666666667,14204,173,0,3,18,67,0.512341636069782,0.640018063955672,3.56,0.31,35.9066666666667,0,0.8,0.9,15,-1.5,-1.37314237558449,0.605029805921024,1.20550695693825,1.68177691088246,0.741994020858652,1.00190048750493,1.28535281026071,5.28681072685543e-17,332.278888888889,0,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep05.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",6,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0372435765253111,0.022474621616377,0.140749458091567,0.63085415455699,0.661050570361701,0.75,0.08,36.9176993952045,28.4698834553481,8.74840211994612,100.56621021925,0.648279493233658,746.404876046611,362.395160911671,1195.19513601871,0.0494606889370041,9.36000000000001,5,0.0722222222222222,0.927777777777778,8424,88,0,2,11,33,0.657406137255662,0.909407816065241,3.57,0.1,18.7466666666667,0,0.8,0.9,15,-1.5,-1.7511894022961,0.288226577457566,1.02496948631914,1.60408648714487,0.761261087000651,1.0050190341872,1.29270978852057,1.16518002807937e-16,172.447777777778,0,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep06.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",7,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0313139952620817,0.0101723614757508,0.153447287539338,0.72552565271401,0.761025699142162,0.75,0.08,28.5217794138887,26.3667428766319,5.42604553501331,110.75301686773,0.823174305631986,604.23034726049,302.830619427248,1075.22122419596,0.0472034871191146,7.08888888888886,5,0.165555555555556,0.834444444444444,6380,60,0,1,10,22,0.419606321624723,0.628594631321543,5.11333333333333,0.2,7.73666666666667,0.286666666666667,0.8,0.9,15,-1.5,-8.325081040253,2.2250738585072e-308,1.18160630025568,1.65725419267295,4.20716072856158e-281,1.01313615167146,1.02906146131891e+26,3.84797903417599e-15,185.008888888889,0.0555555555555556,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep07.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",8,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0306570171240423,0.00768480652769944,0.161155955712165,0.823792077870926,0.866777473600976,0.75,0.08,29.0584015016246,25.9029566269232,3.22346186868074,94.186946038232,0.801431177341371,621.89731636801,314.497789568473,1013.89738560842,0.0467254010217166,7.54333333333335,3,0.191111111111111,0.808888888888889,6789,79,0,1,10.25,30,0.61135770653545,0.794537694419577,1.88,0.283333333333333,17.8433333333333,0.00333333333333333,0.8,0.9,15,-1.5,-1.8570761548057,0.102236345553197,1.09060104952809,1.63562877573759,0.562307034891257,1.00179794430644,1.47304675861128,1.47870720298056e-16,137.595555555556,0,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep08.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",9,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0454333712834411,0.00632711256741554,0.159926382743262,0.738410853188437,0.776454130335162,0.75,0.08,36.2165269144187,27.4083121086059,4.00362458464847,133.121411087979,0.872755737430909,712.142365341312,309.901526286,1190.94772781571,0.0508557399152359,9.33333333333332,6,0.0844444444444444,0.915555555555556,8400,122,0,2,12,31,0.0990724364558854,0.134715086761006,3.26333333333333,0.216666666666667,8.32,0.0166666666666667,0.8,0.9,15,-1.5,-1.46259269926043,0.552229257466157,1.10105541992036,1.35161792767436,0.780774909435344,1.00419891249988,1.24258812596504,4.3441330779517e-17,242.872222222222,0,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep09.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",10,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0385427185338542,0.00666675137998557,0.170395813810162,0.797170253369776,0.837904561427969,0.75,0.08,31.8983983592448,24.1913679524089,7.90925061920895,91.3654658038744,0.657284125303518,763.063890650379,418.182860098175,1236.7443949057,0.0418030505047972,11.2599999999999,7,0.0388888888888889,0.961111111111111,10134,139,1,3,13,43,0.465429341224246,0.582193672510412,6.06,0.08,19.77,0.00333333333333333,0.8,0.9,15,-1.5,-1.29605021652164,0.784014796234997,1.25946607001024,1.87467324440051,0.8155914724962,0.998551481899062,1.40511102208183,7.48465718415482e-17,283.385555555556,0,TRUE,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep10.rds"
