"scenario_id","rep_id","exposure_group","n_areas","area_ids","mean_exposure","median_exposure","mean_reference_exposure","mean_multiplier","area_multiplier_mean","area_multiplier_min","area_multiplier_max","mean_count","zero_prop","total_count","max_count","file"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",6,"G3_highest_exposure",3,"3,5,9",63.7109034178054,74.3454365254101,750.022173084092,0.0854320790325729,0.0854320790325729,0.0426631423307582,0.11655870302914,18.7466666666667,0,5624,88,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep06.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",7,"G1_lowest_exposure",3,"1,5,6",9.02884110182158,8.8916753966546,402.525872432352,0.0248010855930132,0.0248010855930132,0.0122807585502175,0.0337343763488696,5.11333333333333,0.2,1534,36,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep07.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",7,"G2_middle_exposure",3,"2,4,9",26.5035824309418,26.5538325210297,720.33183564044,0.0420351065397242,0.0420351065397242,0.0294056806157525,0.0663410948531906,8.41666666666667,0.01,2525,45,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep07.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",7,"G3_highest_exposure",3,"3,7,8",50.0329147089028,32.1876538852556,689.833333708679,0.0831638078672626,0.0831638078672626,0.0288371040320886,0.128008683898332,7.73666666666667,0.286666666666667,2321,60,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep07.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",8,"G1_lowest_exposure",3,"2,5,7",7.72914039840881,7.00640201618103,629.14056291365,0.0120611647307552,0.0120611647307552,0.00944658290418388,0.0151556521027899,1.88,0.283333333333333,564,14,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep08.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",8,"G2_middle_exposure",3,"1,6,9",24.7146137185692,26.0437096536809,639.233084941481,0.0465435814207548,0.0465435814207548,0.0279588141721876,0.0819117552415368,2.90666666666667,0.286666666666667,872,23,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep08.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",8,"G3_highest_exposure",3,"3,4,8",54.7314503878957,51.8408632824868,597.318301248897,0.09139525384849,0.09139525384849,0.0538357130200855,0.13774993685247,17.8433333333333,0.00333333333333333,5353,79,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep08.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",9,"G1_lowest_exposure",3,"2,8,9",10.8526205113792,6.37167337838124,518.623742801415,0.0248909590482418,0.0248909590482418,0.00779299728840326,0.0513837116434593,3.26333333333333,0.216666666666667,979,29,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep09.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",9,"G2_middle_exposure",3,"5,6,7",27.4482250374779,27.4083121086059,873.55569419863,0.0334914932285527,0.0334914932285527,0.0214618593008763,0.0457602587191492,16.4166666666667,0.02,4925,122,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep09.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",9,"G3_highest_exposure",3,"1,3,4",70.3487351943989,56.6817594020869,744.247659023892,0.0916175477232055,0.0916175477232055,0.0693343875271068,0.134618241415711,8.32,0.0166666666666667,2496,40,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep09.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",10,"G1_lowest_exposure",3,"3,6,7",13.5499803567978,13.8670932331392,822.744315666715,0.0210851741349249,0.0210851741349249,0.00825006170963479,0.0389636639631018,6.06,0.08,1818,38,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep10.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",10,"G2_middle_exposure",3,"1,4,5",24.4972296273136,24.1913679524089,657.588395062837,0.0414494189226492,0.0414494189226492,0.0197693477144915,0.062065048073044,7.95,0.0333333333333333,2385,69,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep10.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",10,"G3_highest_exposure",3,"2,8,9",57.6479850936231,62.2109396621759,808.858961221584,0.0874654069424259,0.0874654069424259,0.0323005745764865,0.138843360570664,19.77,0.00333333333333333,5931,139,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep10.rds"
