"scenario_id","data_scenario_id","rep_id","data_file","fit_file","fit_exists"
"S4A_ORACLE_LAMBDA_PHI_FIXED_GAMMA_DIAGNOSTIC_T100","S4A_SPARSE_COUNTS_OBS_T100",4,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep04.rds","./output_s4a_oracle_lambda_phi_fixed_gamma/S4A_ORACLE_LAMBDA_PHI_FIXED_GAMMA_DIAGNOSTIC_T100/fit_S4A_oracle_lambda_phi_fixed_gamma_rep04.rds",TRUE
"S4A_ORACLE_LAMBDA_PHI_FIXED_GAMMA_DIAGNOSTIC_T100","S4A_SPARSE_COUNTS_OBS_T100",7,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep07.rds","./output_s4a_oracle_lambda_phi_fixed_gamma/S4A_ORACLE_LAMBDA_PHI_FIXED_GAMMA_DIAGNOSTIC_T100/fit_S4A_oracle_lambda_phi_fixed_gamma_rep07.rds",TRUE
