"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta1",0.5,0.0539067877923847,-0.446093212207615,0.44642762110335,0,3.07096722341636,0.518394197065639,NA,"S4C","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.0897105084978328,0.310289491502167,0.311159315917314,0,3.25735744283585,0.54985777225462,NA,"S4C","rep02","old_kappa_conditioned"
"r_mean",3,1.21823034717232,-1.78176965282768,1.7848513331362,0,3.24048106613153,0.547008957821074,NA,"S4C","rep02","old_kappa_conditioned"
"beta0",-1.63700651766786,-1.25930415983967,0.377702357828191,0.401226523563196,0,2.987067004311,1.53418952456762,NA,"S4D","rep01","old_kappa_conditioned"
"beta1",0.5,0.160083052712632,-0.339916947287368,0.343795257328586,0,3.06103069639339,1.5721780669831,NA,"S4D","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.0711511042742612,0.328848895725739,0.329941819335067,0,3.94991812817676,2.0287201480257,NA,"S4D","rep01","old_kappa_conditioned"
"r_mean",15,3.55098890824002,-11.44901109176,11.4937052382847,0,3.2873625214886,1.68842451027888,NA,"S4D","rep01","old_kappa_conditioned"
"beta0",-1.6790670388564,-1.19557217510605,0.483494863750348,0.529934042902845,0,2.80074490055195,1.44591889550144,NA,"S4D","rep02","old_kappa_conditioned"
"beta1",0.5,0.187608587461877,-0.312391412538123,0.317341767166235,0,2.73270530213342,1.41079261856836,NA,"S4D","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.120708065337214,0.279291934662786,0.283672698005403,0,3.20347256838513,1.65383199195891,NA,"S4D","rep02","old_kappa_conditioned"
"r_mean",15,3.82832877910736,-11.1716712208926,11.2513613308271,0,3.45854872218491,1.78551818390672,NA,"S4D","rep02","old_kappa_conditioned"
"beta0",-1.99632149193617,-1.73205210881534,0.26426938312083,0.298995384607001,0,2.83403002409182,0.475428623399924,NA,"S4E","rep01","old_kappa_conditioned"
"beta1",0.5,0.225976476755772,-0.274023523244228,0.285562780185572,0,2.78730783073447,0.467590644309626,NA,"S4E","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.214932419525194,0.185067580474806,0.195596049985027,0,2.97844376132952,0.499655051388089,NA,"S4E","rep01","old_kappa_conditioned"
"r_mean",15,5.82285606726243,-9.17714393273757,9.4256572245355,0,3.11911787514183,0.523254131041179,NA,"S4E","rep01","old_kappa_conditioned"
"beta0",-1.33184447569743,-0.835386789986402,0.496457685711032,0.514770938827615,0,3.28202921017901,0.562762210250668,NA,"S4E","rep02","old_kappa_conditioned"
"beta1",0.5,0.132640006404182,-0.367359993595818,0.370606470811617,0,2.80821657226816,0.481518616644483,NA,"S4E","rep02","old_kappa_conditioned"
"beta2",-0.4,-0.0979416040485477,0.302058395951452,0.302263685451339,0,4.67875513332888,0.802255681298524,NA,"S4E","rep02","old_kappa_conditioned"
"r_mean",15,2.90229064618711,-12.0977093538129,12.1206423394928,0,3.60707126330899,0.618496444326502,NA,"S4E","rep02","old_kappa_conditioned"
