"scenario","beta0_bias","beta1_bias","beta2_bias","beta0_rmse","beta1_rmse","beta2_rmse","beta0_coverage95","beta1_coverage95","beta2_coverage95","ess_per_sec_beta0","ess_per_sec_beta1","ess_per_sec_beta2","baseline_logrisk_bias","baseline_logrisk_rmse","baseline_logrisk_coverage95","loglambda_rmse","loglambda_coverage95","ppc_mean_bias","ppc_mean_rmse","ppc_coverage90","ppc_coverage95","observed_zero_prop","predicted_zero_prop","logkappa_eta_cor_mean","logkappa_eta_abs_cor_mean","logkappa_eta_slope_mean"
"S1",1.0818367231079,-0.40759335015919,0.358913780201926,1.08584063586844,0.408141033024208,0.359335478053795,0,0,0,0.511231924609687,0.563424103645761,0.593165426612456,1.0818367231079,1.24776547325345,0.0205555555555556,0,1,273.878925925926,350.452066241106,0.877222222222222,0.919444444444445,0,0.004,0.588445330859123,0.588445330859123,3.73164516891888
"S2",0.582038324215708,-0.372568022182383,0.282721763872646,0.603035165504296,0.375316717390503,0.286449757209273,0,0,0,0.518627817248069,0.499078985864562,0.463579313188491,0.582038324215708,0.8273457788709,0.16,0.0902080743940951,0.758888888888889,135.251074074074,237.446102002636,0.852777777777778,0.895,0,0.000666666666666667,-0.0628673236305893,0.0808984523519649,-0.116286184927532
"S3",0.494577617807983,-0.359962697223397,0.282786509913555,0.520012377089144,0.361672386667388,0.286227074321521,0,0,0,0.398734998546006,0.451425371725658,0.428841488183646,0.494577617807983,0.743419813075628,0.178888888888889,0.126417157048081,0.668888888888889,107.749592592593,191.433016206973,0.863888888888889,0.902222222222222,0,0.000296296296296296,0.0239904319228587,0.161904756676634,0.0149198988267127
"S4A",-0.0733991236589837,-0.0613926558505611,0.0244350829482115,0.0771552224710746,0.0669658477165246,0.0373696789700461,0,0,1,1.11700789623889,0.875474073635152,1.54875862432291,-0.0733991236589842,0.157734065988429,0.693333333333333,0.183806478742806,0.928888888888889,0.0112592592592592,1.95467151735036,0.918888888888889,0.93,0.173333333333333,0.185777777777778,-0.00156356123504344,0.0433251881466787,0.00014514660539376
"S4B",-0.0714777735910909,-0.00883990227306661,0.00395062309416425,0.0847427187771795,0.030502862448718,0.0150583325949262,0.5,0.5,1,2.08762838761244,2.16859048181008,2.42368764598039,-0.0714777735910911,0.168682156996452,0.726666666666667,0.396678010301976,0.918888888888889,0.00633333333333339,5.10130569312013,0.876666666666667,0.907777777777778,0.165,0.168,0.186049810363335,0.191073867596345,0.0840163188306879
"S4C",0.571913747522046,-0.393347629573469,0.311895374503489,0.582195205512743,0.395163024303168,0.313074570006159,0,0,0,0.520630472751489,0.490188795609596,0.50519242975032,0.571913747522046,0.825344135347441,0.132222222222222,0.12085450211903,0.652222222222222,141.025925925926,298.956720203917,0.848333333333333,0.897777777777778,0.01,0.0108518518518519,-0.0704484324118025,0.19357881472421,0.136049297883085
"S4D",0.43059861078927,-0.326154179912746,0.304070415194262,0.465580283233021,0.33056851224741,0.306807258670235,0,0,0,1.49005421003453,1.49148534277573,1.84127606999231,0.43059861078927,0.736054104705182,0.25,0.0629551561338983,0.824074074074074,81.4237037037037,185.314445954253,0.831481481481481,0.894444444444444,0.00185185185185185,0.00308641975308642,0.0396645972266524,0.178718315526146,0.0651989700074278
"S4E",0.380363534415931,-0.320691758420023,0.243562988213129,0.406883161717308,0.328084625498595,0.248929867718183,0,0,0,0.519095416825296,0.474554630477054,0.650955366343306,0.380363534415931,0.583594810027751,0.198333333333333,0.112762530427089,0.645,90.4414814814815,178.102486065482,0.847777777777778,0.894444444444444,0.00277777777777778,0.00214814814814815,-0.0372277546475038,0.151100327300885,0.0251563124880014
