"scenario_label","scenario_family","parameter","covariate","metric","n","cor_abs_bias_metric","cor_signed_bias_metric"
"S4C overdispersion","S4C","beta2","x2","abs_cor_vec_x1_x2",10,-0.441152919063455,0.246034090909069
"S4C overdispersion","S4C","beta2","x2","abs_cor_bar_x1_x2",10,-0.565084087782892,0.35992620695026
"S4D short time","S4D","beta1","x1","mean_lag1",10,-0.011238347355999,-0.459523228048712
"S4D short time","S4D","beta1","x1","between_within_ratio",10,0.0693440787045481,-0.302042023814686
"S4D short time","S4D","beta1","x1","abs_cor_xbar_phi_ident",10,-0.255096193307462,-0.570694247901695
"S4D short time","S4D","beta1","x1","abs_cor_vec_x_log_lambda",10,-0.420872877420034,-0.272636306085751
"S4D short time","S4D","beta1","x1","signal_sd_beta_x",10,-0.181409822342341,-0.373682410148365
"S4D short time","S4D","beta1","x1","abs_cor_vec_x1_x2",10,-0.373301369822388,-0.278603037929421
"S4D short time","S4D","beta1","x1","abs_cor_bar_x1_x2",10,-0.366538879469519,-0.275415393577071
"S4D short time","S4D","beta2","x2","mean_lag1",0,NA,NA
"S4D short time","S4D","beta2","x2","between_within_ratio",0,NA,NA
"S4D short time","S4D","beta2","x2","abs_cor_xbar_phi_ident",10,0.568997645424562,-0.0391762239057676
"S4D short time","S4D","beta2","x2","abs_cor_vec_x_log_lambda",10,0.424421125338387,0.0646458648729488
"S4D short time","S4D","beta2","x2","signal_sd_beta_x",10,0.287721620824585,0.274931141628497
"S4D short time","S4D","beta2","x2","abs_cor_vec_x1_x2",10,0.348459650694024,0.620155184492363
"S4D short time","S4D","beta2","x2","abs_cor_bar_x1_x2",10,0.370250560304139,0.641587778831768
