"scenario_label","scenario_family","data_scenario_id","n_reps","TT_avg","n_cells_avg","mean_count_avg","zero_prop_avg","count_cv_avg","mean_lag1_x1_avg","mean_lag1_x2_avg","lag1_x1_minus_x2_avg","between_within_ratio_x1_avg","between_within_ratio_x2_avg","abs_cor_x1bar_phi_avg","abs_cor_x2bar_phi_avg","abs_cor_x2phi_minus_x1phi_avg","abs_cor_vec_x1_log_lambda_avg","abs_cor_vec_x2_log_lambda_avg","abs_cor_vec_x1_x2_avg","abs_cor_bar_x1_x2_avg","signal_sd_beta1_x1_avg","signal_sd_beta2_x2_avg"
"S3 control T100","S3","DGP_DYNAMIC_T100",20,100,900,196.819277777778,0,0.945919795759444,0.680434204840005,0.474129841652073,0.206304363187932,0.0469240484564752,0.0298999601941799,0.291353528208195,0.285787499353749,-0.00556602885444622,0.076875825712606,0.0375736949165155,0.0367981303402259,0.244289314462004,0.5,0.4
"S4A sparse counts","S4A","S4A_SPARSE_COUNTS_OBS_T100",10,100,900,2.999,0.241888888888889,1.19354360683078,0.682191312544443,NA,NA,0.0533591999133537,NA,0.234343537510268,0.282156755278121,0.0478132177678524,0.0502058576865753,2.54234835447121e-16,0.0593677775293196,0.286431068667082,0.5,0.399999999999999
"S4B low exposure","S4B","S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",10,100,900,9.558,0.125222222222222,1.37016558027184,0.682191312544443,NA,NA,0.0533591999133537,NA,0.234343537510268,0.282156755278121,0.0478132177678524,0.0502058576865753,2.54234835447121e-16,0.0593677775293196,0.286431068667082,0.5,0.399999999999999
"S4C overdispersion","S4C","S4C_STRONG_OVERDISPERSION_T100",10,100,900,210.594555555556,0.0124444444444444,1.30372405141149,0.682191312544443,NA,NA,0.0533591999133537,NA,0.234343537510268,0.282156755278121,0.0478132177678524,0.0502058576865753,2.54234835447121e-16,0.0593677775293196,0.286431068667082,0.5,0.399999999999999
"S4D short time","S4D","S4D_SHORT_TIME_T30",10,30,270,204.927407407407,0,1.01168463662261,0.602409092929453,NA,NA,0.196097879407361,NA,0.358237957943988,0.243310510212916,-0.114927447731072,0.0892354573572458,6.34502452554145e-16,0.0791198649901906,0.207292042555273,0.5,0.4
