"scenario_id","rep_id","data_file","stress_type","TT_short","TT_reference","TT_ratio_to_reference","n_cells","r_truth_mean","gamma_truth_mean","mean_count","median_count","zero_prop","total_count","max_count","count_sd","count_cv","variance_to_mean","q95_count","q99_count","kappa_cv","beta0_star_ident","phi_ident_sd","lambda_raw_min","lambda_raw_median","lambda_raw_max","log_lambda_sd","delta_log_lambda_sd","delta_log_lambda_abs_mean"
"S4D_SHORT_TIME_T30",1,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep01.rds","short_time_series",30,100,0.3,270,15,0.8,180.192592592593,115,0,48652,1427,209.510599719299,1.16270373107397,243.598755993175,523.75,1054.32,0.268555774770491,-1.68655237120595,0.808102909130279,0.099864169795867,1.15915838824795,1.6764080203374,0.783455416687845,0.0317773974552846,0.0211471105533957
"S4D_SHORT_TIME_T30",2,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep02.rds","short_time_series",30,100,0.3,270,15,0.8,208.085185185185,159.5,0,56183,984,171.948153341924,0.826335393309712,142.086844920678,532,791.29,0.262336619853746,-1.48067932076567,0.295666406030626,0.545479117605404,1.09984462867002,1.46782368284897,0.24982907792684,0.0242140521654901,0.0169814527859018
"S4D_SHORT_TIME_T30",3,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep03.rds","short_time_series",30,100,0.3,270,15,0.8,177.937037037037,134.5,0,48043,1574,173.76155445125,0.976533932140737,169.684054023166,441.649999999999,859.1,0.260662442957374,-1.66396785523235,0.597131436434456,0.115892486293922,1.15806400181371,1.48111159902648,0.710587429283607,0.0295634649007884,0.0205786279654215
"S4D_SHORT_TIME_T30",4,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep04.rds","short_time_series",30,100,0.3,270,15,0.8,222.97037037037,142.5,0,60202,1749,225.68527418729,1.01217607439235,228.433234875054,652.849999999999,1019.1,0.24943202029866,-1.36802829840638,0.192035261527271,0.78465965197555,1.16964854452715,1.76440566497658,0.178536096857874,0.0207700080284375,0.015352748731856
"S4D_SHORT_TIME_T30",5,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep05.rds","short_time_series",30,100,0.3,270,15,0.8,243.203703703704,194.5,0,65665,1246,171.462068337067,0.705014215350764,120.883195571076,539.099999999999,862.41,0.261929572370249,-1.4433484133027,0.332800612075615,0.556732888094667,1.12730488787573,1.72820267916691,0.28100201469946,0.0191124518495788,0.0140539244906553
"S4D_SHORT_TIME_T30",6,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep06.rds","short_time_series",30,100,0.3,270,15,0.8,224.011111111111,139,0,60483,1532,248.245104375382,1.108182103754,275.100782013343,714.099999999998,1263.65,0.272054447841738,-1.6194029214327,0.48490205134367,0.255409081052806,1.11889415784242,1.53517883088016,0.491591588762102,0.028138181132065,0.0185791104174602
"S4D_SHORT_TIME_T30",7,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep07.rds","short_time_series",30,100,0.3,270,15,0.8,225.648148148148,106,0,60925,1709,303.495028982973,1.34499233197214,408.198486773762,846.699999999999,1499.37,0.251519824922682,-1.52466887246553,0.869793960540378,0.162408860287777,1.21965176016873,1.41801855500315,0.535657089658513,0.0256668194888008,0.0185329073032249
"S4D_SHORT_TIME_T30",8,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep08.rds","short_time_series",30,100,0.3,270,15,0.8,188.488888888889,119.5,0,50892,1655,205.769093768801,1.0916775783537,224.63350598556,574.349999999999,1097.34,0.249043656133339,-1.49283208386163,0.459285650051751,0.526206765234341,1.04205917288938,1.43195166114828,0.249794832931519,0.0242465844564361,0.0179450087034462
"S4D_SHORT_TIME_T30",9,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep09.rds","short_time_series",30,100,0.3,270,15,0.8,220.840740740741,153.5,0,59627,1482,197.503772980307,0.894326709455162,176.632899394457,577.549999999999,912.38,0.259422746174416,-1.4569179028339,0.422165250800413,0.490614068563706,1.17070317286083,1.37728195715608,0.274075429730592,0.0245875258191097,0.0176034394440352
"S4D_SHORT_TIME_T30",10,"./data_s4d_short_time/S4D_SHORT_TIME_T30/data_rep10.rds","short_time_series",30,100,0.3,270,15,0.8,157.896296296296,106.5,0,42632,907,157.091703574557,0.994904296423587,156.291210818827,471.599999999999,700.42,0.277558083700662,-2.08327041168101,1.24513338718104,0.0201585917902548,1.06154037078704,1.36418600003538,1.17051815840808,0.0354846709958839,0.0231839907697594
