"scenario_id","rep_id","TT","n1","stress_type","exposure_stress_type","target_mean_multiplier","realized_mean_multiplier","realized_median_multiplier","realized_min_multiplier","realized_max_multiplier","realized_cv_multiplier","area_multiplier_cv","area_log_sd","time_log_sd","mean_exposure","median_exposure","min_exposure","max_exposure","exposure_cv","reference_mean_exposure","reference_min_exposure","reference_max_exposure","exposure_mean_ratio","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","q05_count","q25_count","q75_count","q95_count","count_exposure_cor_cell","count_exposure_cor_area","lowest_exposure_group_mean_count","lowest_exposure_group_zero_prop","highest_exposure_group_mean_count","highest_exposure_group_zero_prop","gamma_truth_mean","delta_truth","r_truth_mean","beta0_star","beta0_star_ident","lambda_raw_min","lambda_raw_median","lambda_raw_max","lambda_ident_min","lambda_ident_median","lambda_ident_max","lambda_ident_log_rm_mean","reference_mean_count","reference_zero_prop","coherent","x2_mode","x2_ar","x2_innov_sd","x2_found","x2_mean","x2_sd","x2_min","x2_max","x2_binary_like_prop","x2_empirical_ar1_mean","x2_empirical_ar1_median","file"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",1,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0444653517257887,0.0152726489322482,0.122614281750691,0.509592335731817,0.532722628145264,0.75,0.08,33.5651713492106,23.7608811548731,7.17849941745034,127.317803094487,0.772886513957123,656.841291469245,291.48251758498,1168.75170429396,0.051100885077019,8.29444444444444,5,0.224444444444444,0.775555555555556,7465,85,0,1,11,31.05,0.594352350270554,0.885678863918526,2.98,0.333333333333333,16.54,0.00333333333333333,0.8,0.9,15,-1.5,-2.13511540131423,0.00572250577087872,1.04898643760695,2.25929664939123,0.258601708347133,0.998241490670351,2.09912711965495,3.63904508378828e-16,152.006666666667,0.0122222222222222,TRUE,"continuous_time",0.5,0.8,TRUE,4.44089209850063e-17,1,-3.31941998193933,3.61099462690737,0,0.500702401548939,0.521452615502433,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep01.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",2,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0309840258232495,0.00837772394485892,0.164660320586808,0.819837367998273,0.862270673607883,0.75,0.08,33.410679098146,19.8656758544591,3.24837006841536,102.58411226621,0.785272211231672,724.026171419258,311.909192262216,1145.58825906128,0.0461456787296147,11.2677777777778,6,0.105555555555556,0.894444444444444,10141,139,0,2,15,41,0.5278362292183,0.87789895070593,1.95666666666667,0.293333333333333,19.1,0.00333333333333333,0.8,0.9,15,-1.5,-1.38506352666298,0.774654190759735,1.15860153633321,1.57783079727979,0.75293698671582,1.00050209411309,1.23171288561439,2.93426066623316e-17,228.057777777778,0,TRUE,"continuous_time",0.5,0.8,TRUE,9.76996261670138e-17,1,-3.32804966075023,3.24886634240592,0,0.471020565051243,0.452272363151258,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep02.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",3,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.0500031266270105,0.0209668836963757,0.005,0.197262495584007,1.05734468059829,1.11398313707913,0.75,0.08,41.2959998895333,18.1989089448566,4.0272816310446,168.846226450683,1.18511589009766,742.828380650023,328.087077787036,1123.59428988503,0.0555929215485771,10.7044444444445,4,0.134444444444444,0.865555555555556,9634,177,0,1,13,45,0.677398611280411,0.938390799399166,1.58666666666667,0.33,25.03,0,0.8,0.9,15,-1.5,-1.461673476828,0.668375148168514,1.0653411253295,1.76959198620119,0.782412894359852,1.00002499061911,1.27651777505022,5.8521860197342e-17,209.543333333333,0,TRUE,"continuous_time",0.5,0.8,TRUE,-4.61359345788676e-17,1,-3.70940587039777,3.3628449575703,0,0.451410892465294,0.452369002080297,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep03.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",4,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0395700998029248,0.0161256197803077,0.138238704099692,0.566803515910541,0.593423450789666,0.75,0.08,36.2560582069763,22.067952183965,7.01555428301969,122.346121466118,0.854245265689194,655.403339109013,367.078772207106,1225.33247695285,0.0553186962035692,6.49222222222222,4,0.131111111111111,0.868888888888889,5843,55,0,2,9,21,0.513008541130687,0.847925123421335,5.19666666666667,0.0533333333333333,11.5066666666667,0.00333333333333333,0.8,0.9,15,-1.5,-1.99893288975913,0.0214606500124003,0.697308156174293,1.33523584244554,0.368683096446175,1.00758969391781,2.48743034067827,2.94532916574515e-16,135.158888888889,0.00888888888888889,TRUE,"continuous_time",0.5,0.8,TRUE,4.51490696680897e-17,1,-3.52013067492084,3.42531225305197,0,0.478792173148008,0.460121702400557,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep04.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",5,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.0500000022856939,0.0512690858506337,0.005,0.207871185221955,0.906917906530332,0.95459560228264,0.75,0.08,43.9201800451912,44.5415422154911,2.18739203448147,164.04132370272,0.850287624248096,887.757482377902,426.130275683098,1230.09755233465,0.0494731736054185,17.7111111111111,5.5,0.16,0.84,15940,290,0,1,18,86.1499999999999,0.604150495939119,0.852285747132339,1.39,0.44,43.27,0.00666666666666667,0.8,0.9,15,-1.5,-1.56369881057473,0.563293865173621,0.921711233351976,1.48988402710663,0.812411870772345,1.00363767332967,1.1854649268604,7.91284476214176e-17,301.414444444444,0,TRUE,"continuous_time",0.5,0.8,TRUE,-4.97441594088994e-17,1,-3.85697558102622,3.08546381677699,0,0.491010886099061,0.504819942274288,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep05.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",6,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0372435765253111,0.022474621616377,0.140749458091567,0.63085415455699,0.661050570361701,0.75,0.08,36.9176993952045,28.4698834553481,8.74840211994612,100.56621021925,0.648279493233658,746.404876046611,362.395160911671,1195.19513601871,0.0494606889370041,11.35,6,0.0733333333333333,0.926666666666667,10215,124,0,3,14,45,0.66318466510167,0.967244504123485,3.29,0.206666666666667,21.8,0.00666666666666667,0.8,0.9,15,-1.5,-1.62820166799763,0.0981319076960104,1.12800104539093,1.55306906533243,0.671701905629369,1.00369731826595,1.39404054630323,1.96779321232694e-16,211.054444444444,0,TRUE,"continuous_time",0.5,0.8,TRUE,-1.92438657601694e-17,1,-2.7922870415046,2.90549111541309,0,0.509936183848334,0.512177790831771,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep06.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",7,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0313139952620817,0.0101723614757508,0.153447287539338,0.72552565271401,0.761025699142162,0.75,0.08,28.5217794138887,26.3667428766319,5.42604553501331,110.75301686773,0.823174305631986,604.23034726049,302.830619427248,1075.22122419596,0.0472034871191146,10.2788888888889,4,0.147777777777778,0.852222222222222,9251,144,0,1,12,45,0.725598660388436,0.94196113623889,1.37333333333333,0.36,22.05,0.05,0.8,0.9,15,-1.5,-1.66316248304008,0.233306126563407,1.05026246849152,1.54859536067072,0.664451469586054,1.00843301525104,1.45936769052892,7.37565872574761e-17,209.465555555556,0,TRUE,"continuous_time",0.5,0.8,TRUE,-2.368475785867e-17,1,-3.15479671329669,3.17616629233575,0,0.433517572431339,0.411979807479757,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep07.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",8,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0306570171240423,0.00768480652769944,0.161155955712165,0.823792077870926,0.866777473600976,0.75,0.08,29.0584015016246,25.9029566269232,3.22346186868074,94.186946038232,0.801431177341371,621.89731636801,314.497789568473,1013.89738560842,0.0467254010217166,9.13888888888889,3,0.187777777777778,0.812222222222222,8225,103,0,1,11,36.05,0.506122556194165,0.75512265861266,1.34,0.43,14.6133333333333,0.123333333333333,0.8,0.9,15,-1.5,-1.79725193697302,0.0645481684887387,0.985017320178688,1.40040684850713,0.51553310740229,0.996248166967459,2.20549534575597,1.62254469119697e-16,185.816666666667,0,TRUE,"continuous_time",0.5,0.8,TRUE,-5.42775700927854e-18,1,-2.74857454042641,2.81229935944405,0,0.485235053854419,0.52204721430941,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep08.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",9,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0454333712834411,0.00632711256741554,0.159926382743262,0.738410853188437,0.776454130335162,0.75,0.08,36.2165269144187,27.4083121086059,4.00362458464847,133.121411087979,0.872755737430909,712.142365341312,309.901526286,1190.94772781571,0.0508557399152359,9.35888888888886,5,0.113333333333333,0.886666666666667,8423,132,0,2,12,33,0.610187386002219,0.947691167130982,2.13,0.3,16.7233333333333,0.0166666666666667,0.8,0.9,15,-1.5,-1.60166652979271,0.317037871278204,1.08293003978693,2.09268298653263,0.731822629805188,0.993923746232133,1.31998233744889,8.751246255434e-17,194.292222222222,0,TRUE,"continuous_time",0.5,0.8,TRUE,-5.9211894646675e-17,1,-3.31025976150639,3.65845536708981,0,0.466240347271394,0.469724236734233,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep09.rds"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100",10,100,9,"low_exposure","low_heterogeneous_exposure",0.05,0.05,0.0385427185338542,0.00666675137998557,0.170395813810162,0.797170253369776,0.837904561427969,0.75,0.08,31.8983983592448,24.1913679524089,7.90925061920895,91.3654658038744,0.657284125303518,763.063890650379,418.182860098175,1236.7443949057,0.0418030505047972,8.46777777777777,5,0.0844444444444444,0.915555555555556,7621,123,0,2,10,31,0.454450803806593,0.689422620816237,3.45,0.17,13.67,0.04,0.8,0.9,15,-1.5,-1.60878847912896,0.293037070827604,1.09124272393877,1.55911405390598,0.672952675047904,0.999322478714037,1.70989759174562,8.38420767997524e-17,213.9,0,TRUE,"continuous_time",0.5,0.8,TRUE,-1.25825276124184e-16,1,-3.10530343206034,2.86607339270364,0,0.488604066010629,0.501570299783497,"./data_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_CONTINUOUS_X2_T100/data_rep10.rds"
