"scenario_id","legacy_source_data_scenario_id","rep_id","data_file","status"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",1,"./data_revised/DGP_DYNAMIC_T100/data_rep01.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",2,"./data_revised/DGP_DYNAMIC_T100/data_rep02.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",3,"./data_revised/DGP_DYNAMIC_T100/data_rep03.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",4,"./data_revised/DGP_DYNAMIC_T100/data_rep04.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",5,"./data_revised/DGP_DYNAMIC_T100/data_rep05.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",6,"./data_revised/DGP_DYNAMIC_T100/data_rep06.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",7,"./data_revised/DGP_DYNAMIC_T100/data_rep07.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",8,"./data_revised/DGP_DYNAMIC_T100/data_rep08.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",9,"./data_revised/DGP_DYNAMIC_T100/data_rep09.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",10,"./data_revised/DGP_DYNAMIC_T100/data_rep10.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",11,"./data_revised/DGP_DYNAMIC_T100/data_rep11.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",12,"./data_revised/DGP_DYNAMIC_T100/data_rep12.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",13,"./data_revised/DGP_DYNAMIC_T100/data_rep13.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",14,"./data_revised/DGP_DYNAMIC_T100/data_rep14.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",15,"./data_revised/DGP_DYNAMIC_T100/data_rep15.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",16,"./data_revised/DGP_DYNAMIC_T100/data_rep16.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",17,"./data_revised/DGP_DYNAMIC_T100/data_rep17.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",18,"./data_revised/DGP_DYNAMIC_T100/data_rep18.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",19,"./data_revised/DGP_DYNAMIC_T100/data_rep19.rds","existing_or_copied"
"DGP_DYNAMIC_T100","S2_DYNAMIC_FIXED_GAMMA_T100",20,"./data_revised/DGP_DYNAMIC_T100/data_rep20.rds","existing_or_copied"
