"scenario_id","rep_id","TT_short","n_cells","mean_count","zero_prop","count_cv","x2_mode","mean_x2_within_sd","min_x2_within_sd","mean_lag1_x2","beta0_mean","beta1_mean","beta2_mean","r_mean","log_lambda_rmse","cor_log_lambda","cor_delta_log_lambda","phi_rmse","phi_cor","log_kappa_rmse","cor_log_kappa","beta_guard","kappa_guard","lambda_input_guard","lambda_output_guard","fit_status","nonfailed","stable_fit"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",1,30,270,169.977777777778,0.0037037037037037,0.914813696467264,"continuous_time",0.968441280201895,0.865316599167168,0.303608846639784,-1.64743373416273,0.481651804610273,-0.429027503066785,18.0871635668206,0.0537333860773421,0.240187892084957,0.0354818168634324,0.0553116296631551,0.997755413022699,0.130079567900871,0.863385296929166,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",2,30,270,180.344444444444,0,0.969555678238045,"continuous_time",0.958917218673873,0.587157969043721,0.410217829299142,-1.70127497169195,0.501935962126676,-0.41502787408627,14.9031528182697,0.0495072375391188,0.476178556050541,0.0595216350608243,0.0305101592603797,0.99929615228091,0.116564050326593,0.900706129118684,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",3,30,270,262.07037037037,0,1.13795384253241,"continuous_time",0.96379624528203,0.697592624807334,0.446425895466591,-1.32867887362088,0.51324614092966,-0.404365186044508,13.3158204587267,0.0456399215427255,0.349142588072636,0.12655201593205,0.0315354860387571,0.996228336284081,0.0933540567520257,0.944066142690412,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",4,30,270,154.296296296296,0,0.868600290630731,"continuous_time",0.968165353613314,0.873932828292156,0.473990032952982,-1.65335719424668,0.508573481461621,-0.431159121617993,15.0267552726864,0.0447212281030099,0.378066815452133,0.199213667204688,0.0590316590254094,0.990476199106098,0.123021024671273,0.897443791818558,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",5,30,270,272.874074074074,0,1.06774804458002,"continuous_time",0.972350709642739,0.715171004215336,0.439842875894594,-1.68445212368353,0.511885862090935,-0.39455535889481,18.5823440967628,0.0391397246199426,0.516217526719263,0.0803270600122599,0.0440609076819115,0.998680142498567,0.101211324595889,0.912534694419378,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",6,30,270,217.725925925926,0,1.22024595119418,"continuous_time",0.941697919634106,0.643721521049692,0.402199639356612,-1.70551585182396,0.525491958537676,-0.398929767415534,13.9916409458621,0.0351607718541321,0.7553549054667,0.314879376721644,0.0320587281039806,0.999363688464019,0.107397657710382,0.921029371833286,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",7,30,270,131.248148148148,0.037037037037037,0.970396628922533,"continuous_time",0.998960164476897,0.850086928257052,0.421547404153151,-2.10392275295112,0.53114179467501,-0.395969086056655,15.4416801861197,0.0987274268593502,0.968812211902023,0.510239115591029,0.0879853401680914,0.99923577584233,0.154072519137526,0.843868099589903,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",8,30,270,139.237037037037,0.00740740740740741,0.992507111306846,"continuous_time",0.969529245133164,0.759339554174127,0.419847034165247,-1.89514076692636,0.539286555855199,-0.380399023130937,16.0278709839556,0.0666129719019681,0.725387078637081,0.456223434654295,0.0490658432397348,0.998706858094094,0.135168498249819,0.842701142235347,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",9,30,270,237.322222222222,0,1.31799526544221,"continuous_time",0.951633534843582,0.829312516290793,0.484134796555879,-1.88590268030152,0.459007192473072,-0.423214582250394,14.5056852483973,0.0624024649376209,0.57714872303519,0.427749289717419,0.0566502307838668,0.999079844109655,0.148850216485193,0.850892177976267,0,0,0,0,"stable",TRUE,TRUE
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",10,30,270,256.574074074074,0,1.16054659954343,"continuous_time",0.968355849890112,0.731966498587249,0.42427969453568,-1.49988371157702,0.492591987112514,-0.382300654352565,15.4677067701584,0.0392147031765955,0.336490244782878,0.0997302631648331,0.043435598580543,0.997216329646304,0.103225142972479,0.912971270083902,0,0,0,0,"stable",TRUE,TRUE
