"subset","n","TT_short_avg","TT_ratio_to_reference_avg","n_cells_avg","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","cor_delta_log_lambda_avg","lambda_coverage_95_avg","log_lambda_sd_truth_avg","delta_log_lambda_sd_truth_avg","lambda_raw_median_avg","lambda_raw_max_avg","mean_x2_within_sd_avg","min_x2_within_sd_avg","mean_lag1_x2_avg","TT_short_sd","TT_ratio_to_reference_sd","n_cells_sd","lambda_rmse_sd","log_lambda_rmse_sd","cor_log_lambda_sd","cor_delta_log_lambda_sd","lambda_coverage_95_sd","log_lambda_sd_truth_sd","delta_log_lambda_sd_truth_sd","lambda_raw_median_sd","lambda_raw_max_sd","mean_x2_within_sd_sd","min_x2_within_sd_sd","mean_lag1_x2_sd"
"all_sampled_lambda",10,30,0.3,270,0.0541846157566176,0.0534859836611806,0.53229865422034,0.230991767492247,0.933333333333333,0.75217567836273,0.0343080806081893,1.13191383499427,1.49121463676695,0.966184752139171,0.755359804388463,0.422609404901966,0,0,0,0.0204389332912406,0.0188508204466949,0.227059500003119,0.180718360353682,0.028741843769933,0.439540198611779,0.0214454050925561,0.0675373464044314,0.0804338842728327,0.0149332797036329,0.0982414971671244,0.049477662131218
"stable_only",10,30,0.3,270,0.0541846157566176,0.0534859836611806,0.53229865422034,0.230991767492247,0.933333333333333,0.75217567836273,0.0343080806081893,1.13191383499427,1.49121463676695,0.966184752139171,0.755359804388463,0.422609404901966,0,0,0,0.0204389332912406,0.0188508204466949,0.227059500003119,0.180718360353682,0.028741843769933,0.439540198611779,0.0214454050925561,0.0675373464044314,0.0804338842728327,0.0149332797036329,0.0982414971671244,0.049477662131218
"stable_plus_soft_warning",10,30,0.3,270,0.0541846157566176,0.0534859836611806,0.53229865422034,0.230991767492247,0.933333333333333,0.75217567836273,0.0343080806081893,1.13191383499427,1.49121463676695,0.966184752139171,0.755359804388463,0.422609404901966,0,0,0,0.0204389332912406,0.0188508204466949,0.227059500003119,0.180718360353682,0.028741843769933,0.439540198611779,0.0214454050925561,0.0675373464044314,0.0804338842728327,0.0149332797036329,0.0982414971671244,0.049477662131218
"numerical_instability",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
