"scenario_id","rep_id","x2_mode","mean_x2_within_sd","min_x2_within_sd","mean_lag1_x2","beta2_mean","log_lambda_rmse","cor_log_lambda","fit_status"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",1,"continuous_time",0.968441280201895,0.865316599167168,0.303608846639784,-0.429027503066785,0.0537333860773421,0.240187892084957,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",2,"continuous_time",0.958917218673873,0.587157969043721,0.410217829299142,-0.41502787408627,0.0495072375391188,0.476178556050541,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",3,"continuous_time",0.96379624528203,0.697592624807334,0.446425895466591,-0.404365186044508,0.0456399215427255,0.349142588072636,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",4,"continuous_time",0.968165353613314,0.873932828292156,0.473990032952982,-0.431159121617993,0.0447212281030099,0.378066815452133,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",5,"continuous_time",0.972350709642739,0.715171004215336,0.439842875894594,-0.39455535889481,0.0391397246199426,0.516217526719263,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",6,"continuous_time",0.941697919634106,0.643721521049692,0.402199639356612,-0.398929767415534,0.0351607718541321,0.7553549054667,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",7,"continuous_time",0.998960164476897,0.850086928257052,0.421547404153151,-0.395969086056655,0.0987274268593502,0.968812211902023,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",8,"continuous_time",0.969529245133164,0.759339554174127,0.419847034165247,-0.380399023130937,0.0666129719019681,0.725387078637081,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",9,"continuous_time",0.951633534843582,0.829312516290793,0.484134796555879,-0.423214582250394,0.0624024649376209,0.57714872303519,"stable"
"S4D_SHORT_TIME_FIXED_GAMMA_T30_CONTINUOUS_X2",10,"continuous_time",0.968355849890112,0.731966498587249,0.42427969453568,-0.382300654352565,0.0392147031765955,0.336490244782878,"stable"
