"subset","n","TT_short_avg","n_cells_avg","phi_rmse_avg","phi_mae_avg","phi_cor_avg","phi_ident_sd_avg","tau_phi_mean_avg","TT_short_sd","n_cells_sd","phi_rmse_sd","phi_mae_sd","phi_cor_sd","phi_ident_sd_sd","tau_phi_mean_sd"
"all_sampled_lambda",10,30,270,0.0489645582545829,NA,0.997603873934876,0.876306764857183,0.762678936549748,0,0,0.0173464461715792,NA,0.00270896208108477,0.392663407047485,0.888921328020895
"stable_only",10,30,270,0.0489645582545829,NA,0.997603873934876,0.876306764857183,0.762678936549748,0,0,0.0173464461715792,NA,0.00270896208108477,0.392663407047485,0.888921328020895
"stable_plus_soft_warning",10,30,270,0.0489645582545829,NA,0.997603873934876,0.876306764857183,0.762678936549748,0,0,0.0173464461715792,NA,0.00270896208108477,0.392663407047485,0.888921328020895
"numerical_instability",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
