"subset","n_reps","reps","lambda_rmse_mean","lambda_rmse_median","lambda_rmse_max","log_lambda_rmse_mean","log_lambda_rmse_median","log_lambda_rmse_max","cor_log_lambda_mean","cor_delta_log_lambda_mean","lambda_coverage_95_mean","log_lambda_coverage_95_mean","stored_prop_at_lower_mean","stored_prop_at_upper_mean","log_lambda_max_stored_max"
"all",10,"1,2,3,4,5,6,7,8,9,10",2290.76436553165,0.279058708428107,22901.4303450573,0.747966022267996,0.232529145200974,3.85758698121959,0.273841127035417,0.0460618947512909,0.982888888888889,0.982888888888889,9.77777777777781e-06,0,16.0605048173529
"stable",6,"2,3,5,6,7,9",0.220154779652992,0.200094800815892,0.285733982359213,0.197221288504018,0.187010776251173,0.257006232774966,0.228783582272971,0.029841034300417,0.994074074074074,0.994074074074074,0,0,3.2581780937515
"stable_plus_soft",6,"2,3,5,6,7,9",0.220154779652992,0.200094800815892,0.285733982359213,0.197221288504018,0.187010776251173,0.257006232774966,0.228783582272971,0.029841034300417,0.994074074074074,0.994074074074074,0,0,3.2581780937515
"numerical_instability",4,"1,4,8,10",5726.58068165965,2.15909524112676,22901.4303450573,1.57408312291396,0.931880282092751,3.85758698121959,0.341427444179086,0.0703931854276018,0.966111111111111,0.966111111111111,2.44444444444445e-05,0,16.0605048173529
