"subset","n_reps","reps","mean_count_avg","median_count_avg","zero_prop_avg","total_count_sum","max_count_max","beta0_truth_avg","beta0_mean_avg","beta0_between_rep_sd","beta0_bias_avg","beta0_abs_bias_avg","beta0_coverage_rate","beta1_truth_avg","beta1_mean_avg","beta1_between_rep_sd","beta1_bias_avg","beta1_abs_bias_avg","beta1_coverage_rate","beta2_truth_avg","beta2_mean_avg","beta2_between_rep_sd","beta2_bias_avg","beta2_abs_bias_avg","beta2_coverage_rate","r_truth_avg","r_mean_avg","r_between_rep_sd","r_bias_avg","r_abs_bias_avg","r_coverage_rate","lambda_rmse_mean","log_lambda_rmse_mean","cor_log_lambda_mean","cor_delta_log_lambda_mean","lambda_coverage_95_mean","log_lambda_coverage_95_mean","beta_guard_total","kappa_guard_total","lambda_input_guard_total","lambda_output_guard_total","lambda_output_guard_rate_mean"
"all",10,"1,2,3,4,5,6,7,8,9,10",2.90544444444444,1.7,0.248888888888889,26149,61,-5.93435552020714,-6.16957853092843,0.611040545728805,-0.235223010721288,0.235223010721288,0.3,0.5,0.492719080542561,0.0325032086860986,-0.00728091945743864,0.0272124873719447,0.9,-0.4,-0.385285732375151,0.0231195624272516,0.0147142676248488,0.0221779297266006,1,15,16.5129983815115,1.55404432996873,1.51299838151146,1.80670460140658,1,2290.76436553165,0.747966022267996,0.273841127035417,0.0460618947512909,0.982888888888889,0.982888888888889,0,3,0,902461,0.00250683611111111
"stable",6,"2,3,5,6,7,9",3.19055555555556,2,0.213703703703704,17229,61,-5.80057774914935,-5.86019281585471,0.115185290129027,-0.0596150667053575,0.0596150667053575,0.5,0.5,0.493495657552426,0.0407075663045136,-0.00650434244757409,0.0332944766099147,0.833333333333333,-0.4,-0.377705169034854,0.0120193992369939,0.0222948309651457,0.0222948309651457,1,15,17.5031262371996,0.95277736237183,2.50312623719961,2.50312623719961,1,0.220154779652992,0.197221288504018,0.228783582272971,0.029841034300417,0.994074074074074,0.994074074074074,0,0,0,0,0
"stable_plus_soft",6,"2,3,5,6,7,9",3.19055555555556,2,0.213703703703704,17229,61,-5.80057774914935,-5.86019281585471,0.115185290129027,-0.0596150667053575,0.0596150667053575,0.5,0.5,0.493495657552426,0.0407075663045136,-0.00650434244757409,0.0332944766099147,0.833333333333333,-0.4,-0.377705169034854,0.0120193992369939,0.0222948309651457,0.0222948309651457,1,15,17.5031262371996,0.95277736237183,2.50312623719961,2.50312623719961,1,0.220154779652992,0.197221288504018,0.228783582272971,0.029841034300417,0.994074074074074,0.994074074074074,0,0,0,0,0
"numerical_instability",4,"1,4,8,10",2.47777777777778,1.25,0.301666666666667,8920,47,-6.13502217679383,-6.63365710353902,0.78702051456432,-0.498634926745185,0.498634926745185,0,0.5,0.491554215027765,0.0201126106714422,-0.00844578497223548,0.0180895035149897,1,-0.4,-0.396656577385597,0.0327939201835401,0.00334342261440332,0.022002577868783,1,15,15.0278065979792,0.911274372364773,0.0278065979792443,0.762072147717031,1,5726.58068165965,1.57408312291396,0.341427444179086,0.0703931854276018,0.966111111111111,0.966111111111111,0,3,0,902461,0.00626709027777778
