"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","stress_type","x2_mode","x2_ar","x2_innov_sd","sparse_beta0_shift","expected_count_multiplier","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","s4a_beta_guard_count","s4a_kappa_guard_count","s4a_lambda_input_guard_count","s4a_lambda_output_guard_count"
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",1,100,9,2.22555555555556,0.358888888888889,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.258601708347133,2.09912711965495,-6.38511540131423,-7.77578176927209,0.237515463747305,-8.23344836596614,-7.77609243984268,-7.29547048291605,-1.39066636795787,0,0.5,0.519287437085508,0.0349020546592753,0.451283854430984,0.519353187510702,0.587210260840624,0.0192874370855084,1,-0.4,-0.400562536168505,0.0319376731655741,-0.464002228219344,-0.400841193817953,-0.336861108203252,-0.000562536168505268,1,3.64792440987511,0.942824706898733,5.42775700927854e-16,15,14.4117056295512,-0.588294370448775,3.86458732907265,11.8405763170423,39.4790083815232,0.0129761885916212,-1244.13144868389,-1317.14976446493,0.262375,0.312805555555556,12.37495,230.963,22901.4303450573,3465.99562567181,0.923333333333333,3.85758698121959,1.2310061242064,0.923333333333333,0.00160163976237736,0.0751863289783521,0.261100924684097,0.0923384491688104,0.0192289684667426,0.258601708347133,2.09912711965495,0.156264574550485,292605.347021194,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,152.006666666667,0.0122222222222222,2.22555555555556,0.358888888888889,2003,19,0,3,0,800224
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",2,100,9,3.13,0.173333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.75293698671582,1.23171288561439,-5.63506352666298,-5.71152027220363,0.0266823562080167,-5.7639766701245,-5.71180356200252,-5.65945259598764,-0.0764567455406553,0,0.5,0.455878209639341,0.0281801922041577,0.400416636103703,0.455900912678622,0.50952240616796,-0.0441217903606592,1,-0.4,-0.369722218190925,0.0250820182356212,-0.418409468826333,-0.369360243619684,-0.321106329317031,0.0302777818090747,1,0.11602485029537,0.977686627240568,-1.35693925231964e-16,15,17.8513452478808,2.85134524788084,5.75736981149569,15.3909156633501,43.834420887151,2.02738654762667,-1558.2058524768,-1640.46146486033,0.274325,0.308780555555556,12.783925,227.535,0.190874007676558,0.139997313429472,0.987777777777778,0.174741512082379,0.136183017029533,0.987777777777778,0.400343468888851,0.379744068136505,0.0395649089666572,0.0298451509031115,0.0471243193176291,0.75293698671582,1.23171288561439,0.692990329221463,1.98592935926791,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,228.057777777778,0,3.13,0.173333333333333,2817,30,0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",3,100,9,2.91111111111111,0.175555555555556,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.782412894359852,1.27651777505022,-5.711673476828,-5.76828940152923,0.0271677306028507,-5.82363177662861,-5.76803503159153,-5.71677593082786,-0.0566159247012274,0,0.5,0.443775504269557,0.0281308862421735,0.388880258397477,0.443824643054577,0.499503737270636,-0.056224495730443,0,-0.4,-0.362670533049631,0.0277097781329446,-0.417839429012932,-0.362424799089298,-0.309432946490838,0.0373294669503687,1,0.0862695280021083,0.955201334851776,-5.55111512312578e-17,15,16.4182355260204,1.41823552602035,5.34397815101018,13.9578196430806,40.9615292728323,2.76621904626401,-1544.23721827879,-1628.02964831395,0.25475,0.304894444444444,12.739825,228.408,0.180896189693579,0.128714861996112,0.995555555555556,0.180475277645181,0.124800476275732,0.995555555555556,0.153379352833622,0.125917369061974,0.042591866936008,0.0309395883544224,0.0403336837192717,0.782412894359852,1.27651777505022,0.44705110431415,1.79150235427146,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,209.543333333333,0,2.91111111111111,0.175555555555556,2620,22,0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",4,100,9,1.95777777777778,0.312222222222222,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.368683096446175,2.48743034067827,-6.24893288975913,-6.38291093944675,0.068631335435491,-6.52351000761784,-6.37861203790006,-6.253670964731,-0.133978049687625,0,0.5,0.473723035833918,0.0335767203019863,0.408712922488348,0.474195236603794,0.540505006947403,-0.0262769641660822,1,-0.4,-0.349307999033627,0.0322240149686979,-0.412536103529031,-0.348960824159565,-0.285400209667751,0.0506920009663727,1,0.311943521810244,0.991778076875545,-8.78926561161582e-17,15,16.0405098905249,1.04050989052486,4.24290523578897,13.372497376456,43.3597325499801,0.136520261945931,-1290.78589208009,-1350.78918165409,0.261425,0.301311111111111,12.36125,225.272,1.12491662755252,0.428326432300412,0.995555555555556,0.574984946250765,0.262035408129424,0.995555555555556,0.533590808035574,0.522501741230394,0.128283445203842,0.0575945364275681,0.151018755497746,0.368683096446175,2.48743034067827,0.392543665150598,10.3124284574952,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,135.158888888889,0.00888888888888889,1.95777777777778,0.312222222222222,1762,16,0,0,0,10836
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",5,100,9,4.36444444444444,0.173333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.812411870772345,1.1854649268604,-5.81369881057473,-5.81949065635036,0.0264681117894265,-5.87245493346994,-5.81920018278233,-5.76741139175133,-0.00579184577563918,1,0.5,0.526014342046323,0.0272994663591889,0.474260035720217,0.526007179318289,0.579119681460233,0.026014342046323,1,-0.4,-0.376156429092456,0.0225615820731783,-0.420036837104697,-0.375957432377202,-0.333404566858944,0.0238435709075442,1,0.0525100433652266,0.995013908882737,-7.70988211545248e-18,15,16.8212084833046,1.82120848330463,5.92548851442009,14.5220518845452,41.0106754187189,0.692334778382226,-1629.41595887892,-1732.00905474907,0.2467,0.300141666666667,12.965175,228.663,0.181725469736378,0.134148701654833,0.991111111111111,0.169506376037436,0.129866036724047,0.991111111111111,0.0208894856530643,0.0575633252374678,0.0417640785096179,0.0294940968522243,-0.032781498660556,0.812411870772345,1.1854649268604,0.646582578701286,1.86383746932424,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,301.414444444444,0,4.36444444444444,0.173333333333333,3928,61,0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",6,100,9,2.89333333333333,0.233333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.671701905629369,1.39404054630323,-5.87820166799763,-5.99604600046818,0.0363056996423786,-6.07012581396262,-5.99572707198258,-5.92557036914222,-0.117844332470548,0,0.5,0.480949828918636,0.0292249491280753,0.423273886237454,0.481472397474383,0.536497241499992,-0.0190501710813641,1,-0.4,-0.380424215608149,0.0268730761039985,-0.432418963612558,-0.380481348797881,-0.328236993792257,0.0195757843918508,1,0.147312900405801,0.99799398119465,6.96973343236904e-16,15,16.8263016965021,1.82630169650211,5.22424710928813,14.2892212930381,42.9092690693283,0.390666955131621,-1480.61263322308,-1559.50159574535,0.24775,0.313975,12.677125,227.536,0.272383434497001,0.157994328303509,0.997777777777778,0.208052057626983,0.143805922427199,0.997777777777778,0.249005938424819,0.26183530685643,0.0541431370850568,0.036441225491283,0.0228936344523644,0.671701905629369,1.39404054630323,0.592481364994728,2.78348948740131,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,211.054444444444,0,2.89333333333333,0.233333333333333,2604,35,0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",7,100,9,2.97555555555556,0.308888888888889,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.664451469586054,1.45936769052892,-5.91316248304008,-5.98341039788324,0.0392861429918496,-6.06101737837162,-5.98316932660325,-5.90818540347507,-0.0702479148431587,1,0.5,0.505794664865331,0.031489080555796,0.445175743606257,0.505709134095954,0.566545981339027,0.00579466486533109,1,-0.4,-0.379034061325962,0.0260006758205505,-0.429205810473883,-0.378716178426963,-0.328016214500313,0.0209659386740385,1,0.0958077347000012,0.994906281972191,-5.37378783447038e-16,15,18.3036531493212,3.30365314932117,5.63093911619937,15.7064340894886,45.9960666208282,0.522234021768455,-1352.20742338134,-1416.13207911279,0.258775,0.311669444444444,12.6632,234.775,0.285733982359213,0.198886579047722,0.995555555555556,0.257006232774966,0.18593141335756,0.995555555555556,0.428803952925384,0.416065147468821,0.0616605628095726,0.0423474258790972,0.0531720977263412,0.664451469586054,1.45936769052892,0.474943885766711,2.4181057399414,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,209.465555555556,0,2.97555555555556,0.308888888888889,2678,45,0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",8,100,9,2.62,0.312222222222222,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.51553310740229,2.20549534575597,-6.04725193697302,-6.40430516290653,0.094266255271548,-6.59413928585271,-6.40027304249406,-6.22969519038681,-0.357053225933508,0,0.5,0.492825875512667,0.0331138693494296,0.426805838908626,0.492565553370531,0.558637245811609,-0.00717412448733318,1,-0.4,-0.421952003811744,0.029260699879021,-0.481353504706597,-0.421855187666648,-0.366973140647026,-0.021952003811744,1,0.827704722243842,0.969351788752896,-1.30759600678074e-15,15,15.5392476008677,0.539247600867677,4.47747534589765,13.0182017009759,40.4674752190833,0.119775720715998,-1317.55112039359,-1394.07473935011,0.251125,0.305083333333333,12.496975,234.529,3.19327385470101,0.966476641415563,0.975555555555556,1.18357958061687,0.365940210539314,0.975555555555556,0.392146475171341,0.304171085021258,0.175553335851761,0.0676148718131571,-0.0120117613309717,0.51553310740229,2.20549534575597,0.139339731628939,20.4222148910692,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,185.816666666667,0,2.62,0.312222222222222,2358,47,0,0,0,76431
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",9,100,9,2.86888888888889,0.217777777777778,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.731822629805188,1.31998233744889,-5.8516665297927,-5.88240016669362,0.0299199577430224,-5.94190833554095,-5.8822828872399,-5.82579996627959,-0.0307336369009166,1,0.5,0.548561395575368,0.0281612520356856,0.494959183552486,0.547907316405287,0.605113464591646,0.0485613955753678,1,-0.4,-0.398223556942003,0.0266219827561744,-0.450980477619892,-0.397889268268227,-0.347225388667715,0.00177644305799746,1,0.0803054955423466,0.983620485905502,-1.61907524424502e-16,15,18.7980133201685,3.79801332016851,5.99971253028314,16.1710940852754,46.2387944830961,2.01769096424894,-1467.05688119178,-1534.64962454466,0.2691,0.310088888888889,12.7097,235.339,0.209315593955225,0.16498678375224,0.996666666666667,0.193546274857166,0.154523974943855,0.996666666666667,0.151429677960365,0.13157627687663,0.0438826552850954,0.0328336113314866,0.0483039692474516,0.731822629805188,1.31998233744889,0.614338335037781,2.00282828871053,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,194.292222222222,0,2.86888888888889,0.217777777777778,2582,25,0,0,0,0
"S4A_SPARSE_COUNTS_CONTINUOUS_X2_FIXED_GAMMA_T100",10,100,9,3.10777777777778,0.223333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.672952675047904,1.70989759174562,-5.85878847912896,-5.9716305425307,0.0539485801707567,-6.08478284046847,-5.96703808941591,-5.87866280212702,-0.11284206340174,0,0.5,0.480380511678965,0.0327408760700957,0.416830457089156,0.480986784247956,0.542709369170998,-0.019619488321035,1,-0.4,-0.41480377052851,0.02686242509142,-0.467937326633336,-0.414546154678285,-0.360152597120341,-0.0148037705285102,1,0.359682264788651,0.930639598372886,-8.63506796930677e-17,15,14.1197632709732,-0.8802367290268,4.42358950372052,12.0970927773946,35.4030230963399,0.321392535683201,-1505.43186378643,-1619.55888371158,0.28665,0.308588888888889,12.611025,238.802,0.574191099067246,0.261323032330925,0.97,0.680180983568633,0.228190753169815,0.97,0.437557246831594,0.46385062148634,0.115287658929157,0.0433948445588778,0.12333677907689,0.672952675047904,1.70989759174562,0.0847127319259773,4.40450133289968,"observation_sparse_counts","continuous_time",0.5,0.8,-4.25,0.0142642339089993,213.9,0,3.10777777777778,0.223333333333333,2797,41,0,0,0,14970
