"rep","parameter","truth","mean","sd","q025","q50","q975","bias","abs_bias","covered_95"
1,"beta0",-6.38511540131423,-7.77578176927209,0.237515463747305,-8.23344836596614,-7.77609243984268,-7.29547048291605,-1.39066636795787,1.39066636795787,0
1,"beta1",0.5,0.519287437085508,0.0349020546592753,0.451283854430984,0.519353187510702,0.587210260840624,0.0192874370855084,0.0192874370855084,1
1,"beta2",-0.4,-0.400562536168505,0.0319376731655741,-0.464002228219344,-0.400841193817953,-0.336861108203252,-0.000562536168505268,0.000562536168505268,1
2,"beta0",-5.63506352666298,-5.71152027220363,0.0266823562080167,-5.7639766701245,-5.71180356200252,-5.65945259598764,-0.0764567455406553,0.0764567455406553,0
2,"beta1",0.5,0.455878209639341,0.0281801922041577,0.400416636103703,0.455900912678622,0.50952240616796,-0.0441217903606592,0.0441217903606592,1
2,"beta2",-0.4,-0.369722218190925,0.0250820182356212,-0.418409468826333,-0.369360243619684,-0.321106329317031,0.0302777818090747,0.0302777818090747,1
3,"beta0",-5.711673476828,-5.76828940152923,0.0271677306028507,-5.82363177662861,-5.76803503159153,-5.71677593082786,-0.0566159247012274,0.0566159247012274,0
3,"beta1",0.5,0.443775504269557,0.0281308862421735,0.388880258397477,0.443824643054577,0.499503737270636,-0.056224495730443,0.056224495730443,0
3,"beta2",-0.4,-0.362670533049631,0.0277097781329446,-0.417839429012932,-0.362424799089298,-0.309432946490838,0.0373294669503687,0.0373294669503687,1
4,"beta0",-6.24893288975913,-6.38291093944675,0.068631335435491,-6.52351000761784,-6.37861203790006,-6.253670964731,-0.133978049687625,0.133978049687625,0
4,"beta1",0.5,0.473723035833918,0.0335767203019863,0.408712922488348,0.474195236603794,0.540505006947403,-0.0262769641660822,0.0262769641660822,1
4,"beta2",-0.4,-0.349307999033627,0.0322240149686979,-0.412536103529031,-0.348960824159565,-0.285400209667751,0.0506920009663727,0.0506920009663727,1
5,"beta0",-5.81369881057473,-5.81949065635036,0.0264681117894265,-5.87245493346994,-5.81920018278233,-5.76741139175133,-0.00579184577563918,0.00579184577563918,1
5,"beta1",0.5,0.526014342046323,0.0272994663591889,0.474260035720217,0.526007179318289,0.579119681460233,0.026014342046323,0.026014342046323,1
5,"beta2",-0.4,-0.376156429092456,0.0225615820731783,-0.420036837104697,-0.375957432377202,-0.333404566858944,0.0238435709075442,0.0238435709075442,1
6,"beta0",-5.87820166799763,-5.99604600046818,0.0363056996423786,-6.07012581396262,-5.99572707198258,-5.92557036914222,-0.117844332470548,0.117844332470548,0
6,"beta1",0.5,0.480949828918636,0.0292249491280753,0.423273886237454,0.481472397474383,0.536497241499992,-0.0190501710813641,0.0190501710813641,1
6,"beta2",-0.4,-0.380424215608149,0.0268730761039985,-0.432418963612558,-0.380481348797881,-0.328236993792257,0.0195757843918508,0.0195757843918508,1
7,"beta0",-5.91316248304008,-5.98341039788324,0.0392861429918496,-6.06101737837162,-5.98316932660325,-5.90818540347507,-0.0702479148431587,0.0702479148431587,1
7,"beta1",0.5,0.505794664865331,0.031489080555796,0.445175743606257,0.505709134095954,0.566545981339027,0.00579466486533109,0.00579466486533109,1
7,"beta2",-0.4,-0.379034061325962,0.0260006758205505,-0.429205810473883,-0.378716178426963,-0.328016214500313,0.0209659386740385,0.0209659386740385,1
8,"beta0",-6.04725193697302,-6.40430516290653,0.094266255271548,-6.59413928585271,-6.40027304249406,-6.22969519038681,-0.357053225933508,0.357053225933508,0
8,"beta1",0.5,0.492825875512667,0.0331138693494296,0.426805838908626,0.492565553370531,0.558637245811609,-0.00717412448733318,0.00717412448733318,1
8,"beta2",-0.4,-0.421952003811744,0.029260699879021,-0.481353504706597,-0.421855187666648,-0.366973140647026,-0.021952003811744,0.021952003811744,1
9,"beta0",-5.8516665297927,-5.88240016669362,0.0299199577430224,-5.94190833554095,-5.8822828872399,-5.82579996627959,-0.0307336369009166,0.0307336369009166,1
9,"beta1",0.5,0.548561395575368,0.0281612520356856,0.494959183552486,0.547907316405287,0.605113464591646,0.0485613955753678,0.0485613955753678,1
9,"beta2",-0.4,-0.398223556942003,0.0266219827561744,-0.450980477619892,-0.397889268268227,-0.347225388667715,0.00177644305799746,0.00177644305799746,1
10,"beta0",-5.85878847912896,-5.9716305425307,0.0539485801707567,-6.08478284046847,-5.96703808941591,-5.87866280212702,-0.11284206340174,0.11284206340174,0
10,"beta1",0.5,0.480380511678965,0.0327408760700957,0.416830457089156,0.480986784247956,0.542709369170998,-0.019619488321035,0.019619488321035,1
10,"beta2",-0.4,-0.41480377052851,0.02686242509142,-0.467937326633336,-0.414546154678285,-0.360152597120341,-0.0148037705285102,0.0148037705285102,1
