"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","oracle_lambda_fixed_in_fit","oracle_lambda_source","stress_type","sparse_beta0_shift","expected_count_multiplier","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","x2_mode","x2_ar","x2_innov_sd","lambda_oracle_min","lambda_oracle_max","s4a_oracle_beta_guard_count","s4a_oracle_kappa_guard_count"
"S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100",1,100,9,2.22555555555556,0.358888888888889,TRUE,FALSE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.258601708347133,2.09912711965495,-6.38511540131423,-6.40534664266266,0.0655518369594488,-6.5446228221311,-6.40432543832712,-6.28373865519072,-0.0202312413484265,1,0.5,0.513063663918172,0.0281198977253562,0.458462788164273,0.513283390256901,0.567283406809614,0.0130636639181723,1,-0.4,-0.402964226459205,0.0270831816068973,-0.455534117074958,-0.402307315565754,-0.350868008254839,-0.00296422645920524,1,0.133048570648007,0.998075236278725,-5.99057840370657e-16,15,13.5157519551102,-1.48424804488979,3.68926485701363,11.1255709505904,37.2849062976222,0.111169211699734,-1248.98702009099,-1329.06185876233,0.2487,0.307027777777778,12.402275,137.838999999993,0,0,1,0,0,1,1,1,0,0,1,0.258601708347133,2.09912711965495,0.258601708347133,2.09912711965495,TRUE,"lambda_tilde_ident","observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2.22555555555556,0.358888888888889,2003,19,"continuous_time",0.5,0.8,0.258601708347133,2.09912711965495,0,41049
"S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100",4,100,9,1.95777777777778,0.312222222222222,TRUE,FALSE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.368683096446175,2.48743034067827,-6.24893288975913,-6.17483308495909,0.0445049444881622,-6.2602403636358,-6.17538277997409,-6.08459636168649,0.0740998048000323,1,0.5,0.482255664896796,0.0287902927882025,0.424660929930671,0.481933009856293,0.538988253322487,-0.0177443351032041,1,-0.4,-0.361437561934969,0.0290615403892167,-0.419719415862259,-0.360942162628903,-0.306253270351144,0.0385624380650312,1,0.165027063146308,0.996799032498195,-3.02227378925737e-16,15,13.808778897753,-1.19122110224704,3.89161636216446,11.4040891617616,37.5263406749873,0.310588844618373,-1307.18326648801,-1380.06019866385,0.246525,0.318108333333333,12.292875,136.635999999999,0,0,1,0,0,1,1,1,0,0,1,0.368683096446175,2.48743034067827,0.368683096446175,2.48743034067827,TRUE,"lambda_tilde_ident","observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,1.95777777777778,0.312222222222222,1762,16,"continuous_time",0.5,0.8,0.368683096446175,2.48743034067827,0,0
"S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100",8,100,9,2.62,0.312222222222222,TRUE,FALSE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.51553310740229,2.20549534575597,-6.04725193697302,-6.09063913379598,0.0444157799390672,-6.18519210850682,-6.08881562906428,-6.00619577859432,-0.0433871968229527,1,0.5,0.505191312522987,0.0262811805318169,0.455354036594258,0.504949975064048,0.555148770407404,0.00519131252298655,1,-0.4,-0.421411351419333,0.0262319190156519,-0.472486936598148,-0.421371642307743,-0.369060186652519,-0.0214113514193328,1,0.142089314555375,0.995589690560417,-4.16333634234434e-16,15,14.1623960793445,-0.8376039206555,4.16861066193187,11.8550889907204,36.9470099808444,0.30374786865151,-1328.15996422294,-1413.62971721502,0.264775,0.307747222222222,12.46395,136.513999999996,0,0,1,0,0,1,1,1,0,0,1,0.51553310740229,2.20549534575597,0.51553310740229,2.20549534575597,TRUE,"lambda_tilde_ident","observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2.62,0.312222222222222,2358,47,"continuous_time",0.5,0.8,0.51553310740229,2.20549534575597,0,0
"S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100",10,100,9,3.10777777777778,0.223333333333333,TRUE,FALSE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.672952675047904,1.70989759174562,-5.85878847912896,-5.84345503298881,0.0296451840390326,-5.90146328082854,-5.8439249093223,-5.78455142765751,0.0153334461401542,1,0.5,0.485590458206226,0.025253866881012,0.436279086383448,0.485224494240969,0.537328133110429,-0.0144095417937737,1,-0.4,-0.413101672054473,0.0243400324197466,-0.460797690823557,-0.412925611423723,-0.364962261824663,-0.0131016720544725,1,0.11525041713993,0.98446602280356,3.51570624464633e-16,15,13.192899597638,-1.80710040236205,4.34203804297724,11.2765507043741,33.1992813726255,0.553111856858141,-1517.29995638789,-1638.79047822476,0.25685,0.308372222222222,12.570625,138.570999999996,0,0,1,0,0,1,1,1,0,0,1,0.672952675047904,1.70989759174562,0.672952675047904,1.70989759174562,TRUE,"lambda_tilde_ident","observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,3.10777777777778,0.223333333333333,2797,41,"continuous_time",0.5,0.8,0.672952675047904,1.70989759174562,0,0
