"scenario_id","data_scenario_id","rep_id","data_file","fit_file","fit_exists"
"S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",1,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep01.rds","./output_s4a_oracle_lambda_fixed_gamma_continuous_x2/S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100/fit_S4A_oracle_lambda_fixed_gamma_rep01.rds",TRUE
"S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",4,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep04.rds","./output_s4a_oracle_lambda_fixed_gamma_continuous_x2/S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100/fit_S4A_oracle_lambda_fixed_gamma_rep04.rds",TRUE
"S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",8,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep08.rds","./output_s4a_oracle_lambda_fixed_gamma_continuous_x2/S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100/fit_S4A_oracle_lambda_fixed_gamma_rep08.rds",TRUE
"S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100","S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100",10,"./data_s4a_sparse_counts_continuous_x2/S4A_SPARSE_COUNTS_CONTINUOUS_X2_T100/data_rep10.rds","./output_s4a_oracle_lambda_fixed_gamma_continuous_x2/S4A_ORACLE_LAMBDA_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100/fit_S4A_oracle_lambda_fixed_gamma_rep10.rds",TRUE
