"scenario_id","rep_id","TT","n1","stress_type","sparse_beta0_shift","expected_count_multiplier","beta0_reference_truth","beta0_sparse_truth","beta0_star","beta0_star_ident","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","q05_count","q25_count","q75_count","q95_count","mean_exposure","min_exposure","max_exposure","gamma_truth_mean","delta_truth","r_truth_mean","lambda_raw_min","lambda_raw_median","lambda_raw_max","lambda_ident_min","lambda_ident_median","lambda_ident_max","lambda_ident_log_rm_mean","reference_mean_count","reference_zero_prop","coherent","file"
"S4A_SPARSE_COUNTS_OBS_T100",1,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-5.92581758101154,2.38555555555555,2,0.272222222222222,0.727777777777778,2147,19,0,0,3,8,656.841291469245,291.48251758498,1168.75170429396,0.8,0.9,15,0.0842390914207052,1.05685542354555,1.6098143768284,0.666221989997869,0.997096196536622,1.81516555879515,5.7831825748009e-17,162.68,0,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep01.rds"
"S4A_SPARSE_COUNTS_OBS_T100",2,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-5.7156523234212,3.58444444444445,2,0.203333333333333,0.796666666666667,3226,54,0,1,5,12,724.026171419258,311.909192262216,1145.58825906128,0.8,0.9,15,0.198607790466504,1.18975412470388,1.66174106327009,0.641218927388333,1.00221050230768,1.623511272448,8.37871438896798e-17,257.365555555556,0,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep02.rds"
"S4A_SPARSE_COUNTS_OBS_T100",3,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-6.03194190506619,2.59777777777778,2,0.26,0.74,2338,20,0,0,3.25,9,742.828380650023,328.087077787036,1123.59428988503,0.8,0.9,15,0.0354830172011052,1.04281539800945,2.18576446461718,0.66957094593915,1.00955307250133,1.44475245341837,2.56742929385625e-16,182.707777777778,0,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep03.rds"
"S4A_SPARSE_COUNTS_OBS_T100",4,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-6.53036627476399,1.96444444444445,1,0.356666666666667,0.643333333333333,1768,23,0,0,3,7,655.403339109013,367.078772207106,1225.33247695285,0.8,0.9,15,0.000473344384043854,0.877653235215205,1.46026670956317,0.148714873349531,0.995786141985016,4.92023393746212,8.70802272882424e-17,133.436666666667,0.0522222222222222,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep04.rds"
"S4A_SPARSE_COUNTS_OBS_T100",5,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-5.6231423755845,4.86555555555556,3,0.14,0.86,4379,41,0,1,7,15,887.757482377902,426.130275683098,1230.09755233465,0.8,0.9,15,0.605029805921024,1.20550695693825,1.68177691088246,0.741994020858652,1.00190048750493,1.28535281026071,5.28681072685543e-17,332.278888888889,0,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep05.rds"
"S4A_SPARSE_COUNTS_OBS_T100",6,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-6.0011894022961,2.36111111111111,2,0.248888888888889,0.751111111111111,2125,21,0,1,3,8,746.404876046611,362.395160911671,1195.19513601871,0.8,0.9,15,0.288226577457566,1.02496948631914,1.60408648714487,0.761261087000651,1.0050190341872,1.29270978852057,1.16518002807937e-16,172.447777777778,0,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep06.rds"
"S4A_SPARSE_COUNTS_OBS_T100",7,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-12.575081040253,2.67222222222223,2,0.28,0.72,2405,23,0,0,4,9,604.23034726049,302.830619427248,1075.22122419596,0.8,0.9,15,2.2250738585072e-308,1.18160630025568,1.65725419267295,4.20716072856158e-281,1.01313615167146,1.02906146131891e+26,3.84797903417599e-15,185.008888888889,0.0555555555555556,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep07.rds"
"S4A_SPARSE_COUNTS_OBS_T100",8,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-6.1070761548057,1.92444444444445,1,0.315555555555556,0.684444444444444,1732,14,0,0,3,6,621.89731636801,314.497789568473,1013.89738560842,0.8,0.9,15,0.102236345553197,1.09060104952809,1.63562877573759,0.562307034891257,1.00179794430644,1.47304675861128,1.47870720298056e-16,137.595555555556,0,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep08.rds"
"S4A_SPARSE_COUNTS_OBS_T100",9,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-5.71259269926043,3.48444444444446,2,0.185555555555556,0.814444444444444,3136,52,0,1,4,12,712.142365341312,309.901526286,1190.94772781571,0.8,0.9,15,0.552229257466157,1.10105541992036,1.35161792767436,0.780774909435344,1.00419891249988,1.24258812596504,4.3441330779517e-17,242.872222222222,0,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep09.rds"
"S4A_SPARSE_COUNTS_OBS_T100",10,100,9,"observation_sparse_counts",-4.25,0.0142642339089993,-1.5,-5.75,-5.75,-5.54605021652164,4.15000000000001,3,0.156666666666667,0.843333333333333,3735,39,0,1,6,14,763.063890650379,418.182860098175,1236.7443949057,0.8,0.9,15,0.784014796234997,1.25946607001024,1.87467324440051,0.8155914724962,0.998551481899062,1.40511102208183,7.48465718415482e-17,283.385555555556,0,TRUE,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep10.rds"
