"scenario_id","rep_id","parameter","truth","mean","sd","q025","q50","q975","bias","covered","covered_95","median","gamma_accept_rate","gamma_proposal_sd_final"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"gamma_common",0.8,0.765047877376571,0.0353050809283465,0.689535252022578,0.766710137711959,0.826179566183048,-0.0349521226234291,1,1,0.766710137711959,0.3589,0.0803861926287212
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"gamma_common",0.8,0.872122834130554,0.0420962380210463,0.772942199607748,0.876111923353236,0.942901400395657,0.0721228341305535,1,1,0.876111923353236,0.33645,0.0920520291267848
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"gamma_common",0.8,0.854311934185213,0.0411618630462739,0.763888970473924,0.858412760133992,0.920987839920655,0.0543119341852134,1,1,0.858412760133992,0.332,0.0943783572089613
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,"gamma_common",0.8,0.804017641478168,0.0297753557172624,0.747363909930836,0.803773851498821,0.859250076350874,0.00401764147816841,1,1,0.803773851498821,0.337875,0.0902201937471618
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,"gamma_common",0.8,0.833599869619663,0.053432996630857,0.717388751764218,0.846293326697049,0.908312260029011,0.033599869619663,1,1,0.846293326697049,0.345675,0.0840911162731844
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,"gamma_common",0.8,0.708905030803209,0.0395597287917276,0.628417684822825,0.711121982771981,0.785263623049291,-0.0910949691967906,0,0,0.711121982771981,0.35985,0.0828468262141062
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,"gamma_common",0.8,0.772145236044272,0.0331783802300071,0.701159191546249,0.774364923342447,0.830646182960091,-0.0278547639557277,1,1,0.774364923342447,0.36715,0.0745621435926957
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,"gamma_common",0.8,0.765293912385917,0.0369209647826531,0.690283658001676,0.766848542671557,0.830797619488309,-0.0347060876140832,1,1,0.766848542671557,0.35445,0.0836836628425316
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,"gamma_common",0.8,0.778609368191012,0.0368761885945183,0.70111843491017,0.780238751274598,0.845414196373227,-0.0213906318089884,1,1,0.780238751274598,0.343225,0.0893179918096902
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,"gamma_common",0.8,0.874941950996038,0.0420201288344943,0.783229940863151,0.8742229942298,0.946963141319018,0.0749419509960378,1,1,0.8742229942298,0.32035,0.101257232039463
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,"gamma_common",0.8,0.826833203443399,0.0431596924547845,0.736441880839404,0.831292404540588,0.899874570827875,0.0268332034433986,1,1,0.831292404540588,0.3332,0.0943783572089613
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"gamma_common",0.8,0.900055972002047,0.0429642031423823,0.804942582732667,0.897837964477403,0.979204893834343,0.100055972002047,0,0,0.897837964477403,0.3436,0.0893179918096902
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"gamma_common",0.8,0.75092001888363,0.0428260778518481,0.667561480086608,0.749896561277144,0.836122263295288,-0.0490799811163702,1,1,0.749896561277144,0.377725,0.070564281130473
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"gamma_common",0.8,0.860033899213674,0.0338300169409701,0.797685872612272,0.859800993935578,0.927302630902628,0.0600338992136742,1,1,0.859800993935578,0.359475,0.0776207092435202
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"gamma_common",0.8,0.77794123532382,0.0332613802348126,0.711989712268131,0.777135856719507,0.847699360305697,-0.0220587646761797,1,1,0.777135856719507,0.339575,0.0902201937471618
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"gamma_common",0.8,0.826432461494281,0.0335236674488812,0.76075694898555,0.827019325811166,0.887403168719649,0.0264324614942809,1,1,0.827019325811166,0.3498,0.0828468262141063
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"gamma_common",0.8,0.793523152496112,0.0349982210711486,0.720817619988565,0.793848117606349,0.862166045661326,-0.00647684750388766,1,1,0.793848117606349,0.335275,0.0929818476028129
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"gamma_common",0.8,0.811599534655057,0.0395763002887821,0.731751312910767,0.812471313774707,0.891238807399594,0.0115995346550565,1,1,0.812471313774707,0.3445,0.0893179918096902
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"gamma_common",0.8,0.846256491423355,0.0428610249329127,0.7639200369892,0.849848754837038,0.924635095504475,0.0462564914233546,1,1,0.849848754837038,0.3343,0.091131508835517
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"gamma_common",0.8,0.832147507733812,0.0383201918451375,0.751627109289467,0.832725075546978,0.903203099087986,0.0321475077338119,1,1,0.832725075546978,0.325875,0.0982497909906592
