"scenario_id","rep_id","parameter","n_draws","mean","sd","acf1","ess"
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"beta0",4000,-1.53040897799946,0.00916896592842203,0.0483400333677442,3491.79901118997
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"beta1",4000,0.489189041020071,0.00994656629177126,0.343885548176755,1427.90951110825
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"beta2",4000,-0.409181175081198,0.00944634750417347,0.284075174361349,2209.4715765024
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"gamma_common",4000,0.900055972002047,0.0429642031423823,0.994036884745926,15.289401292893
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"beta0",4000,-1.45349020565924,0.00943036245874619,0.0369839064919507,3294.23269931853
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"beta1",4000,0.510841341494552,0.0108190516937069,0.414476429169694,1095.23878775267
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"beta2",4000,-0.385175340183851,0.0100536926156507,0.338093339532939,1642.57058826696
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"gamma_common",4000,0.75092001888363,0.0428260778518481,0.974674993082449,49.1616701018627
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"beta0",4000,-1.593745548681,0.00911648948129488,0.00742743229622098,3941.454096477
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"beta1",4000,0.509383983097724,0.00930049794396143,0.337933882482237,1922.36411153445
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"beta2",4000,-0.402909345680211,0.00906129283150468,0.291462660265515,2084.71457609092
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"gamma_common",4000,0.860033899213674,0.0338300169409701,0.984506854062447,26.3254507044107
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"beta0",4000,-1.47104281133961,0.0090027177283164,0.0250783790413252,3809.00060631861
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"beta1",4000,0.508362689635748,0.00978259138266337,0.380434879274197,1586.77570585873
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"beta2",4000,-0.403568922750212,0.00947390366468362,0.343662763161672,1814.17097075973
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"gamma_common",4000,0.77794123532382,0.0332613802348126,0.968463805918969,44.2588118948186
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"beta0",4000,-1.41424001470626,0.00895361617282116,0.0176722958911918,3863.4485011493
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"beta1",4000,0.510970927492061,0.00963679971865112,0.38181915201686,1540.85077635488
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"beta2",4000,-0.393849327660542,0.00929327137127121,0.319889319563711,1991.21475672612
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"gamma_common",4000,0.826432461494281,0.0335236674488812,0.978039055474079,31.6527459676502
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"beta0",4000,-1.74290439169093,0.0095539069313341,0.00658062377812178,3948.03998274922
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"beta1",4000,0.510538415855454,0.0102550032111438,0.356918977092914,1492.29984452172
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"beta2",4000,-0.397285708127722,0.0100291892136911,0.357745868479769,1779.34077129434
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"gamma_common",4000,0.793523152496112,0.0349982210711486,0.975933975630455,43.1100794755109
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"beta0",4000,-1.48662713275449,0.00913963244082008,0.0330553116790276,3503.62667645854
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"beta1",4000,0.503021135921038,0.00989510648149356,0.372320439667411,1514.4994237618
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"beta2",4000,-0.393744876316071,0.00943578928842796,0.333133167635767,2010.92833460104
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"gamma_common",4000,0.811599534655057,0.0395763002887821,0.981622390103159,53.4222734487198
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"beta0",4000,-1.65310471931922,0.00958563579979698,0.0140749468046425,3882.39770512961
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"beta1",4000,0.504848605898734,0.0103854509967744,0.381579487637025,1173.2604758525
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"beta2",4000,-0.414292039142451,0.010266403298246,0.335850496824689,1872.76419420336
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"gamma_common",4000,0.846256491423355,0.0428610249329127,0.989191261146344,26.2229505969569
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"beta0",4000,-1.40326872447356,0.00975142069919494,0.0788469068429156,2649.96527947265
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"beta1",4000,0.515731290495528,0.0102600148428562,0.363925016324926,1885.09910822804
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"beta2",4000,-0.411968978476521,0.0102653566895215,0.333613326669529,1803.10200454294
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"gamma_common",4000,0.832147507733812,0.0383201918451375,0.985093167596776,29.6951350480328
