"scenario_id","rep_id","parameter","truth","post_mean","post_sd","q025","q50","q975","bias","covered","covered_95"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"beta0",-1.55101809603453,-1.55446031530182,0.00944214964682434,-1.57287803339159,-1.5544248019496,-1.53531207067796,-0.00344221926729094,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"beta1",0.5,0.48804818462293,0.0107409808430529,0.467063995369655,0.488251514490843,0.508771913746701,-0.01195181537707,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"beta2",-0.4,-0.397121106276563,0.00999814019066638,-0.416810018973038,-0.397025493029152,-0.377854338370896,0.00287889372343653,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"beta0",-1.52214568450129,-1.52406298898646,0.00887244961140178,-1.54168802716561,-1.52401973689656,-1.50650140799765,-0.00191730448517502,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"beta1",0.5,0.487064955506452,0.00954939357954265,0.468498685042749,0.48693408610284,0.505939897159967,-0.0129350444935478,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"beta2",-0.4,-0.416288524009095,0.00929822222187026,-0.434636664011926,-0.416349460701504,-0.397983521014535,-0.0162885240090947,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"beta0",-1.40397869793906,-1.40067502287606,0.00947397784754754,-1.4189851308775,-1.40059919840942,-1.38273677775133,0.00330367506300022,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"beta1",0.5,0.502041726410007,0.0102822839885471,0.482506205034635,0.501977508205137,0.522723037377015,0.00204172641000677,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"beta2",-0.4,-0.409995584940911,0.00951818189286454,-0.428980617912851,-0.410063106540278,-0.39144953228147,-0.00999558494091085,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,"beta0",-1.59011227919885,-1.59476419690342,0.00949693310419361,-1.61270771038214,-1.59470502913525,-1.57546331948598,-0.00465191770456919,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,"beta1",0.5,0.505671544822105,0.0100831365307702,0.485217838241047,0.505705042295929,0.525730889577701,0.00567154482210486,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,"beta2",-0.4,-0.412124607499994,0.00995836214685666,-0.431615699186651,-0.412190993639405,-0.392786649158867,-0.0121246074999936,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,"beta0",-1.53963015075169,-1.52784886705661,0.00927382073954369,-1.54594267053271,-1.52781136957401,-1.50981345182922,0.0117812836950799,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,"beta1",0.5,0.4890490548502,0.00985576492764877,0.469218752528981,0.489267499478594,0.508026377045439,-0.0109509451497998,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,"beta2",-0.4,-0.399167345415889,0.00976535805801774,-0.41828545241529,-0.399033382060266,-0.380108173876592,0.00083265458411097,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,"beta0",-1.44814607902023,-1.45992955235613,0.00906585720880447,-1.47698334358758,-1.46011917911043,-1.44154266616106,-0.0117834733358997,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,"beta1",0.5,0.504422997127827,0.0104920102048028,0.483291819059659,0.504415902142099,0.525022090894349,0.00442299712782745,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,"beta2",-0.4,-0.400141093947052,0.00968384318443278,-0.419046421773476,-0.400220552262545,-0.381646873523901,-0.000141093947051973,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,"beta0",-1.48655364988887,-1.47786817805541,0.00966701278574066,-1.4967360448408,-1.47770689606881,-1.45944238458727,0.00868547183346058,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,"beta1",0.5,0.499209453592749,0.0111291562556075,0.477890615548924,0.49920401055523,0.520984204622647,-0.000790546407251458,1,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,"beta2",-0.4,-0.39137497990225,0.0100767406685698,-0.410306166488178,-0.39147222966896,-0.371743029592598,0.00862502009774974,1,1
