"scenario_id","rep_id","region","truth","mean","q025","q50","q975","bias","covered"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,1,-0.25957193672066,-0.253450948600259,-0.306299172870909,-0.253364293036366,-0.200033258432387,0.00612098812040124,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,2,-0.133631150544175,-0.143190840279175,-0.194969193942897,-0.143598854410463,-0.0896630891506953,-0.00955968973500035,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,3,-0.150220751828285,-0.142560681472871,-0.197225121539417,-0.143193719088722,-0.0885637144644133,0.00766007035541366,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,4,0.248808273906479,0.258405479756445,0.214098649205092,0.258600704743802,0.303942009614429,0.00959720584996629,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,5,-0.397187960145802,-0.361371908011925,-0.418190421750387,-0.361426811436121,-0.302771945943782,0.0358160521338768,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,6,0.819539742628255,0.848292679418253,0.79680749569705,0.848083880837075,0.897626177180365,0.0287529367899988,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,7,-0.307932047532077,-0.324976447750439,-0.372553159410933,-0.325024850984116,-0.275728508975578,-0.0170444002183614,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,8,-0.0606666285713252,-0.115066026124679,-0.166392699138883,-0.115429025191921,-0.0627904613576291,-0.0543993975533537,0
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,9,0.240862458807591,0.233918693064649,0.178509242459748,0.234346807451487,0.286561281668892,-0.00694376574294164,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,1,0.182084051449212,0.169760261955746,0.11830504307796,0.169781773744396,0.221912999489897,-0.012323789493466,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,2,-0.11155441255226,-0.107956523551715,-0.158280181966144,-0.108055415901314,-0.05739310681273,0.00359788900054517,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,3,0.27721323545266,0.262196478706587,0.212253113576329,0.262337452713429,0.313020272257674,-0.015016756746073,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,4,0.0268328699779476,0.0348611027938466,-0.0119889351462606,0.0352068583571683,0.082281359577461,0.00802823281589899,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,5,0.0125750927155017,-0.0258715377654376,-0.0675048019409998,-0.0261240725039492,0.0164952160222685,-0.0384466304809393,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,6,-0.0940771246827795,-0.103052312500232,-0.153631766788737,-0.103297088654546,-0.0532015567106924,-0.00897518781745217,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,7,0.175272519288941,0.191950765883024,0.143724294254611,0.19169440846375,0.242926107983955,0.0166782465940836,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,8,0.0647646789668758,0.0701599883315993,0.0181565846710812,0.0698350839226858,0.123091774241976,0.00539530936472353,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,9,-0.533110910616098,-0.492048223853419,-0.547811171538673,-0.492570732101488,-0.436811643078659,0.0410626867626785,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,1,0.521689868345825,0.562741669381405,0.512442309707523,0.562222773060559,0.614540884678522,0.0410518010355804,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,2,0.0480619517200335,-0.0111142889356051,-0.0683452400945402,-0.0105198538851565,0.0450810256402033,-0.0591762406556386,0
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,3,-0.0037090566840749,-0.0137022733487001,-0.0663269948452689,-0.0135918858954516,0.0394905640335124,-0.00999321666462521,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,4,-0.183356827310376,-0.172866241308376,-0.228626169401611,-0.172912205000688,-0.115773356020054,0.0104905860020004,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,5,-0.00574801165232151,-0.0176511735827152,-0.0671933545553109,-0.0176645177529215,0.0327435401903283,-0.0119031619303937,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,6,-0.208919898819736,-0.235802682406072,-0.292438842091666,-0.235549259757622,-0.180974686706655,-0.0268827835863367,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,7,0.0293723050052874,0.0459373078224182,-0.00261259658497228,0.045828573075844,0.0933733516070375,0.0165650028171309,1
