"scenario_id","rep_id","region","truth","mean","q025","q50","q975","bias","covered"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,1,15,14.8152254033238,10.4506524768956,14.6465159987578,20.4030577042136,-0.184774596676231,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,2,15,15.3701004550718,10.4444758052435,15.2324476778494,21.0812625606845,0.370100455071839,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,3,15,13.5172876780023,9.72026698338376,13.345235065988,18.174511839754,-1.48271232199771,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,4,15,22.1198509790051,15.093936909113,21.8494432052787,30.87128343992,7.1198509790051,0
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,5,15,12.6528570058384,8.61428911532213,12.3789894976561,17.8100885024306,-2.34714299416158,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,6,15,15.2757022933732,11.0437575309693,15.0606432339979,20.7852428682412,0.275702293373195,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,7,15,17.1887047323917,12.2742627248216,16.9641940838565,23.2823680550128,2.18870473239171,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,8,15,14.3720154379229,10.3982454793872,14.182755673003,19.2383191150553,-0.627984562077126,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,9,15,13.6326196615364,9.89704231196928,13.5108366605209,17.9751891785677,-1.36738033846355,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,1,15,16.7273650156693,11.8632259883009,16.5937118995175,22.7335680477014,1.72736501566932,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,2,15,14.9089518488019,10.7155823344675,14.7407572870054,20.1271797222109,-0.0910481511981143,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,3,15,16.4064721737731,11.8357934247278,16.2472036329408,21.9500936678058,1.40647217377311,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,4,15,17.1940378855395,12.3717697688609,16.9857323193458,22.9954742937228,2.19403788553945,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,5,15,22.9580118286274,16.3343371180875,22.7623502608307,30.8775409607476,7.95801182862741,0
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,6,15,15.4690803771959,11.1395205479774,15.2969110245882,20.4576975234085,0.469080377195878,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,7,15,17.7376721210115,12.1523087773146,17.520089707751,24.6834850745758,2.73767212101146,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,8,15,14.0401703377569,10.1856822423705,13.8562727914036,18.7432699540787,-0.959829662243131,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,9,15,12.2871701692264,8.66548442858473,12.0887094253871,16.7725501705617,-2.71282983077356,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,1,15,13.7475523234799,10.122696309109,13.6104284419262,18.0263073212711,-1.25244767652013,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,2,15,12.6486763494354,8.97001150105924,12.4771940519299,17.4671051016591,-2.35132365056462,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,3,15,16.1107508507431,11.0534343919678,15.8711685887801,22.4445801339255,1.11075085074308,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,4,15,11.6009131597932,8.35667562105381,11.5213187353299,15.3551482482267,-3.39908684020681,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,5,15,16.6234182140794,11.8708445536933,16.5127743848906,22.3719456894242,1.6234182140794,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,6,15,13.0142500982494,9.58730384723503,12.9070629122153,17.2909604403933,-1.98574990175055,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,7,15,17.3286557410944,12.4923942699749,17.1544460393976,23.2203028352752,2.32865574109444,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,8,15,18.1492799689427,13.349741198676,17.9666634834628,24.0076514311,3.14927996894265,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,9,15,13.6917109453894,9.99352746795057,13.5430980523574,17.9378871366715,-1.30828905461061,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,1,15,18.7357632416485,13.1120879171307,18.5931294582396,25.3101403384582,3.73576324164845,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,2,15,15.4215818774985,10.64066548212,15.1398123125771,21.4254228481581,0.421581877498522,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,3,15,14.4051983846889,10.2387388877051,14.1518134721925,19.4801922295175,-0.59480161531113,1
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,4,15,12.5792912905686,9.11027022491503,12.4572830570727,16.8180131295095,-2.42070870943137,1
