"scenario_id","rep_id","x2_mode","sd_x1","sd_x2","cor_x1_x2","cor_x2_loglambda","cor_x1_loglambda","cor_x2_phi","cor_x1_phi","sd_beta2_x2"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,"continuous_time",1,1,0.0495863243058485,-0.033764274002003,-0.0291349028257624,-0.0233190069001574,-0.0715438893780936,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,"continuous_time",1,1,-0.0677029867280648,-0.0881397845321238,-0.0539731311284611,0.0466379309176972,0.00606546319663755,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,"continuous_time",1,1,-0.00851927877930407,0.025016963008635,0.219678659906931,0.0585272664711507,0.0113415640152915,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,"continuous_time",1,1,0.0235251841654059,0.0391234874525882,0.112722442722293,-0.0689535854023528,-0.0824157340031782,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,"continuous_time",1,1,-0.0842284034582377,-0.000918441349096021,-0.0383679938877641,-0.146263980599072,0.109602791551781,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,"continuous_time",1,1,0.0272242567347917,-0.00923467698098145,-0.0138700686609635,0.0392536324316918,-0.0645407545685521,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,"continuous_time",1,1,-0.0288166689895456,0.0128927689859534,-0.0556211620127333,0.0277538503679132,0.012115809780331,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,"continuous_time",1,1,-0.0180357730961644,-0.00343720166555604,0.0736074291165053,0.0421809589096121,-0.161176797981955,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,"continuous_time",1,1,-0.0260694777152711,0.125956293377618,-0.073824188887686,-0.0831761547246682,0.0567686833916394,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,"continuous_time",1,1,-0.0182305071978792,-0.0322382889539019,0.227259391898235,0.014712561432661,-0.081214691393288,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",11,"continuous_time",1,1,-0.0648794156834211,0.110442235863798,-0.233232203737709,0.00533077259584257,0.0308324881272653,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",12,"continuous_time",1,0.999999999999999,-0.0116154124697639,-0.0385101375441654,-0.0259852794834886,0.119119498563652,-0.118347735995777,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",13,"continuous_time",1,1,0.0596574554671561,-0.0787535135338667,0.026636855077836,0.0391248525973981,-0.0881636681064808,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",14,"continuous_time",1,0.999999999999999,0.0189617182045899,0.00478706515003178,0.0706117498444134,0.0250087145961093,-0.0123227715292883,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",15,"continuous_time",1,1,0.0506828787694122,0.0179347585045488,0.0490271901872411,0.0213338980643148,0.00703390769519585,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",16,"continuous_time",1,1,-0.022051103532434,0.0331221866012583,0.102394615938959,0.0327011463773091,-0.188778349389431,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",17,"continuous_time",1,1,0.00269521601469292,0.000681730122273975,-0.00452561391848629,-0.00304689499747159,0.00858987445735577,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",18,"continuous_time",1,1,0.0199854570576104,0.0125453584564662,-0.0294835919897219,-0.00824200090104129,0.000885071669111321,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",19,"continuous_time",1,0.999999999999999,0.0679962248653024,-0.0762362805537484,-0.00018385197912079,-0.0808900047213293,0.0933114055455314,0.4
"S3_DYNAMIC_LEARNED_GAMMA_T100",20,"continuous_time",1,0.999999999999999,0.0654988635696226,-0.0077384516916956,0.0973761910478101,-0.01561058454509,0.0179964168342685,0.4
