"scenario_id","rep_id","data_file","stress_type","exposure_stress_type","mean_count","median_count","zero_prop","total_count","max_count","reference_mean_count","reference_zero_prop","target_mean_multiplier","realized_mean_multiplier","realized_min_multiplier","realized_max_multiplier","reference_mean_exposure","mean_exposure","exposure_mean_ratio","exposure_cv","multiplier_cv","area_multiplier_cv","lowest_exposure_group_mean_count","lowest_exposure_group_zero_prop","highest_exposure_group_mean_count","highest_exposure_group_zero_prop","count_exposure_cor_area","beta0_star_ident","lambda_raw_min","lambda_raw_max","lambda_ident_min","lambda_ident_max"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",1,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep01.rds","low_exposure","low_heterogeneous_exposure",9.01222222222222,5,0.115555555555556,8111,148,162.68,0,0.05,0.05,0.0152726489322482,0.122614281750691,656.841291469245,33.5651713492106,0.051100885077019,0.772886513957123,0.509592335731817,0.532722628145264,4.01,0.13,18.6533333333333,0,0.90987082054856,-1.67581758101154,0.0842390914207052,1.6098143768284,0.666221989997869,1.81516555879515
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",2,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep02.rds","low_exposure","low_heterogeneous_exposure",11.8966666666667,7,0.153333333333333,10707,142,257.365555555556,0,0.05,0.05,0.00837772394485892,0.164660320586808,724.026171419258,33.410679098146,0.0461456787296147,0.785272211231672,0.819837367998273,0.862270673607883,1.49,0.446666666666667,20.9633333333333,0.00333333333333333,0.776902312559401,-1.4656523234212,0.198607790466504,1.66174106327009,0.641218927388333,1.623511272448
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",3,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep03.rds","low_exposure","low_heterogeneous_exposure",8.39888888888889,3,0.13,7559,207,182.707777777778,0,0.05,0.0500031266270105,0.005,0.197262495584007,742.828380650023,41.2959998895333,0.0555929215485771,1.18511589009766,1.05734468059829,1.11398313707913,1.76666666666667,0.27,18.4066666666667,0.05,0.702829555502816,-1.78194190506619,0.0354830172011052,2.18576446461718,0.66957094593915,1.44475245341837
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",4,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep04.rds","low_exposure","low_heterogeneous_exposure",5.90444444444444,3,0.187777777777778,5314,49,133.436666666667,0.0522222222222222,0.05,0.05,0.0161256197803077,0.138238704099692,655.403339109013,36.2560582069763,0.0553186962035692,0.854245265689194,0.566803515910541,0.593423450789666,3.69333333333333,0.1,10.12,0.303333333333333,0.309976106068103,-2.28036627476399,0.000473344384043854,1.46026670956317,0.148714873349531,4.92023393746212
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",5,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep05.rds","low_exposure","low_heterogeneous_exposure",15.7822222222222,7,0.113333333333333,14204,173,332.278888888889,0,0.05,0.0500000022856939,0.005,0.207871185221955,887.757482377902,43.9201800451912,0.0494731736054185,0.850287624248096,0.906917906530332,0.95459560228264,3.56,0.31,35.9066666666667,0,0.640018063955672,-1.37314237558449,0.605029805921024,1.68177691088246,0.741994020858652,1.28535281026071
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",6,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep06.rds","low_exposure","low_heterogeneous_exposure",9.36,5,0.0722222222222222,8424,88,172.447777777778,0,0.05,0.05,0.022474621616377,0.140749458091567,746.404876046611,36.9176993952045,0.0494606889370041,0.648279493233658,0.63085415455699,0.661050570361701,3.57,0.1,18.7466666666667,0,0.909407816065241,-1.7511894022961,0.288226577457566,1.60408648714487,0.761261087000651,1.29270978852057
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",7,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep07.rds","low_exposure","low_heterogeneous_exposure",7.08888888888889,5,0.165555555555556,6380,60,185.008888888889,0.0555555555555556,0.05,0.05,0.0101723614757508,0.153447287539338,604.23034726049,28.5217794138887,0.0472034871191146,0.823174305631986,0.72552565271401,0.761025699142162,5.11333333333333,0.2,7.73666666666667,0.286666666666667,0.628594631321543,-8.325081040253,2.2250738585072e-308,1.65725419267295,4.20716072856158e-281,1.02906146131891e+26
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",8,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep08.rds","low_exposure","low_heterogeneous_exposure",7.54333333333333,3,0.191111111111111,6789,79,137.595555555556,0,0.05,0.05,0.00768480652769944,0.161155955712165,621.89731636801,29.0584015016246,0.0467254010217166,0.801431177341371,0.823792077870926,0.866777473600976,1.88,0.283333333333333,17.8433333333333,0.00333333333333333,0.794537694419577,-1.8570761548057,0.102236345553197,1.63562877573759,0.562307034891257,1.47304675861128
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",9,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep09.rds","low_exposure","low_heterogeneous_exposure",9.33333333333333,6,0.0844444444444444,8400,122,242.872222222222,0,0.05,0.05,0.00632711256741554,0.159926382743262,712.142365341312,36.2165269144187,0.0508557399152359,0.872755737430909,0.738410853188437,0.776454130335162,3.26333333333333,0.216666666666667,8.32,0.0166666666666667,0.134715086761006,-1.46259269926043,0.552229257466157,1.35161792767436,0.780774909435344,1.24258812596504
"S4B_LOW_HETEROGENEOUS_EXPOSURE_T100",10,"./data_s4b_low_exposure/S4B_LOW_HETEROGENEOUS_EXPOSURE_T100/data_rep10.rds","low_exposure","low_heterogeneous_exposure",11.26,7,0.0388888888888889,10134,139,283.385555555556,0,0.05,0.05,0.00666675137998557,0.170395813810162,763.063890650379,31.8983983592448,0.0418030505047972,0.657284125303518,0.797170253369776,0.837904561427969,6.06,0.08,19.77,0.00333333333333333,0.582193672510412,-1.29605021652164,0.784014796234997,1.87467324440051,0.8155914724962,1.40511102208183
