"scenario","yrep_mean_diff","yrep_zero_diff","yrep_total_ratio","ppc_cell_95_coverage","ppp_mean","ppp_zero","ppp_total","ppp_max","drawwise_cor_logkappa_eta_mean","drawwise_abs_cor_logkappa_eta_mean","drawwise_slope_logkappa_eta_mean","postmean_cor_logkappa_eta","mu_cap_count","invalid_mu_count"
"S1",0.0676668333333353,7.77777777777779e-07,1.00039297643424,0.958444444444444,0.8606,0,0.8606,0.4817,NA,NA,NA,NA,0,0
"S2",0.222355611111112,1.38888888888889e-06,1.00133148369973,0.963444444444444,0.8663,0,0.8663,0.5185,0.000990607685700764,0.0276152752419113,0.000486267992923589,0.00506634948186091,0,0
"S3",0.179248388888892,1.55555555555555e-06,1.00115116021326,0.963444444444444,0.8511,0,0.8511,0.512,0.000857821376249914,0.0275970265275844,0.00045303369782907,0.00490032587615507,0,0
"S4A",0.0168198888888887,0.0150851111111111,1.00588670008187,0.994777777777778,0.8722,0.3018,0.8722,0.5728,0.028254066534126,0.0507744294762227,0.00998323228607507,0.149939285484024,0,0
"S4B",0.0225889999999999,0.00750044444444444,1.00268361916944,0.987,0.8782,0.3972,0.8782,0.6656,0.0203496643640151,0.0415345470063266,0.00701241925964826,0.0766340816920968,0,0
"S4C",1.1352748888889,4.87777777777779e-05,1.00575382350256,0.959333333333333,0.8214,0.4622,0.8214,0.461,-0.0086925382898815,0.0308215616982294,-0.00446855609633916,-0.00295480083786823,0,0
"S4D",0.833433703703702,-0.000413703703703704,1.0040981729731,0.978518518518519,0.9088,0.1366,0.9088,0.6052,-0.00203835356863433,0.0510611308814932,-1.00377066084359e-05,0.00868299220523764,0,0
"S4E",0.530180000000001,-0.000209333333333333,1.0025928001396,0.963666666666667,0.8418,0.1466,0.8418,0.4308,-0.00469653723659357,0.0274390732618344,-0.00164502637397798,-0.00117500208309791,0,0
