"scenario","parameter","median_ess","median_ess_per_sec","min_ess_per_sec","rhat","rhat_note"
"S4C","lambda_mean",586.7,3.075,1.918,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4C","loglik",3945.8,18.67,17.659,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4C","phi_mean",3885.3,18.383,17.845,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4C","r_mean",2703.6,13.23,11.539,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","beta0",3373.5,28.444,21.515,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","beta1",1447.8,12.249,8.758,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","beta2",1732,14.777,12.449,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","gamma_common",NA,NA,NA,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","kappa_mean",3383.2,28.783,26.239,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","lambda_mean",3361.4,28.459,21.547,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","loglik",3864.2,32.887,30.223,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","phi_mean",3935.8,33.103,29.375,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4D","r_mean",2701,22.879,19.024,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","beta0",3612.3,16.121,14.866,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","beta1",1557.6,6.932,5.894,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","beta2",905.4,4.233,2.231,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","gamma_common",NA,NA,NA,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","kappa_mean",3703.6,16.311,14.735,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","lambda_mean",1194.8,5.876,3.002,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","loglik",3827,17.064,15.313,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","phi_mean",4000,17.656,15.359,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
"S4E","r_mean",2565.2,11.513,10.179,NA,"N/A: current formal runs are single-chain; formal R-hat requires multi-chain rerun"
