"scenario","yrep_total_ratio","ppc_cell_95_coverage","drawwise_abs_cor_logkappa_eta_mean","postmean_cor_logkappa_eta","mu_cap_count","invalid_mu_count","kappa_assoc_note","predictive_calibration_note","baseline_distortion_flag","overall_current_revised_interpretation"
"S1",1.0004,0.9584,NA,NA,0,0,"N/A: S1 baseline-only fit does not store posterior kappa samples","No evident predictive degradation in current revised-sampler fit","Not evaluated","Predictive calibration available; kappa-baseline association not applicable"
"S2",1.0013,0.9634,0.0276,0.0051,0,0,"Available","No evident predictive degradation in current revised-sampler fit","Low association","Revised sampler shows calibrated prediction and weak kappa-baseline association"
"S3",1.0012,0.9634,0.0276,0.0049,0,0,"Available","No evident predictive degradation in current revised-sampler fit","Low association","Revised sampler shows calibrated prediction and weak kappa-baseline association"
"S4A",1.0059,0.9948,0.0508,0.1499,0,0,"Available","No evident predictive degradation in current revised-sampler fit","Elevated association; interpret with stress-test status","Sparse-count boundary case; report stable-only and all-fit summaries separately"
"S4B",1.0027,0.987,0.0415,0.0766,0,0,"Available","No evident predictive degradation in current revised-sampler fit","Moderate association","Revised sampler shows calibrated prediction and weak kappa-baseline association"
"S4C",1.0058,0.9593,0.0308,-0.003,0,0,"Available","No evident predictive degradation in current revised-sampler fit","Low association","Revised sampler shows calibrated prediction and weak kappa-baseline association"
"S4D",1.0041,0.9785,0.0511,0.0087,0,0,"Available","No evident predictive degradation in current revised-sampler fit","Low association","Revised sampler shows calibrated prediction and weak kappa-baseline association"
"S4E",1.0026,0.9637,0.0274,-0.0012,0,0,"Available","No evident predictive degradation in current revised-sampler fit","Low association","Revised sampler shows calibrated prediction and weak kappa-baseline association"
