"scenario","rep","parameter","truth","post_mean","bias","rmse_component","q025","q975","cover"
"S2","rep06","beta1",0.5,0.50408238494449,0.00408238494448987,1.66658668349976e-05,0.483512196314867,0.524864731263227,1
"S2","rep06","beta2",-0.4,-0.40025811565641,-0.000258115656409819,6.66236920838715e-08,-0.419579657246526,-0.381232369376262,1
"S2","rep06","r_mean",15,14.9035856738695,-0.0964143261304944,0.00929572228319733,13.418927408568,16.4890632957098,1
"S2","rep06","phi_vector",NA,NA,-2.23586581348122e-17,0.000547043970825864,NA,NA,1
"S2","rep06","log_lambda_vector",NA,NA,-2.45598294787739e-17,0.00167087414892369,NA,NA,0.975555555555556
"S2","rep06","log_kappa_vector",NA,NA,0.010413273191998,0.00966826083134314,NA,NA,0.95
"S2","rep07","beta0",-1.48655364988887,-1.47699913336532,0.00955451652355022,9.12887859987941e-05,-1.4962242341515,-1.45787751668557,1
"S2","rep07","beta1",0.5,0.498963042932148,-0.0010369570678519,1.075279960568e-06,0.47676870520024,0.520367454341679,1
"S2","rep07","beta2",-0.4,-0.391420394968259,0.00857960503174082,7.36096225006724e-05,-0.410674814163924,-0.371446984694223,1
"S2","rep07","r_mean",15,14.7623794696505,-0.237620530349529,0.0564635164435916,13.2000822265258,16.5218865264498,1
"S2","rep07","phi_vector",NA,NA,1.70195647698613e-16,0.000263399449637364,NA,NA,1
"S2","rep07","log_lambda_vector",NA,NA,-1.63449500847592e-18,0.00256385166416463,NA,NA,0.963333333333333
"S2","rep07","log_kappa_vector",NA,NA,-0.00878181039922105,0.0112814213670488,NA,NA,0.967777777777778
"S2","rep08","beta0",-1.5147890397372,-1.51269079895861,0.00209824077859433,4.40261436495614e-06,-1.53154978109841,-1.49397878614056,1
"S2","rep08","beta1",0.5,0.516525047797177,0.0165250477971768,0.000273077204698977,0.495961522878416,0.536514920973955,1
"S2","rep08","beta2",-0.4,-0.396211149699392,0.00378885030060844,1.43553866004206e-05,-0.415687017044847,-0.376756923762887,1
"S2","rep08","r_mean",15,15.1429139411957,0.142913941195708,0.0204243945880903,13.5956587050491,16.8929074959599,1
"S2","rep08","phi_vector",NA,NA,8.67361737988404e-18,0.000458791308316734,NA,NA,1
"S2","rep08","log_lambda_vector",NA,NA,9.3597968881593e-18,0.00249105242862072,NA,NA,0.942222222222222
"S2","rep08","log_kappa_vector",NA,NA,-0.000924707779280303,0.0111563948676289,NA,NA,0.953333333333333
"S2","rep09","beta0",-1.65564478525192,-1.65687241351102,-0.00122762825910039,1.50707114254185e-06,-1.67557479783212,-1.63807222289132,1
"S2","rep09","beta1",0.5,0.489144169440569,-0.010855830559431,0.000117849057135076,0.469298293017417,0.509366336523858,1
"S2","rep09","beta2",-0.4,-0.403437826588362,-0.00343782658836211,1.18186516516495e-05,-0.42259693124645,-0.384325513313359,1
"S2","rep09","r_mean",15,14.7886348621894,-0.211365137810622,0.0446752214817033,13.1546818581016,16.5458069946067,1
"S2","rep09","phi_vector",NA,NA,-2.86036626483287e-16,0.000699097090081608,NA,NA,1
"S2","rep09","log_lambda_vector",NA,NA,2.87732800548686e-17,0.00226047784838469,NA,NA,0.954444444444444
"S2","rep09","log_kappa_vector",NA,NA,-0.000498644164587001,0.0128348357506406,NA,NA,0.953333333333333
"S2","rep10","beta0",-1.67500995209964,-1.66722538748091,0.00778456461872734,6.05994463031416e-05,-1.68569338754501,-1.64901717164994,1
"S2","rep10","beta1",0.5,0.530522543542839,0.0305225435428392,0.000931625664324517,0.50896402456347,0.551138681752577,0
"S2","rep10","beta2",-0.4,-0.393592343314443,0.00640765668555676,4.10580641999603e-05,-0.412435900126982,-0.374735427730381,1
"S2","rep10","r_mean",15,15.0105614340464,0.0105614340464193,0.000111543889116865,13.3959193388012,16.7349814234769,1
"S2","rep10","phi_vector",NA,NA,-1.49571713039778e-16,0.00208375832756706,NA,NA,0.777777777777778
"S2","rep10","log_lambda_vector",NA,NA,8.75842608315401e-18,0.00295668315018138,NA,NA,0.921111111111111
"S2","rep10","log_kappa_vector",NA,NA,-0.00028245385885723,0.0115962676866263,NA,NA,0.938888888888889
"S2","rep11","beta0",-1.46082883975833,-1.47107953507081,-0.0102506953124797,0.000105076754389293,-1.48870793259161,-1.45346444360971,1
"S2","rep11","beta1",0.5,0.491256824906546,-0.00874317509345446,7.64431107148024e-05,0.470703723472291,0.510760069825547,1
"S2","rep11","beta2",-0.4,-0.401030821523697,-0.00103082152369699,1.06259301371698e-06,-0.420000293317574,-0.382243608549359,1
