"scenario","rep","parent","field","class","dim"
"S4E","rep01","diagnostics","s4e_kappa_guard_count","integer","vector length 1"
"S4E","rep01","diagnostics","s4e_lambda_input_guard_count","integer","vector length 1"
"S4E","rep01","diagnostics","s4e_lambda_output_guard_count","integer","vector length 1"
"S4E","rep01","metadata","model","character","vector length 1"
"S4E","rep01","metadata","fixed_lambda","logical","vector length 1"
"S4E","rep01","metadata","dynamic_lambda","logical","vector length 1"
"S4E","rep01","metadata","fixed_gamma","logical","vector length 1"
"S4E","rep01","metadata","learned_gamma","logical","vector length 1"
"S4E","rep01","metadata","gamma_initial_value","numeric","vector length 9"
"S4E","rep01","metadata","gamma_prior","numeric","vector length 2"
"S4E","rep01","metadata","A0","numeric","vector length 1"
"S4E","rep01","metadata","B0","numeric","vector length 1"
"S4E","rep01","metadata","updated_blocks","character","vector length 6"
"S4E","rep01","metadata","disabled_blocks","character","vector length 3"
"S4E","rep01","metadata","uses_marginal_nb_for_beta_phi_r","logical","vector length 1"
"S4E","rep01","metadata","uses_kappa_for_lambda_ffbs","logical","vector length 1"
"S4E","rep01","metadata","uses_recentered_identified_parameterization","logical","vector length 1"
"S4E","rep01","metadata","gamma_fixed_value","numeric","vector length 1"
"S4E","rep01","metadata","scenario_id","character","vector length 1"
"S4E","rep01","metadata","data_scenario_id","character","vector length 1"
"S4E","rep01","metadata","stress_type","character","vector length 1"
"S4E","rep01","metadata","r_reference_truth","numeric","vector length 1"
"S4E","rep01","metadata","r_truth","numeric","vector length 1"
"S4E","rep01","metadata","x2_confounding_strength","numeric","vector length 1"
"S4E","rep01","metadata","x2_mode","character","vector length 1"
"S4E","rep01","metadata","x2_ar","numeric","vector length 1"
"S4E","rep01","metadata","x2_innov_sd","numeric","vector length 1"
"S4E","rep01","metadata","model_source","character","vector length 1"
"S4E","rep01","metadata","rep_id","integer","vector length 1"
"S4E","rep01","metadata","data_file","character","vector length 1"
"S4E","rep01","metadata","output_dir","character","vector length 1"
"S4E","rep01","metadata","fit_file_prefix","character","vector length 1"
"S4E","rep01","metadata","gamma_fixed_in_fit","logical","vector length 1"
"S4E","rep01","metadata","gamma_learned_in_fit","logical","vector length 1"
"S4E","rep01","metadata","gamma_fixed_value","numeric","vector length 1"
"S4E","rep01","metadata","run_time","POSIXct,POSIXt","POSIXct"
"S4E","rep01","settings","n_iter","integer","vector length 1"
"S4E","rep01","settings","n_burnin","integer","vector length 1"
"S4E","rep01","settings","n_thin","integer","vector length 1"
"S4E","rep01","settings","include_nb","logical","vector length 1"
"S4E","rep01","settings","include_icar","logical","vector length 1"
"S4E","rep01","settings","include_covariates","logical","vector length 1"
