"scenario","parameter","median_ess_per_sec","min_ess_per_sec","median_ess","min_ess_per_sec_true"
"S1","beta0",29.9017873907084,29.9017873907084,3485.16309178471,22.8895322297938
"S1","beta1",17.3800253749213,17.3800253749213,2024.07893190005,13.3183821082527
"S1","beta2",17.8610253516456,17.8610253516456,2055.44627368895,15.6681085757795
"S1","loglik",9.47340429832282,9.47340429832282,1100.41221610044,6.42911512879447
"S1","phi_mean",8.28082426383038,8.28082426383038,971.743133301639,5.44313058057746
"S1","r_mean",24.1361978867933,24.1361978867933,2793.63573926983,21.5604094998925
"S2","beta0",12.6378285683235,12.6378285683235,3587.3325437445,2.45950181958793
"S2","beta1",4.66744906749552,4.66744906749552,1489.80064465644,1.03410027041632
"S2","beta2",5.66899967541602,5.66899967541602,1799.44404756361,1.18117873840053
"S2","kappa_mean",12.5182573959357,12.5182573959357,3560.55765125337,2.41583216492863
"S2","lambda_mean",3.58599472345425,3.58599472345425,1241.69601521855,0.975931609819129
"S2","loglik",13.6908720718002,13.6908720718002,4000,2.64858565526133
"S2","phi_mean",13.1609290647744,13.1609290647744,4000,2.47703181262254
"S2","r_mean",9.56371704394886,9.56371704394886,2697.51097216842,1.69181197370595
"S3","beta0",12.2826418562982,12.2826418562982,3714.26681245657,8.90493198381844
"S3","beta1",4.90080954856522,4.90080954856522,1460.10467781499,2.11758200435936
"S3","beta2",6.31966356294945,6.31966356294945,1897.49107990609,4.53182971785829
"S3","gamma_common",0.117711698149244,0.117711698149244,35.1763093528457,0.0263074277867171
"S3","kappa_mean",12.213287672191,12.213287672191,3700.81207684688,9.2259237893893
"S3","lambda_mean",0.187301619753885,0.187301619753885,56.303868762612,0.03134564058402
"S3","loglik",13.0052045433623,13.0052045433623,3882.08319898597,10.08135880944
"S3","phi_mean",13.2761832866211,13.2761832866211,3989.54701940814,11.9202387349009
"S3","r_mean",6.35391903997798,6.35391903997798,1891.59033284793,1.60338099183155
"S4A","beta0",14.7728979467861,14.7728979467861,3413.36101234898,13.2321812898365
"S4A","beta1",5.67321366833471,5.67321366833471,1310.91222921376,5.05894162719872
"S4A","beta2",7.28952881768327,7.28952881768327,1681.64020148364,5.89443445355777
"S4A","gamma_common",NA,NA,NA,NA
"S4A","kappa_mean",16.4786144651125,16.4786144651125,3837.30265478347,14.5097842315295
"S4A","lambda_mean",17.0465246367431,17.0465246367431,3965.13882360156,14.4203620845136
"S4A","loglik",15.4022685498786,15.4022685498786,3528.7510743998,13.6763228853864
"S4A","phi_mean",17.1871257069545,17.1871257069545,4000,15.3195242505991
"S4A","r_mean",11.8205997389246,11.8205997389246,2783.46272864254,11.2880127138172
"S4B","beta0",15.711578413419,15.711578413419,3534.77414955172,14.3213078126652
"S4B","beta1",6.45013850970744,6.45013850970744,1437.53379449958,4.9815045678437
"S4B","beta2",7.79001142954784,7.79001142954784,1658.10852801247,5.13203990442184
"S4B","gamma_common",NA,NA,NA,NA
"S4B","kappa_mean",17.2512865270057,17.2512865270057,3894.06475910202,16.3822344188301
"S4B","lambda_mean",16.7166131033665,16.7166131033665,3785.79981759259,15.9260468797588
"S4B","loglik",15.5914929321196,15.5914929321196,3567.06695650484,13.8163577821751
"S4B","phi_mean",17.279627474531,17.279627474531,3952.53950383675,16.1918672770435
"S4B","r_mean",12.170703575927,12.170703575927,2760.62961998237,10.7576446005127
"S4C","beta0",16.3502556140055,16.3502556140055,3435.10226835267,14.707966572691
"S4C","beta1",7.72172118876984,7.72172118876984,1589.43886444454,6.50757337675816
"S4C","beta2",8.30418276400727,8.30418276400727,1755.16541887558,6.7767305028796
"S4C","gamma_common",NA,NA,NA,NA
"S4C","kappa_mean",16.2062643360118,16.2062643360118,3309.17434906264,14.2343776569273
"S4C","lambda_mean",3.0747776817134,3.0747776817134,586.683638207997,1.91798610812441
"S4C","loglik",18.6704982914039,18.6704982914039,3945.78264595819,17.658918026872
"S4C","phi_mean",18.3830004906199,18.3830004906199,3885.27453386737,17.8452603898408
"S4C","r_mean",13.2303793026157,13.2303793026157,2703.5823560261,11.5388553436364
"S4D","beta0",28.4444808172225,28.4444808172225,3373.50553074319,21.514774333824
"S4D","beta1",12.2492529190555,12.2492529190555,1447.78041094786,8.75842663627992
"S4D","beta2",14.7766253818922,14.7766253818922,1732.02744128699,12.4493291371014
"S4D","gamma_common",NA,NA,NA,NA
"S4D","kappa_mean",28.7828847319608,28.7828847319608,3383.16612387588,26.2392686460597
"S4D","lambda_mean",28.4587444886009,28.4587444886009,3361.40851162067,21.5466477289615
"S4D","loglik",32.8869930606227,32.8869930606227,3864.15800750012,30.2229900873886
"S4D","phi_mean",33.1025222469746,33.1025222469746,3935.81207720161,29.3750702220646
"S4D","r_mean",22.8786196464615,22.8786196464615,2701.02379912409,19.0242432817068
"S4E","beta0",16.1205273575824,16.1205273575824,3612.28828888101,14.8656477679093
"S4E","beta1",6.93169410056896,6.93169410056896,1557.60238380372,5.89436083016762
"S4E","beta2",4.23297884912122,4.23297884912122,905.406046970374,2.23054652303134
"S4E","gamma_common",NA,NA,NA,NA
"S4E","kappa_mean",16.3110851746678,16.3110851746678,3703.56526332432,14.7345266749472
"S4E","lambda_mean",5.87601344400269,5.87601344400269,1194.81557311497,3.00204725886301
"S4E","loglik",17.0635514231824,17.0635514231824,3826.97719288197,15.3130924188483
"S4E","phi_mean",17.6558607876458,17.6558607876458,4000,15.3585211007825
"S4E","r_mean",11.5131709809146,11.5131709809146,2565.19680548732,10.1785320775612
