"scenario","rep","n_ppc_draws","observed_mean","yrep_mean","yrep_mean_diff","observed_zero_prop","yrep_zero_prop","yrep_zero_diff","observed_total","yrep_total","yrep_total_ratio","observed_max","yrep_max","ppc_cell_95_coverage","ppp_mean","ppp_zero","ppp_total","ppp_max","has_kappa_samples","drawwise_cor_logkappa_eta_mean","drawwise_abs_cor_logkappa_eta_mean","drawwise_slope_logkappa_eta_mean","postmean_cor_logkappa_eta","mu_cap","mu_cap_count","invalid_mu_count"
"S2","rep02",1000,190.828888888889,191.478327777778,0.649438888888881,0,0,0,171746,172330.495,1.0034032524775,1291,1391.662,0.966666666666667,0.826,0,0.826,0.666,TRUE,0.0215514606658122,0.0324332321387107,0.00800526292074203,0.0275855686851652,1e+08,0,0
"S2","rep03",1000,230.316666666667,231.943603333333,1.62693666666667,0,1.11111111111111e-06,1.11111111111111e-06,207285,208749.243,1.00706391200521,1919,1809.155,0.955555555555556,0.672,0,0.672,0.58,TRUE,-0.00606563220651047,0.0271200197912274,-0.00218336880849575,-0.0022247604785702,1e+08,0,0
"S2","rep04",1000,160.464444444444,160.689975555556,0.22553111111111,0,4.44444444444445e-06,4.44444444444445e-06,144418,144620.978,1.00140548962041,2299,1690.993,0.966666666666667,0.966,0,0.966,0.144,TRUE,-0.0112241241312825,0.0271055105576011,-0.00420136898447667,-0.00800904583762338,1e+08,0,0
"S2","rep05",1000,281.008888888889,280.005002222222,-1.00388666666663,0,0,0,252908,252004.502,0.996427562591931,3666,3418.356,0.966666666666667,0.83,0,0.83,0.642,TRUE,-0.0113113578992226,0.0282205734509528,-0.0035774667569848,-0.00860879906463387,1e+08,0,0
"S2","rep06",1000,213.898888888889,213.835788888889,-0.0630999999999915,0,0,0,192509,192452.21,0.999705000805157,1987,1786.911,0.967777777777778,0.958,0,0.958,0.524,TRUE,-0.00623121219165204,0.0275707153845186,-0.00223633935420049,-0.00241656240966946,1e+08,0,0
"S2","rep07",1000,205.13,206.709082222222,1.57908222222224,0,8.8888888888889e-06,8.8888888888889e-06,184617,186038.174,1.0076979584762,2911,3882.237,0.961111111111111,0.704,0,0.704,0.394,TRUE,-0.00466650118792429,0.0278832815973517,-0.00146412607661659,-0.00136868203265725,1e+08,0,0
"S2","rep08",1000,174.394444444444,174.558938888889,0.164494444444443,0,0,0,156955,157103.045,1.0009432321366,1384,1869.83,0.966666666666667,0.992,0,0.992,0.108,TRUE,0.00207689976879416,0.0263845019944106,0.000969985320318494,0.00646294318510844,1e+08,0,0
"S2","rep09",1000,178.144444444444,178.267438888889,0.12299444444443,0,6.66666666666667e-06,6.66666666666667e-06,160330,160440.695,1.00069041975925,1165,1184.706,0.966666666666667,0.944,0,0.944,0.932,TRUE,-0.00144456260643595,0.0265956945046908,-0.000345373378744903,0.00185851525061672,1e+08,0,0
"S2","rep10",1000,188.225555555556,188.346041111111,0.120485555555547,0,0,0,169403,169511.437,1.00064011263083,1891,2481.175,0.97,0.956,0,0.956,0.344,TRUE,0.0124270389097641,0.0282554654942091,0.00449544425146739,0.0175086005774997,1e+08,0,0
"S2","rep11",1000,202.09,201.987357777778,-0.102642222222215,0,0,0,181881,181788.622,0.999492096480666,1403,1441.372,0.956666666666667,0.966,0,0.966,0.996,TRUE,-0.00550936926760068,0.0264776149002294,-0.00184678366607029,-0.00199498141368034,1e+08,0,0
