"scenario_id","rep_id","data_file","stress_type","confounding_type","r_reference_truth","r_truth","x2_confounding_strength","x2_residual_weight","preserve_reference_mean","beta0_reference_truth","beta0_confounding_truth","beta0_shift_to_preserve_reference_mean","mean_count","reference_mean_count","median_count","zero_prop","reference_zero_prop","total_count","max_count","reference_max_count","count_sd","count_cv","reference_count_cv","count_cv_increase","variance_to_mean","reference_variance_to_mean","variance_to_mean_increase","q95_count","q99_count","kappa_cv","x2_phi_cell_cor","x2_phi_abs_cell_cor","x2_phi_area_mean_cor","x2_phi_abs_area_mean_cor","reference_x2_phi_abs_cell_cor","reference_x2_phi_abs_area_mean_cor","x2_area_mean_sd","x2_area_sd_mean","x2_mode","x2_ar","x2_innov_sd","x2_sd","x2_binary_like_prop","x2_empirical_ar1_mean","beta0_star_ident","lambda_raw_min","lambda_raw_max","lambda_ident_min","lambda_ident_max"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",1,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep01.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.36120609062194,0.138793909378059,151.833333333334,152.006666666666,114,0.00555555555555556,0.0122222222222222,136650,1199,1368,154.749641721405,1.01920730003121,1.0742851698924,-0.0550778698611927,157.72196451967,175.429165114287,-17.7072005946175,433,718.25,0.258947395826071,0.553568657398345,0.553568657398345,0.985984027960683,0.985984027960683,0.0434219057072446,0.360445427373734,0.59516374148832,0.828884876171575,"continuous_time",0.5,0.8,1,0,0.500702401548939,-1.99632149193617,0.00572250577087872,2.25929664939123,0.258601708347133,2.09912711965495
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",2,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep02.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.44678094903446,0.0532190509655409,226.99,228.057777777778,175,0,0,204291,1432,1863,188.489720570766,0.830387772900857,0.937932975469486,-0.107545202568629,156.519559279463,200.626592922361,-44.1070336428983,575.749999999999,951.12,0.256034194875787,0.572433708044311,0.572433708044311,0.973158089356457,0.973158089356457,0.00939918314122524,0.0568414325394035,0.623557711945433,0.810927516955801,"continuous_time",0.5,0.8,1,0,0.471020565051243,-1.33184447569743,0.774654190759735,1.57783079727979,0.75293698671582,1.23171288561439
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",3,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep03.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.47683856444488,0.0231614355551179,210.185555555555,209.543333333333,162,0,0,189167,1170,1306,166.297059251536,0.791191663061645,0.852255586798895,-0.0610639237372499,131.572846871484,152.19961782103,-20.6267709495467,516.45,816.789999999999,0.256230128680154,0.621145935726548,0.621145935726548,0.956924409041409,0.956924409041409,0.0823916816811583,0.325111992461912,0.68809890644125,0.761216532978545,"continuous_time",0.5,0.8,1,0,0.451410892465294,-1.43851204127288,0.668375148168514,1.76959198620119,0.782412894359852,1.27651777505022
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",4,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep04.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.38237302452216,0.117626975477841,135.288888888889,135.158888888889,110,0.00333333333333333,0.00888888888888889,121760,1060,1244,115.348631912963,0.852609795677292,0.942185474841353,-0.0895756791640604,98.3473734869669,119.982366122015,-21.6349926350478,354.15,526.09,0.259215559967755,0.51149699870215,0.51149699870215,0.95222777581244,0.95222777581244,0.116279029216449,0.522778612142132,0.569425742469288,0.845051799211926,"continuous_time",0.5,0.8,1,0,0.478792173148008,-1.88130591428129,0.0214606500124003,1.33523584244554,0.368683096446175,2.48743034067827
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",5,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep05.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.3217756707585,0.178224329241505,300.074444444446,301.414444444444,211,0,0,270067,2749,4518,291.311578989988,0.970797694983051,1.31293263219881,-0.342134937215763,282.804609405353,519.575837162296,-236.771227756943,805.45,1444.78,0.252775616666037,0.507405497232872,0.507405497232872,0.974655749380437,0.974655749380437,0.123144388289839,0.676309384692229,0.55187252272712,0.855285091091895,"continuous_time",0.5,0.8,1,0,0.491010886099061,-1.38547448133322,0.563293865173621,1.48988402710663,0.812411870772345,1.1854649268604
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",6,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep06.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.39264512661633,0.107354873383673,211.352222222222,211.054444444444,164,0,0,190217,2327,2851,186.396587454964,0.881923953744762,0.99466651154006,-0.112742557795298,164.387615372813,208.809135232371,-44.4215198595577,545,817.37,0.261590752730952,0.604229660792987,0.604229660792987,0.985038122793379,0.985038122793379,0.0498672426172887,0.352225591452442,0.650255230016925,0.791679611942095,"continuous_time",0.5,0.8,0.999999999999999,0,0.509936183848333,-1.52084679461396,0.0981319076960104,1.55306906533243,0.671701905629369,1.39404054630323
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",7,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep07.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.30551431185142,0.194485688148576,209.346666666667,209.465555555555,127,0,0,188412,2534,3602,234.091032747739,1.11819804191328,1.34949364628374,-0.231295604370454,261.76013444798,381.464656817019,-119.704522369039,691,1082.1,0.252604339666327,0.596121242016541,0.596121242016541,0.987343152951353,0.987343152951353,0.0345227649660844,0.278204736854449,0.640031473992336,0.798000579005077,"continuous_time",0.5,0.8,1,0,0.433517572431339,-1.4686767948915,0.233306126563407,1.54859536067072,0.664451469586054,1.45936769052892
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",8,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep08.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.33928863342915,0.160711366570846,186.411111111111,185.816666666667,122.5,0,0,167770,2078,2759,210.750272350383,1.13056711638163,1.33418083226871,-0.203613715887089,238.267327687815,330.760819343525,-92.4934916557094,566.999999999999,1019.09,0.261538288927094,0.577963947536195,0.577963947536195,0.982625408208959,0.982625408208959,0.000734942938633499,0.00549389179196565,0.623516012898462,0.81041537557909,"continuous_time",0.5,0.8,1,0,0.485235053854418,-1.63654057040218,0.0645481684887387,1.40040684850713,0.51553310740229,2.20549534575597
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",9,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep09.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.39399465448332,0.106005345516682,194.322222222222,194.292222222222,145,0,0,174890,1183,1263,160.529943272076,0.826101829406307,0.981189950781464,-0.155088121375157,132.614079811553,187.051673772744,-54.4375939611907,536.05,768.34,0.262406418227967,0.581292114562323,0.581292114562323,0.979953169760877,0.979953169760877,0.00686899321755985,0.0472433115008012,0.628816547807978,0.806845318110535,"continuous_time",0.5,0.8,1,0,0.466240347271394,-1.49566118427602,0.317037871278204,2.09268298653263,0.731822629805188,1.31998233744889
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",10,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep10.rds","spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.38473060331912,0.115269396680879,213.913333333333,213.9,155,0,0,192522,1924,2617,194.256396398453,0.908107939656808,1.1156490964437,-0.207541156786894,176.405775898556,266.235534678029,-89.8297587794735,594.05,877.22,0.253628306318283,0.621093186712179,0.621093186712179,0.978151289682437,0.978151289682437,0.0822891835268342,0.440177764918111,0.673109291646223,0.77389141543115,"continuous_time",0.5,0.8,0.999999999999999,0,0.488604066010629,-1.49351908244808,0.293037070827604,1.55911405390598,0.672952675047904,1.70989759174562
