"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min.1","lambda_truth_max.1","lambda_post_mean_min","lambda_post_mean_max","stress_type","confounding_type","r_reference_truth","r_truth","x2_confounding_strength","x2_residual_weight","preserve_reference_mean","beta0_reference_truth","beta0_confounding_truth","beta0_shift_to_preserve_reference_mean","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","count_sd","count_cv","reference_count_cv","count_cv_increase","variance_to_mean","reference_variance_to_mean","variance_to_mean_increase","q95_count","q99_count","reference_max_count","kappa_truth_cv","x2_phi_cell_cor","x2_phi_abs_cell_cor","x2_phi_area_mean_cor","x2_phi_abs_area_mean_cor","reference_x2_phi_abs_cell_cor","reference_x2_phi_abs_area_mean_cor","x2_area_mean_sd","x2_area_sd_mean","x2_mode","x2_ar","x2_innov_sd","x2_sd","x2_binary_like_prop","x2_empirical_ar1_mean","r_region_coverage_95","r_region_rmse","r_region_mae","r_region_mean_sd","kappa_rmse","log_kappa_rmse","cor_kappa","cor_log_kappa","kappa_post_mean_cv","s4e_beta_guard_count","s4e_kappa_guard_count","s4e_lambda_input_guard_count","s4e_lambda_output_guard_count"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",1,100,9,151.833333333333,0.00555555555555556,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.258601708347133,2.09912711965495,-1.99632149193617,-1.99780409313584,0.0111799665675908,-2.02065796122348,-1.99828469136418,-1.97557343389906,-0.00148260119967469,1,0.5,0.495477657819795,0.0115869178567667,0.473267212540392,0.495021343459626,0.518317097815767,-0.00452234218020459,1,-0.4,-0.403029266488381,0.0123373148354912,-0.427000283012077,-0.4029042720294,-0.378265705571576,-0.00302926648838092,1,0.0210689622492441,0.999901902495099,-1.98914958578674e-16,15,14.7987808281324,-0.20121917186761,9.84011743795064,14.40211568008,21.9295352761926,0.11613279009978,-3229.65434268763,-4134.73124810926,0.278333333333333,0.304074074074074,14.2733333333333,34.9300000000221,0.0903820783756154,0.0585838102290004,0.904444444444444,0.0921049838596237,0.0588956422456512,0.904444444444444,0.913783583180396,0.910612151901972,0.0454537664029247,0.0276044998944705,0.401316232282988,0.258601708347133,2.09912711965495,0.432657147971311,1.54733671607728,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.36120609062194,0.138793909378059,152.006666666666,0.0122222222222222,151.833333333334,0.00555555555555556,136650,1199,154.749641721405,1.01920730003121,1.0742851698924,-0.0550778698611927,157.72196451967,175.429165114287,-17.7072005946175,433,718.25,1368,0.258947395826071,0.553568657398345,0.553568657398345,0.985984027960683,0.985984027960683,0.0434219057072446,0.360445427373734,0.59516374148832,0.828884876171575,"continuous_time",0.5,0.8,1,0,0.500702401548939,1,2.06977851728254,1.81910230388548,3.18730884537557,0.130452588597361,0.134468147153731,0.862788432425431,0.860507860883693,0.228019079931172,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",2,100,9,226.99,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.75293698671582,1.23171288561439,-1.33184447569743,-1.33227818266057,0.00878919526855233,-1.34867159462698,-1.33228977314129,-1.31495114669926,-0.000433706963138158,1,0.5,0.496411702545565,0.00968433081540984,0.477630463421418,0.496305244024944,0.51586093468172,-0.0035882974544354,1,-0.4,-0.381788639214316,0.01149125752381,-0.403889220026865,-0.381737091279398,-0.359230736216092,0.0182113607856844,1,0.0165306449733149,0.998539642292696,9.63735264431559e-18,15,16.0297959567869,1.02979595678689,11.5200413323819,15.8567523253565,21.4901054961897,3.24510065142351,-3593.20023602497,-4729.36924668979,0.234475,0.297772222222222,14.581,228.198999999993,0.0434811874506825,0.0338055088262658,0.96,0.0431449926333168,0.0336858944152027,0.96,0.789264237366908,0.796967210506476,0.0190659403451856,0.013972436760869,0.0772744128501426,0.75293698671582,1.23171288561439,0.861044725295005,1.18320699708943,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.44678094903446,0.0532190509655409,228.057777777778,0,226.99,0,204291,1432,188.489720570766,0.830387772900857,0.937932975469486,-0.107545202568629,156.519559279463,200.626592922361,-44.1070336428983,575.749999999999,951.12,1863,0.256034194875787,0.572433708044311,0.572433708044311,0.973158089356457,0.973158089356457,0.00939918314122524,0.0568414325394035,0.623557711945433,0.810927516955801,"continuous_time",0.5,0.8,1,0,0.471020565051243,0.888888888888889,2.75747688602653,2.20449408370317,2.54713164037522,0.0886903073700817,0.0913420073403436,0.938136452637042,0.936309143181058,0.235619580875694,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",3,100,9,210.185555555556,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.782412894359852,1.27651777505022,-1.43851204127288,-1.44024268814869,0.0090054029244013,-1.45798726118104,-1.44017259231554,-1.42267109954184,-0.00173064687580515,1,0.5,0.497522096457344,0.010031706514113,0.477948296203277,0.497651247019568,0.517538368852652,-0.00247790354265559,1,-0.4,-0.396957096153937,0.0122386209751134,-0.421567518387082,-0.397102580268487,-0.372702264037712,0.00304290384606282,1,0.0251509884539507,0.996906627827577,1.15648231731787e-16,15,15.6434476217247,0.643447621724693,11.2154413596496,15.469144187634,21.0020711194397,3.51824570404045,-3558.77816363097,-4665.88509659619,0.26735,0.304211111111111,14.5693,228.804999999993,0.0444390565321364,0.0335865680349473,0.944444444444444,0.0440757236029167,0.0335029277860801,0.944444444444444,0.756260398708174,0.758511669745248,0.0183535589841839,0.0140973165350959,0.166541181567119,0.782412894359852,1.27651777505022,0.85567724551598,1.14087696936013,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.47683856444488,0.0231614355551179,209.543333333333,0,210.185555555555,0,189167,1170,166.297059251536,0.791191663061645,0.852255586798895,-0.0610639237372499,131.572846871484,152.19961782103,-20.6267709495467,516.45,816.789999999999,1306,0.256230128680154,0.621145935726548,0.621145935726548,0.956924409041409,0.956924409041409,0.0823916816811583,0.325111992461912,0.68809890644125,0.761216532978545,"continuous_time",0.5,0.8,1,0,0.451410892465294,1,1.61286245613266,1.42220706406907,2.53025506557184,0.0949562746441192,0.0949648000927552,0.929132548144693,0.93243217780211,0.235185140028519,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",4,100,9,135.288888888889,0.00333333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.368683096446175,2.48743034067827,-1.88130591428129,-1.88976474767785,0.0102654517033523,-1.90967682800561,-1.88979162772731,-1.86964001659927,-0.00845883339656006,1,0.5,0.49689589674815,0.0107775346892639,0.475646890560811,0.496589160091389,0.518375041355475,-0.00310410325185034,1,-0.4,-0.387317480125116,0.0120253202358465,-0.41038178531063,-0.387326329916515,-0.363900666236243,0.0126825198748845,1,0.0317953997819769,0.999524950626704,-1.22432927993385e-15,15,15.1847055649943,0.184705564994307,10.3879891781762,14.8842177456193,21.5604474406706,0.220445938731409,-3295.0621993371,-4215.16113266651,0.27085,0.310577777777778,14.3744,224.285000000003,0.0763376955732804,0.0538717670800057,0.928888888888889,0.0775266755887751,0.0545222644922855,0.928888888888889,0.952233732346451,0.924315619890412,0.0415947520878853,0.023776356409629,0.338418237191394,0.368683096446175,2.48743034067827,0.465662782688657,2.62202422566008,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.38237302452216,0.117626975477841,135.158888888889,0.00888888888888889,135.288888888889,0.00333333333333333,121760,1060,115.348631912963,0.852609795677292,0.942185474841353,-0.0895756791640604,98.3473734869669,119.982366122015,-21.6349926350478,354.15,526.09,1244,0.259215559967755,0.51149699870215,0.51149699870215,0.95222777581244,0.95222777581244,0.116279029216449,0.522778612142132,0.569425742469288,0.845051799211926,"continuous_time",0.5,0.8,1,0,0.478792173148008,1,1.42805155549382,1.17268089986818,2.88860905895976,0.119668489484703,0.125737231001068,0.885438178939853,0.886420894467341,0.225562863240886,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",5,100,9,300.074444444444,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.812411870772345,1.1854649268604,-1.38547448133322,-1.38099829821734,0.0090668106201106,-1.39872361399607,-1.381022699441,-1.36330411906424,0.00447618311588416,1,0.5,0.506518097894061,0.00991492156068004,0.487291298837259,0.506442897137227,0.526248196003995,0.00651809789406144,1,-0.4,-0.397618205507102,0.0114223807110095,-0.421074407530236,-0.397421810900161,-0.375603504856029,0.00238179449289805,1,0.0301906712345502,0.998288639266424,1.94289029309402e-16,15,15.4539923418424,0.453992341842412,11.1706057530332,15.324515691106,20.5203660897143,0.752487406244914,-3679.17358219463,-4906.60950689705,0.281825,0.302180555555556,14.535075,223.673999999999,0.0445906166289726,0.0331194679985918,0.931111111111111,0.0449966663724418,0.0332729166245979,0.931111111111111,0.621433863075368,0.614859759301878,0.0197279035426405,0.0139636719274856,0.167426425690494,0.812411870772345,1.1854649268604,0.895402356937463,1.08646789098824,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.3217756707585,0.178224329241505,301.414444444444,0,300.074444444446,0,270067,2749,291.311578989988,0.970797694983051,1.31293263219881,-0.342134937215763,282.804609405353,519.575837162296,-236.771227756943,805.45,1444.78,4518,0.252775616666037,0.507405497232872,0.507405497232872,0.974655749380437,0.974655749380437,0.123144388289839,0.676309384692229,0.55187252272712,0.855285091091895,"continuous_time",0.5,0.8,1,0,0.491010886099061,1,1.69954268102113,1.47138270206755,2.39491910425729,0.0899129678817507,0.0912551754373912,0.93503569254373,0.935903115196422,0.238680945782126,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",6,100,9,211.352222222222,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.671701905629369,1.39404054630323,-1.52084679461396,-1.52751868522126,0.00938577547250385,-1.54575725136873,-1.52750283841521,-1.50890320558823,-0.00667189060730489,1,0.5,0.471238363376657,0.0103789971702264,0.450585677144,0.471305760927545,0.491357466719471,-0.0287616366233429,0,-0.4,-0.393272280487929,0.0122376179768899,-0.41712869533104,-0.393395452681413,-0.369371652238716,0.00672771951207107,1,0.0232711727378206,0.999578049208655,-4.55051698482972e-16,15,14.7306031989595,-0.269396801040497,10.4463178866016,14.5429480231323,20.0855777258962,0.525838647862539,-3528.93524698252,-4651.16131671356,0.243775,0.300844444444444,14.4558,223.567999999999,0.0559355616698536,0.0433675764852897,0.908888888888889,0.0555894974429261,0.043181585173902,0.908888888888889,0.820854032595968,0.81991120888632,0.0232340243379493,0.0159357163099484,0.202865902572612,0.671701905629369,1.39404054630323,0.837786128093633,1.21249242454064,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.39264512661633,0.107354873383673,211.054444444444,0,211.352222222222,0,190217,2327,186.396587454964,0.881923953744762,0.99466651154006,-0.112742557795298,164.387615372813,208.809135232371,-44.4215198595577,545,817.37,2851,0.261590752730952,0.604229660792987,0.604229660792987,0.985038122793379,0.985038122793379,0.0498672426172887,0.352225591452442,0.650255230016925,0.791679611942095,"continuous_time",0.5,0.8,0.999999999999999,0,0.509936183848333,1,2.49597201094546,2.2299655903903,2.46882597912286,0.0997441821265951,0.104182869730422,0.923822988285741,0.92183398548381,0.244712062905024,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",7,100,9,209.346666666667,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.664451469586054,1.45936769052892,-1.4686767948915,-1.45220449604395,0.00938786138346387,-1.46984218708583,-1.45230331192458,-1.43369331315223,0.0164722988475474,1,0.5,0.491306498991524,0.0105162178149519,0.470561569427717,0.491147664290608,0.512075477479169,-0.00869350100847577,1,-0.4,-0.410231512326992,0.0122680880467711,-0.434766193684937,-0.410007661546346,-0.385683357527665,-0.0102315123269922,1,0.0349411595739044,0.998650940340834,-4.50257115542425e-16,15,16.1220723585619,1.12207235856192,11.3738030592312,15.9411637459731,21.9743559508031,0.70527108488166,-3444.52436105983,-4454.50833740069,0.252375,0.301069444444444,14.475975,224.654999999999,0.0573077996978255,0.0399416157868269,0.918888888888889,0.0557044749026197,0.0394684410206326,0.918888888888889,0.872955807846428,0.880664618388528,0.0273068242358007,0.0191884415638999,0.23202881898427,0.664451469586054,1.45936769052892,0.77575248981239,1.38756808577157,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.30551431185142,0.194485688148576,209.465555555555,0,209.346666666667,0,188412,2534,234.091032747739,1.11819804191328,1.34949364628374,-0.231295604370454,261.76013444798,381.464656817019,-119.704522369039,691,1082.1,3602,0.252604339666327,0.596121242016541,0.596121242016541,0.987343152951353,0.987343152951353,0.0345227649660844,0.278204736854449,0.640031473992336,0.798000579005077,"continuous_time",0.5,0.8,1,0,0.433517572431339,1,2.3525908885932,1.95553014162803,2.71457433789836,0.112674083547713,0.115405070384453,0.898073942137944,0.892931465441419,0.227277273724714,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",8,100,9,186.411111111111,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.51553310740229,2.20549534575597,-1.63654057040218,-1.63647567156982,0.00975870565960499,-1.65552838320926,-1.63645920660396,-1.61717382061251,6.48988323581623e-05,1,0.5,0.516632791219903,0.0104001197530873,0.496114229549526,0.516689513704383,0.53699513887875,0.0166327912199034,1,-0.4,-0.39451669468315,0.012522711277499,-0.419260304238678,-0.394398221392709,-0.369666399612146,0.00548330531684976,1,0.033187099465956,0.999603774561178,2.96059473233375e-16,15,14.6933318439913,-0.306668156008653,10.203505104643,14.4611797889202,20.5906763391874,0.34242665310597,-3394.46155129612,-4410.7754388192,0.2522,0.304919444444444,14.39725,226.119999999995,0.0641444830694897,0.0434947804261694,0.948888888888889,0.0576434836340219,0.0419092427741851,0.948888888888889,0.934059480128729,0.94073967416737,0.0301109195761585,0.0202076175186715,0.319217455187879,0.51553310740229,2.20549534575597,0.541401901455564,1.77167512779689,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.33928863342915,0.160711366570846,185.816666666667,0,186.411111111111,0,167770,2078,210.750272350383,1.13056711638163,1.33418083226871,-0.203613715887089,238.267327687815,330.760819343525,-92.4934916557094,566.999999999999,1019.09,2759,0.261538288927094,0.577963947536195,0.577963947536195,0.982625408208959,0.982625408208959,0.000734942938633499,0.00549389179196565,0.623516012898462,0.81041537557909,"continuous_time",0.5,0.8,1,0,0.485235053854418,1,1.81527029205805,1.60680538790999,2.65734756616462,0.111934816650155,0.114657948046433,0.90408758106133,0.899896991818778,0.237285485957554,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",9,100,9,194.322222222222,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.731822629805188,1.31998233744889,-1.49566118427602,-1.50168677287748,0.00937035818450983,-1.52043128005703,-1.5017569235266,-1.48321240798196,-0.00602558860145219,1,0.5,0.503389467739722,0.0097604234350425,0.484971662710288,0.503109666189009,0.522523936323653,0.00338946773972182,1,-0.4,-0.399138943990582,0.0122242542950736,-0.423813724564866,-0.398738784313647,-0.376052155147202,0.000861056009417938,1,0.0336519222388716,0.996363824215958,-2.67406419152744e-16,15,14.7722637525131,-0.227736247486853,10.5836202226724,14.6055024350653,19.8702606164465,2.62754354300724,-3511.6944226701,-4608.49892641527,0.281425,0.300386111111111,14.477725,226.989000000001,0.0430095510528854,0.0322041430968266,0.967777777777778,0.0416171710304882,0.0317355462937507,0.967777777777778,0.839517410466118,0.844472539755937,0.0214216741314633,0.0156064752514666,0.172144264588795,0.731822629805188,1.31998233744889,0.799000773119915,1.14203902038177,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.39399465448332,0.106005345516682,194.292222222222,0,194.322222222222,0,174890,1183,160.529943272076,0.826101829406307,0.981189950781464,-0.155088121375157,132.614079811553,187.051673772744,-54.4375939611907,536.05,768.34,1263,0.262406418227967,0.581292114562323,0.581292114562323,0.979953169760877,0.979953169760877,0.00686899321755985,0.0472433115008012,0.628816547807978,0.806845318110535,"continuous_time",0.5,0.8,1,0,0.466240347271394,0.888888888888889,2.4384868115824,2.00989484896299,2.37431093324875,0.099645707344178,0.101830716264264,0.924510393693483,0.926938401704178,0.24179834013249,0,0,0,0
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_FIXED_GAMMA_CONTINUOUS_X2_T100",10,100,9,213.913333333333,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.672952675047904,1.70989759174562,-1.49351908244808,-1.50032388897337,0.00923020163170398,-1.51839065672037,-1.50017773111707,-1.48223946417247,-0.00680480652528281,1,0.5,0.506478664321354,0.0103654067128045,0.485945746438727,0.506223421285534,0.52667908588701,0.00647866432135391,1,-0.4,-0.412655432916062,0.0121132481203847,-0.436839800866352,-0.412486498952018,-0.390013730312101,-0.0126554329160621,1,0.0278709578792929,0.999036538813402,-6.20645510293924e-16,15,15.432163084001,0.432163084000969,11.0089926839459,15.2499576920849,20.7810167339598,0.609733150188191,-3544.61134884638,-4651.15515436571,0.267275,0.306230555555556,14.4828,229.281000000017,0.0519694971731484,0.0369555107725895,0.952222222222222,0.0488727090061497,0.0363054101787116,0.952222222222222,0.899152525505245,0.901919454728667,0.0205280758421068,0.0148449213806516,0.243973264243862,0.672952675047904,1.70989759174562,0.652080645381969,1.38418921518207,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",15,15,0.75,1,TRUE,-1.5,-1.38473060331912,0.115269396680879,213.9,0,213.913333333333,0,192522,1924,194.256396398453,0.908107939656808,1.1156490964437,-0.207541156786894,176.405775898556,266.235534678029,-89.8297587794735,594.05,877.22,2617,0.253628306318283,0.621093186712179,0.621093186712179,0.978151289682437,0.978151289682437,0.0822891835268342,0.440177764918111,0.673109291646223,0.77389141543115,"continuous_time",0.5,0.8,0.999999999999999,0,0.488604066010629,1,2.30317010001638,1.86096135808824,2.51135547625002,0.0975330980970523,0.0995834662197775,0.922488733211313,0.925903906451628,0.236175574437158,0,0,0,0
