"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","source_data_scenario_id","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","s3_control_beta_guard_count","s3_control_kappa_guard_count","s3_control_lambda_input_guard_count","s3_control_lambda_output_guard_count","numeric_beta_guard_count","numeric_kappa_guard_count","numeric_lambda_input_guard_count","numeric_lambda_output_guard_count"
"S3_CONTROL_FIXED_GAMMA_STABILIZED_T100",1,100,9,164.013333333333,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.672003565894424,1.512122179452,-1.55101809603453,-1.55388010490489,0.00922201327409301,-1.57140956205596,-1.55378005707176,-1.53564886469908,-0.00286200887035881,1,0.5,0.488300553367956,0.0102874961669899,0.468268620180627,0.488362753796033,0.508034195003856,-0.011699446632044,1,-0.4,-0.397738444098835,0.00972921731591657,-0.416580593683466,-0.397922153572799,-0.378780937178807,0.00226155590116528,1,0.0252875390358268,0.997695507263594,-5.20417042793042e-17,15,15.304779614215,0.304779614214983,10.8944020543818,15.1033036712492,20.950457763939,1.47832408380172,-3431.73035490769,-4441.01919733582,0.237075,0.312455555555556,14.517275,220.459000000032,0.0580065738623422,0.0453473157361162,0.904444444444444,0.0574690432188947,0.0451268827069849,0.904444444444444,0.873322814850732,0.872844937418695,0.0218993655215385,0.0166474519865839,0.226235109422409,0.672003565894424,1.512122179452,0.772649450778122,1.30807603157582,"DGP_DYNAMIC_T100",164.013333333333,0,147612,944,0,0,0,0,0,0,0,0
"S3_CONTROL_FIXED_GAMMA_STABILIZED_T100",2,100,9,190.828888888889,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.867134424629295,1.16408300862199,-1.52214568450129,-1.52458878129189,0.00902889356228292,-1.54264625538308,-1.52463591340698,-1.50700718423317,-0.00244309679060795,1,0.5,0.487630122990576,0.00964881975022955,0.469210557553902,0.487439599208563,0.506563444009156,-0.0123698770094241,1,-0.4,-0.414811847461428,0.00922803607182506,-0.43326131603016,-0.414852141807817,-0.396971216376047,-0.0148118474614284,1,0.0209846141046465,0.996889550836423,4.70302809042601e-17,15,16.6582386487023,1.6582386487023,11.8783843992158,16.464684906509,22.5598855519944,7.30804272338681,-3511.26013242548,-4552.28238836764,0.25545,0.299930555555556,14.60465,220.927000000142,0.0452187905418377,0.0358430780284092,0.941111111111111,0.0453139135924736,0.0358348691934094,0.941111111111111,0.541584772686313,0.540652401888802,0.0191426745748267,0.0145990893278165,0.0906250242677312,0.867134424629295,1.16408300862199,0.899854271223924,1.08267717351441,"DGP_DYNAMIC_T100",190.828888888889,0,171746,1291,0,0,0,0,0,0,0,0
"S3_CONTROL_FIXED_GAMMA_STABILIZED_T100",3,100,9,230.316666666667,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.77194753777953,1.17803573190334,-1.40397869793906,-1.40084587094333,0.00936905820328041,-1.41963180621474,-1.40081506745736,-1.38246018317084,0.00313282699572826,1,0.5,0.499536949760297,0.0103353634486466,0.479854538055434,0.499528958294871,0.519535700796327,-0.000463050239703222,1,-0.4,-0.4105316297387,0.0101185017337051,-0.430562977345455,-0.410572593321983,-0.39097377455458,-0.0105316297387004,1,0.0290630398965213,0.992019705355579,1.35693925231964e-16,15,14.9051543868034,-0.094845613196636,10.7215391703249,14.7362929395042,19.9383093933071,6.27404580737998,-3571.95455320431,-4719.33476486959,0.241,0.301408333333333,14.493575,219.756000000052,0.038460705802029,0.0311682387694566,0.978888888888889,0.0388480381470209,0.0313099064977136,0.978888888888889,0.791605124689486,0.788528689843478,0.0177040759820238,0.0136027598690186,0.148746868139786,0.77194753777953,1.17803573190334,0.90709328171976,1.13454426319863,"DGP_DYNAMIC_T100",230.316666666667,0,207285,1919,0,0,0,0,0,0,0,0
