"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
23,-7.7730545341364,0.529085301243429,-0.409597336599571,2.09727547472342e-10,1.03837179959317,170603.105451838,1.76803016671556e-16,0.0376535900149682,0,0,0,-7.7730545341364,-7.73540094412143,-7.7730545341364,1.03837179959317,170603.105451838,1.03721044099182e-16
24,-7.03738031162167,0.518401014315976,-0.370040512170241,3.66105825000095e-13,1.03583823306787,866.899070441352,2.28027473446622e-16,0.0352109297463824,0.00777777777777778,0,0,-7.03738031162167,-7.00216938187529,-7.03738031162167,1.03583823306787,866.89907044135,3.04925837666145e-17
25,-7.70453919151709,0.471127955053437,-0.407694161743141,4.06029052943962e-11,1.03704470398622,503708.100451548,2.48381562231417e-16,0.0363742836376286,0.02,0,0,-7.70453919151709,-7.66816490787946,-7.70453919151709,1.03704470398622,503708.100451547,1.08909794762882e-16
26,-7.71754787629792,0.476351425161703,-0.375167411524783,3.28894220417465e-11,1.05889700888278,37341.2708187002,1.41306719412013e-16,0.0572273215044432,0.02,0,0,-7.71754787629792,-7.66032055479348,-7.71754787629792,1.05889700888278,37341.2708187001,2.16408681098636e-16
27,-7.74069646200413,0.46654305650855,-0.398167852488043,2.01544206737704e-10,1.05131258626575,570567.675157027,-1.25825276124184e-17,0.0500390449095077,0,0,0,-7.74069646200413,-7.69065741709462,-7.74069646200413,1.05131258626575,570567.675157027,7.41999054791146e-17
28,-7.80232488537074,0.514716868165728,-0.427613367051054,3.98252413603128e-11,1.03023026579239,807581.979502484,3.64924140288597e-16,0.0297823239069265,0.0255555555555556,0,0,-7.80232488537074,-7.77254256146381,-7.80232488537074,1.03023026579239,807581.979502482,1.68484053868983e-16
29,-7.84939473261144,0.559258459061765,-0.394040082133586,2.19592671523543e-10,1.02861116088903,300202.92482709,2.51033761679133e-17,0.0282091586663536,0,0,0,-7.84939473261144,-7.82118557394508,-7.84939473261144,1.02861116088903,300202.92482709,1.57219916098307e-16
30,-7.3662136623799,0.535360083721773,-0.401618873885835,4.66485282776594e-14,1.05695779689967,476.991523429787,-1.61229054798342e-16,0.0553945877354956,0.00333333333333333,0,0,-7.3662136623799,-7.3108190746444,-7.3662136623799,1.05695779689967,476.991523429787,4.83255410996561e-17
31,-7.71303219178464,0.527404458186401,-0.404252009610924,1.24092136720298e-09,1.03520668769054,210228.788022477,-4.73001267783009e-16,0.0346010958327528,0,0,0,-7.71303219178464,-7.67843109595189,-7.71303219178464,1.03520668769054,210228.788022478,1.36249036744276e-16
32,-7.23881075521314,0.506344298030371,-0.430700078997499,2.22587398201844e-12,1.0414592095379,1281.92087793862,2.62891560372699e-16,0.0406227615816463,0.0122222222222222,0,0,-7.23881075521314,-7.19818799363149,-7.23881075521314,1.0414592095379,1281.92087793862,1.64127970473752e-16
