"subset","parameter","n_reps","mean_truth","mean_post_mean","sd_post_mean_across_reps","mean_bias","median_bias","rmse_bias","mean_abs_bias","coverage","mean_post_sd"
"all_sampled_lambda","beta0",10,-2.32689099729843,-2196.52039910865,6940.41580929708,-2194.19350811135,-0.0263319916126848,6940.25405224837,2195.27882370628,0.5,425.443811358691
"all_sampled_lambda","beta1",10,0.5,0.505384673463676,0.0311982410582497,0.00538467346367567,-0.00162670689537458,0.030083083766898,0.0176615091166715,0.9,0.0178090043916186
"all_sampled_lambda","beta2",10,-0.4,-0.95398248364574,2.10894257189152,-0.55398248364574,-0.675294601155833,2.07599891294988,1.63533368503186,0.4,0.472063167019736
"stable_only","beta0",7,-1.59968719064944,-1.63609830830195,0.202673119743496,-0.0364111176525058,-0.0206730959035859,0.0521336069528044,0.0364111176525058,0.714285714285714,0.0249348546861619
"stable_only","beta1",7,0.5,0.495601798388272,0.0159772393550987,-0.00439820161172793,-0.00277534985976846,0.0154320737722376,0.0122625300271446,1,0.0199583015067258
"stable_only","beta2",7,-0.4,-0.34356206779215,1.89969328828011,0.0564379322078495,-0.372947813804701,1.75967952514746,1.48834949834376,0.428571428571429,0.598047317623158
"stable_plus_soft_warning","beta0",8,-1.58293283224591,-1.62693099490497,0.18942189508185,-0.0439981626590615,-0.0263319916126848,0.0596398074313458,0.0439981626590615,0.625,0.0257139952431259
"stable_plus_soft_warning","beta1",8,0.5,0.495767621398622,0.0147994831551806,-0.00423237860137763,-0.002923483694347,0.0144761749981931,0.0111136659648672,1,0.0195548410850291
"stable_plus_soft_warning","beta2",8,-0.4,-0.478788809549511,1.79988248630897,-0.0787888095495117,-0.654153927270743,1.68547842480015,1.43047781128217,0.5,0.577952697086683
"numerical_instability","beta0",2,-5.3027236575085,-10976.0942715637,15518.442278385,-10970.7915479061,-10970.7915479061,15518.8798414873,10976.2181258808,0,2127.11620081248
"numerical_instability","beta1",2,0.5,0.543852881723889,0.0593910067068806,0.0438528817238889,0.0438528817238889,0.0607183750961581,0.0438528817238889,0.5,0.0108256576179766
"numerical_instability","beta2",2,-0.4,-2.85475718003066,2.88432818454008,-2.45475718003066,-2.45475718003066,3.19147416580147,2.45475718003066,0,0.0485050467519476
