"subset","n_reps","mean_count_avg","zero_prop_avg","exposure_mean_ratio_avg","exposure_cv_avg","low_exp_mean_count_avg","high_exp_mean_count_avg","low_exp_zero_prop_avg","high_exp_zero_prop_avg","beta1_mean_avg","beta1_mean_sd","beta2_mean_avg","beta2_mean_sd","beta0_coverage","beta1_coverage","beta2_coverage","r_mean_avg","phi_rmse_avg","phi_cor_avg","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","low_exp_log_lambda_rmse_avg","high_exp_log_lambda_rmse_avg","low_minus_high_log_lambda_rmse_avg","low_exp_phi_rmse_avg","high_exp_phi_rmse_avg","low_minus_high_phi_rmse_avg","beta_guard_total","kappa_guard_total","lambda_output_guard_total"
"all_sampled_lambda",10,9.558,0.125222222222222,0.0493679722662067,0.825073234416519,3.44066666666667,17.6466666666667,0.213666666666667,0.0666666666666667,0.505384673463676,0.0311982410582497,-0.95398248364574,2.10894257189152,0.5,0.9,0.4,17.4604747060087,6210.15669917218,0.502620209733409,1.38608699351474e+24,5.87954608826001,0.428466877478682,0.2181513633521,10.1197656286967,-9.90161426534464,2196.49830373918,10297.3109144497,-8100.81261071055,40865,3632422,1871201
"stable_only",7,10.0985714285714,0.106507936507936,0.0492874086585383,0.826862937373191,3.44428571428571,19.6638095238095,0.198571428571429,0.0104761904761905,0.495601798388272,0.0159772393550987,-0.34356206779215,1.89969328828011,0.714285714285714,1,0.428571428571429,17.0875506764809,1.50471658887458,0.383921973749873,0.19894612718296,0.173154124910906,0.359584803375898,0.21697082811808,0.0820630183065194,0.134907809811561,1.25158351149569,1.3149831545169,-0.0633996430212087,0,0,0
"stable_plus_soft_warning",8,10.3233333333333,0.112361111111111,0.0488946924174229,0.821664096605501,3.2,19.82625,0.229583333333333,0.00958333333333334,0.495767621398622,0.0147994831551806,-0.478788809549511,1.79988248630897,0.625,1,0.5,17.2939814045862,1.42509077673173,0.403412609258967,0.219785564758484,0.184604883060453,0.362512044424081,0.239464716242728,0.0813661276548063,0.158098588587921,1.26401005552091,1.2060317642844,0.057978291236504,0,0,3
"numerical_instability",2,6.49666666666667,0.176666666666667,0.0512610916613419,0.83870978566059,4.40333333333333,8.92833333333333,0.15,0.295,0.543852881723889,0.0593910067068806,-2.85475718003066,2.88432818454008,0,0.5,0,18.1264479116988,31045.083132754,0.899450611631177,6.9304349675737e+24,28.6593109090582,0.692286209697087,0.13289795178959,50.2733636328645,-50.1404656810749,10977.4354784738,51481.7304451915,-40504.2949667177,40865,3632422,1871198
