"subset","exposure_group","n_reps","mean_count_avg","zero_prop_avg","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","phi_rmse_avg","phi_mae_avg","phi_cor_avg"
"all_sampled_lambda","high_exposure",10,17.6466666666667,0.0666666666666667,2.40077309647793e+24,10.1197656286967,0.581795570063193,10297.3109144497,7317.94077293229,0.657726254860862
"all_sampled_lambda","low_exposure",10,3.44066666666667,0.213666666666667,0.276041039475519,0.2181513633521,0.290309744289619,2196.49830373918,2196.32400099749,0.367295138506286
"all_sampled_lambda","middle_exposure",10,7.58666666666667,0.0953333333333334,0.148070705541118,0.142060094588504,0.42094166945774,2196.72266113782,2196.4583228454,0.306183386927549
"stable_only","high_exposure",7,19.6638095238095,0.0104761904761905,0.082599397544997,0.0820630183065194,0.634148824589822,1.3149831545169,1.27553511891123,0.511262004391358
"stable_only","low_exposure",7,3.44428571428571,0.198571428571429,0.266444417581996,0.21697082811808,0.236410560385678,1.25158351149569,1.19839741701061,0.439279377383855
"stable_only","middle_exposure",7,7.18761904761905,0.110476190476191,0.156796511307571,0.149075026345575,0.397443573882169,1.7079501404034,1.51384083447161,0.259024274837352
"stable_plus_soft_warning","high_exposure",8,19.82625,0.00958333333333334,0.0819568291119722,0.0813661276548063,0.638769680935611,1.2060317642844,1.171493223497,0.572179372633652
"stable_plus_soft_warning","low_exposure",8,3.2,0.229583333333333,0.310947426990173,0.239464716242728,0.261622847239615,1.26401005552091,1.20236811868271,0.465323566128975
"stable_plus_soft_warning","middle_exposure",8,7.94375000000001,0.0979166666666668,0.148135968762792,0.14145118594557,0.394474485789215,1.55530888754138,1.38513017531345,0.351506275640895
"numerical_instability","high_exposure",2,8.92833333333333,0.295,1.20038654823897e+25,50.2733636328645,0.353899126573519,51481.7304451915,36585.0178917675,0.999913783769699
"numerical_instability","low_exposure",2,4.40333333333333,0.15,0.136415489416903,0.13289795178959,0.405057332489636,10977.4354784738,10976.8105325127,-0.0248185719844675
"numerical_instability","middle_exposure",2,6.15833333333333,0.085,0.147809652654425,0.144495729160239,0.526810404131842,10977.3920701389,10976.7510935257,0.124891832074161
