"scenario_id","rep_id","fit_status","nonfailed","stable_fit","mean_count","zero_prop","exposure_mean_ratio","exposure_cv","count_low_exposure_mean_count","count_low_exposure_zero_prop","count_high_exposure_mean_count","count_high_exposure_zero_prop","beta0_mean","beta1_mean","beta2_mean","r_mean","phi_rmse","phi_cor","lambda_rmse","log_lambda_rmse","cor_log_lambda","lambda_low_exposure_log_lambda_rmse","lambda_high_exposure_log_lambda_rmse","phi_low_exposure_phi_rmse","phi_high_exposure_phi_rmse","s4b_beta_guard_count","s4b_kappa_guard_count","s4b_lambda_input_guard_count","s4b_lambda_output_guard_count"
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",1,"stable",TRUE,TRUE,9.01222222222222,0.115555555555556,0.051100885077019,0.772886513957123,4.01,0.13,18.6533333333333,0,-1.70780846833332,0.499521936069019,-0.772947813804701,15.5880203099412,0.381386750131473,0.894805028111157,0.223508464364561,0.202897627561875,0.0215474003495702,0.156157346089038,0.0766223601274456,0.34653895824546,0.398575537011269,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",2,"soft_warning",TRUE,FALSE,11.8966666666667,0.153333333333333,0.0461456787296147,0.785272211231672,1.49,0.446666666666667,20.9633333333333,0.00333333333333333,-1.56275980112615,0.496928382471074,-1.42537600185104,18.7389965013232,0.867710091731796,0.539847057822632,0.365661627787147,0.264760190107282,0.383002731761362,0.396921933115261,0.0764878930928147,1.3509958636974,0.443372032656907,0,0,0,3
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",3,"stable",TRUE,TRUE,8.39888888888889,0.13,0.0555929215485771,1.18511589009766,1.76666666666667,0.27,18.4066666666667,0.05,-1.80261500096978,0.520452371619239,2.66557411660691,18.1782795264387,3.08155713549453,0.0440248049500976,0.177468742395561,0.171582090911305,0.199877744030692,0.244975033559126,0.123832357986288,3.05751459863908,3.14477977654667,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",4,"numerical_instability",FALSE,FALSE,5.90444444444444,0.187777777777778,0.0553186962035692,0.854245265689194,3.69333333333333,0.1,10.12,0.303333333333333,-21949.2900400617,0.58584866530782,-0.815229161574881,16.9449756403628,62075.5347131318,0.985298817324148,682.782705975075,3.0085116067339,0.732735131151371,0.112676893785387,3.79443254182595,21947.1309848179,102940.58761541,39798,3631860,0,1053548
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",5,"stable",TRUE,TRUE,15.7822222222222,0.113333333333333,0.0494731736054185,0.850287624248096,3.56,0.31,35.9066666666667,0,-1.49667175901159,0.471957529306006,-2.25816188696685,17.123944149552,1.79067740588115,-0.166648720910754,0.435878041610252,0.293803476535292,0.546887769960379,0.450494066159201,0.0398247887143703,1.47080113256342,1.83719768623813,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",6,"stable",TRUE,TRUE,9.36,0.0722222222222222,0.0494606889370041,0.648279493233658,3.57,0.1,18.7466666666667,0,-1.76590747477415,0.497224650140232,1.94118189032371,16.9419968787035,2.37967841172729,0.257410994935494,0.136786535787786,0.136857070947983,0.406705628159183,0.174752006088501,0.0788480334336868,0.853389683917931,0.814550593772902,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",7,"numerical_instability",FALSE,FALSE,7.08888888888889,0.165555555555556,0.0472034871191146,0.823174305631986,5.11333333333333,0.2,7.73666666666667,0.286666666666667,-2.8985030656077,0.501857098139958,-4.89428519848643,19.3079201830348,14.6315523761542,0.813602405938206,1.38608699351474e+25,54.3101102113826,0.651837288242802,0.153119009793792,96.752294723903,7.73997212977093,22.8732749730878,1067,562,0,817650
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",8,"stable",TRUE,TRUE,7.54333333333333,0.191111111111111,0.0467254010217166,0.801431177341371,1.88,0.283333333333333,17.8433333333333,0.00333333333333333,-1.86571167822796,0.49093333626628,-1.88263405035999,14.7296500237495,1.54527265391825,0.827402274586108,0.202747032906589,0.197257624533003,0.308458018626542,0.224938743870903,0.0753777587993799,1.58913225126121,1.83150615337625,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",9,"stable",TRUE,TRUE,9.33333333333333,0.0844444444444444,0.0508557399152359,0.872755737430909,3.26333333333333,0.216666666666667,8.32,0.0166666666666667,-1.50596071664151,0.50707277783472,-0.762586689607348,19.6563841303075,0.414164161113524,0.631025985312643,0.119594786657489,0.117349749223478,0.535443094814067,0.153228796342536,0.09979582855831,0.494499704923054,0.304221672355644,0,0,0,0
"S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_T100",10,"stable",TRUE,TRUE,11.26,0.0388888888888889,0.0418030505047972,0.657284125303518,6.06,0.08,19.77,0.00333333333333333,-1.30801306015533,0.482049987482409,-1.33536004073678,17.3945797166737,0.940279603855825,0.199433449264362,0.0966392865584839,0.0923312346634071,0.498173967690856,0.114249804717256,0.0801400005261553,0.949208250919702,0.874050662317453,0,0,0,0
