"scenario","subset","n_reps","mean_count_avg","zero_prop_avg","beta1_mean_avg","beta2_mean_avg","beta2_mean_sd","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","numerical_instability_rate","conclusion"
"S3 control fixed gamma","all_control_reps",3,195.052962962963,0,0.49182254203961,-0.407693973766321,0.00888338303568151,0.0472286900687363,0.0472103316527964,0.734008676383658,0,"Non-sparse reference setting; same stabilized machinery should be stable."
"S4A sparse counts fixed gamma","stable_plus_soft_warning",8,3.16916666666667,0.222777777777778,0.51139828253018,-0.67487817991245,2.5284376281788,0.232468750486275,0.20577160581653,0.434949904227358,0.2,"Global sparse-count stress; beta2 and latent recovery degrade and some reps fail."
"S4B low heterogeneous exposure fixed gamma","stable_plus_soft_warning",8,10.3233333333333,0.112361111111111,0.495767621398622,-0.478788809549511,1.79988248630897,0.219785564758484,0.184604883060453,0.362512044424081,0.2,"Exposure imbalance stress; low-exposure areas show weaker latent-risk recovery and difficult reps may fail."
