"rep_id","fit_status","nonfailed","stable_fit","mean_count","zero_prop","low_mean_count","high_mean_count","low_zero_prop","high_zero_prop","low_log_lambda_rmse","high_log_lambda_rmse","low_minus_high_log_lambda_rmse","low_phi_rmse","high_phi_rmse","low_minus_high_phi_rmse"
1,"stable",TRUE,TRUE,9.01222222222222,0.115555555555556,4.01,18.6533333333333,0.13,0,0.156157346089038,0.0766223601274456,0.0795349859615924,0.34653895824546,0.398575537011269,-0.052036578765809
2,"soft_warning",TRUE,FALSE,11.8966666666667,0.153333333333333,1.49,20.9633333333333,0.446666666666667,0.00333333333333333,0.396921933115261,0.0764878930928147,0.320434040022446,1.3509958636974,0.443372032656907,0.907623831040493
3,"stable",TRUE,TRUE,8.39888888888889,0.13,1.76666666666667,18.4066666666667,0.27,0.05,0.244975033559126,0.123832357986288,0.121142675572838,3.05751459863908,3.14477977654667,-0.0872651779075899
4,"numerical_instability",FALSE,FALSE,5.90444444444444,0.187777777777778,3.69333333333333,10.12,0.1,0.303333333333333,0.112676893785387,3.79443254182595,-3.68175564804056,21947.1309848179,102940.58761541,-80993.4566305921
5,"stable",TRUE,TRUE,15.7822222222222,0.113333333333333,3.56,35.9066666666667,0.31,0,0.450494066159201,0.0398247887143703,0.410669277444831,1.47080113256342,1.83719768623813,-0.36639655367471
6,"stable",TRUE,TRUE,9.36,0.0722222222222222,3.57,18.7466666666667,0.1,0,0.174752006088501,0.0788480334336868,0.0959039726548142,0.853389683917931,0.814550593772902,0.0388390901450291
7,"numerical_instability",FALSE,FALSE,7.08888888888889,0.165555555555556,5.11333333333333,7.73666666666667,0.2,0.286666666666667,0.153119009793792,96.752294723903,-96.5991757141092,7.73997212977093,22.8732749730878,-15.1333028433169
8,"stable",TRUE,TRUE,7.54333333333333,0.191111111111111,1.88,17.8433333333333,0.283333333333333,0.00333333333333333,0.224938743870903,0.0753777587993799,0.149560985071523,1.58913225126121,1.83150615337625,-0.24237390211504
9,"stable",TRUE,TRUE,9.33333333333333,0.0844444444444444,3.26333333333333,8.32,0.216666666666667,0.0166666666666667,0.153228796342536,0.09979582855831,0.053432967784226,0.494499704923054,0.304221672355644,0.19027803256741
10,"stable",TRUE,TRUE,11.26,0.0388888888888889,6.06,19.77,0.08,0.00333333333333333,0.114249804717256,0.0801400005261553,0.0341098041911007,0.949208250919702,0.874050662317453,0.075157588602249
