"scenario_id","rep_id","TT","n1","stress_type","r_reference_truth","r_stress_truth","r_stress_min","r_stress_max","r_ratio_to_reference","beta0_star","beta0_star_ident","mean_exposure","min_exposure","max_exposure","gamma_truth_mean","delta_truth","theoretical_variance_to_mean_avg","lambda_raw_min","lambda_raw_median","lambda_raw_max","lambda_ident_min","lambda_ident_median","lambda_ident_max","lambda_ident_log_rm_mean","coherent","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","count_sd","count_var","count_cv","variance_to_mean","max_to_mean","q05_count","q25_count","q50_count","q75_count","q90_count","q95_count","q99_count","reference_mean_count","reference_median_count","reference_zero_prop","reference_nonzero_prop","reference_total_count","reference_max_count","reference_count_sd","reference_count_var","reference_count_cv","reference_variance_to_mean","reference_max_to_mean","reference_q05_count","reference_q25_count","reference_q50_count","reference_q75_count","reference_q90_count","reference_q95_count","reference_q99_count","kappa_mean","kappa_sd","kappa_cv","kappa_min","kappa_q01","kappa_q05","kappa_median","kappa_q95","kappa_q99","kappa_max","reference_kappa_mean","reference_kappa_sd","reference_kappa_cv","reference_kappa_min","reference_kappa_q01","reference_kappa_q05","reference_kappa_median","reference_kappa_q95","reference_kappa_q99","reference_kappa_max","file"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",1,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-1.67581758101154,656.841291469245,291.48251758498,1168.75170429396,0.8,0.9,17.346316801391,0.0842390914207052,1.05685542354555,1.6098143768284,0.666221989997869,0.997096196536622,1.81516555879515,5.7831825748009e-17,TRUE,166.211111111111,117.5,0,1,149590,1166,157.661448191069,24857.1322457051,0.94856142370454,149.55156775944,7.01517481115049,12,54.75,117.5,229.25,372,470.15,726.02,162.68,126,0,1,146412,1440,147.685788574357,21811.0921468298,0.907830025659931,134.073593231066,8.85173346447014,13,55,126,229,340.3,458.25,628.42,0.997550038085267,0.325173004089285,0.325971622148834,0.196885034731027,0.402303109214857,0.53072153109733,0.965220718929488,1.58404992448431,1.92277524958289,2.29470560333351,0.990900723979881,0.263980139640231,0.266404225218419,0.398950009942583,0.506506820863372,0.61488909613554,0.959746751822535,1.47762305639063,1.71850022738811,2.03189560076868,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep01.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",2,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-1.4656523234212,724.026171419258,311.909192262216,1145.58825906128,0.8,0.9,26.9204597876268,0.198607790466504,1.18975412470388,1.66174106327009,0.641218927388333,1.00221050230768,1.623511272448,8.37871438896798e-17,TRUE,262.708888888888,162,0,1,236438,5129,342.058626932655,117004.104259053,1.30204435936436,445.375505769581,19.5235114490903,16,74,162,327.5,597.4,832.2,1422.49,257.365555555555,163.5,0,1,231629,4248,305.289502699543,93201.6804585341,1.1862096388172,362.137350731907,16.505705244162,19,75,163.5,331.5,601.8,791.3,1280.44,0.99967330944027,0.326522490504789,0.32662919718004,0.269556332527647,0.400455566430626,0.546154834923492,0.968114020869361,1.57212128640084,1.89301877637751,2.40771881273618,0.988968418546876,0.248707427612176,0.251481668117987,0.362882832511722,0.491749562422888,0.605423776701875,0.971019692312072,1.42020436496918,1.66178142796449,2.01885584941675,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep02.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",3,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-1.78194190506619,742.828380650023,328.087077787036,1123.59428988503,0.8,0.9,18.8873267723231,0.0354830172011052,1.04281539800945,2.18576446461718,0.66957094593915,1.00955307250133,1.44475245341837,2.56742929385625e-16,TRUE,179.033333333334,129,0,1,161130,1388,179.181729885626,32106.0923248054,1.0008288766652,179.330249440357,7.75274622975237,11.95,64.75,129,230.25,386.2,525.649999999999,894.02,182.707777777778,128,0,1,164437,1695,185.173958874113,34289.3950451118,1.01349795354271,187.673428368315,9.27710916642848,11,68,128,233.25,382,546.1,866.12,1.00084388010161,0.321772481120298,0.321501172678032,0.331349779016998,0.407396992498214,0.543952114774548,0.967523177077517,1.59832835475808,1.83983362990385,2.75000560753991,1.01402225587773,0.268084830346822,0.2643776591617,0.429070253778136,0.529632780656414,0.62542960945235,0.976231093541948,1.46456438044032,1.80301635820851,2.15048440889108,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep03.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",4,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-2.28036627476399,655.403339109013,367.078772207106,1225.33247695285,0.8,0.9,14.4328701269213,0.000473344384043854,0.877653235215205,1.46026670956317,0.148714873349531,0.995786141985016,4.92023393746212,8.70802272882424e-17,TRUE,136.225555555556,103.5,0.0466666666666667,0.953333333333333,122603,731,130.327188210669,16985.175986899,0.956701462359009,124.684211546284,5.36610034012218,1,39,103.5,191,320.1,418,571.06,133.436666666667,101,0.0522222222222222,0.947777777777778,120093,793,129.030660875821,16648.9114460512,0.966980546645008,124.770138987668,5.94289425695086,0,39,101,190,299.1,399.15,576.01,1.01786988061198,0.322922670460508,0.317253390252942,0.216568078425864,0.424364788726748,0.555697536318193,0.986063190563191,1.61648263703457,1.88616102963725,2.26706882447801,0.986806951103481,0.260890092138675,0.264378044608359,0.359962692295593,0.474019608902351,0.591146682622223,0.971330556829179,1.45928066046099,1.6872815479441,2.01194413498081,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep04.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",5,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-1.37314237558449,887.757482377902,426.130275683098,1230.09755233465,0.8,0.9,34.3762788955578,0.605029805921024,1.20550695693825,1.68177691088246,0.741994020858652,1.00190048750493,1.28535281026071,5.28681072685543e-17,TRUE,334.568888888889,230.5,0,1,301112,2117,327.614991366826,107331.582568286,0.979215349206087,320.805628176416,6.32754589654347,30.95,104,230.5,461.75,761.1,950.449999999999,1670.2,332.278888888889,230.5,0,1,299051,2576,317.509673328662,100812.392657273,0.955551748684324,303.396923573391,7.75252381700781,34.9,109,230.5,463.25,769.4,948.05,1452.15,1.01036859269524,0.322851477062537,0.319538314429692,0.300306695491536,0.419477673899515,0.54313297732004,0.968758717266855,1.58234763597453,1.93964735742094,2.32875786477018,1.0038238885866,0.252545872113285,0.251583843525454,0.411857398559804,0.504850933369456,0.619812905449645,0.99144295729778,1.45075287459451,1.6419621451787,1.99587079616545,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep05.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",6,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-1.7511894022961,746.404876046611,362.395160911671,1195.19513601871,0.8,0.9,18.2244708551354,0.288226577457566,1.02496948631914,1.60408648714487,0.761261087000651,1.0050190341872,1.29270978852057,1.16518002807937e-16,TRUE,170.416666666667,117,0,1,153375,1428,166.197059114435,27621.4624582869,0.975239466686168,162.081931295571,8.37946210268948,26,66,117,210.5,381.3,484.05,778.52,172.447777777778,117,0,1,155203,1411,168.609567844784,28429.1863688048,0.977742769536063,164.856785834838,8.18218719998969,25.95,63,117,217.25,373.2,503.1,826.32,1.00391926693869,0.313187886133045,0.311965211194787,0.284550044438651,0.433552568015221,0.541945814299543,0.969179947904413,1.5724314909313,1.83561969995765,2.16596152554398,0.989084630873505,0.260915665223278,0.26379508596029,0.425413940918357,0.503633827556377,0.608074323244384,0.962048035201667,1.46737818714498,1.74027952517159,1.92993696534158,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep06.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",7,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-8.325081040253,604.23034726049,302.830619427248,1075.22122419596,0.8,0.9,19.4368202137225,2.2250738585072e-308,1.18160630025568,1.65725419267295,4.20716072856158e-281,1.01313615167146,1.02906146131891e+26,3.84797903417599e-15,TRUE,184.633333333333,136.5,0.0555555555555556,0.944444444444444,166170,1527,182.204755313169,33198.5728587319,0.986846481205107,179.808121639639,8.27044592886804,0,54.75,136.5,263.25,416.5,526.3,770.58,185.008888888889,134,0.0555555555555556,0.944444444444444,166508,1324,176.415943200861,31122.5850154493,0.953553876575149,168.222106528842,7.15641290508566,0,59,134,261.5,418.2,504.25,843.19,0.993984513486731,0.297735456662569,0.299537319367445,0.343807209947811,0.440056868617092,0.572702374929778,0.967363132672455,1.51577531544627,1.90115153079676,2.27183646313351,1.00520176629185,0.257354673022619,0.256022901722496,0.397538506680837,0.533212155668388,0.626365339821555,0.991293772856781,1.4535428818384,1.67144060961966,2.05440781425334,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep07.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",8,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-1.8570761548057,621.89731636801,314.497789568473,1013.89738560842,0.8,0.9,14.7302237768832,0.102236345553197,1.09060104952809,1.63562877573759,0.562307034891257,1.00179794430644,1.47304675861128,1.47870720298056e-16,TRUE,139.236666666666,97,0,1,125313,948,136.49427043678,18630.6858620689,0.980304065764149,133.805888262687,6.80855138732616,14,43,97,198,309.1,412.999999999999,614.09,137.595555555556,99.5,0,1,123836,979,132.698763890082,17608.9619379558,0.964411701775525,127.976240706743,7.11505539584612,16,43,99.5,188,307.1,384.1,613.48,1.00467912845308,0.319300043088389,0.317812955445804,0.337151550051369,0.456087372949825,0.539570085182389,0.976228681361018,1.60222482697425,1.83528326582866,2.170772637888,1.00027254571559,0.26272789496757,0.262656309115848,0.410693971081188,0.47866612464892,0.620988224831647,0.970605565083794,1.4909665849064,1.64086932622482,2.12570783679998,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep08.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",9,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-1.46259269926043,712.142365341312,309.901526286,1190.94772781571,0.8,0.9,25.7037279886998,0.552229257466157,1.10105541992036,1.35161792767436,0.780774909435344,1.00419891249988,1.24258812596504,4.3441330779517e-17,TRUE,243.037777777778,130,0,1,218734,2849,318.543492010218,101469.956302064,1.31067480505635,417.506929292462,11.722457414028,36,75,130,263.25,545.1,894.3,1563.6,242.872222222223,137,0,1,218585,3306,321.56255445002,103402.476424422,1.32399889747703,425.748467561725,13.6120959809684,38,80,137,259,547.4,852.4,1486.8,0.999829398421111,0.314895716169403,0.314949447042338,0.292357392599564,0.429949367952848,0.559830254940924,0.963887505388095,1.58762559713558,1.8863626693706,2.24643669736125,1.00499668747868,0.261694211376263,0.260393108392026,0.344947634997653,0.516045829259599,0.606656856058236,0.987820415653196,1.4768733958503,1.6904055121767,1.86592868158648,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep09.rds"
"S4C_OVERDISPERSION_CALIB_T100_R10p000",10,100,9,"small_r_overdispersion",15,10,10,10,0.666666666666667,-1.5,-1.29605021652164,763.063890650379,418.182860098175,1236.7443949057,0.8,0.9,29.3878694316577,0.784014796234997,1.25946607001024,1.87467324440051,0.8155914724962,0.998551481899062,1.40511102208183,7.48465718415482e-17,TRUE,281.151111111111,195,0,1,253036,2182,293.74550184498,86286.4198541589,1.04479580636938,306.904068467502,7.76095101092334,38.95,94,195,348,612,870,1483.1,283.385555555555,197.5,0,1,255047,2236,290.934697159639,84642.9980113706,1.02663911923557,298.68494124704,7.8903104133748,40,95,197.5,359.75,582.2,792.6,1549.17,0.996999256369639,0.320749596285037,0.321714980463454,0.360185829963915,0.429714990165543,0.547839926928924,0.94734252921191,1.59468832361357,1.91848255878963,2.42042352269762,0.995444933208474,0.252734115343867,0.25389060400284,0.35192162093894,0.467428032488698,0.624357076930074,0.976288642962706,1.42746896802319,1.6572614452901,1.86072089542388,"./data_s4c_overdispersion_calibration/S4C_OVERDISPERSION_CALIB_T100_R10p000/data_rep10.rds"
