"scenario_id","rep_id","parameter","truth","post_mean","post_sd","q025","q50","q975","bias","covered"
"S2_DYNAMIC_FIXED_GAMMA_T100",1,"beta0",-1.55101809603453,-1.55384687270306,0.00945274444539213,-1.57245304856149,-1.55376963799745,-1.53487433701906,-0.0028287766685311,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,"beta1.beta1",0.5,0.487941597115367,0.010564223121884,0.467835679377535,0.48785205341179,0.509147985756211,-0.012058402884633,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,"beta2.beta2",-0.4,-0.397357794187495,0.00992154612519159,-0.416679277005968,-0.397239419234776,-0.378275253166338,0.00264220581250552,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,"beta0",-1.52214568450129,-1.5246433927779,0.00889243855658603,-1.54232687787978,-1.5245716447866,-1.50699859997821,-0.00249770827661644,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,"beta1.beta1",0.5,0.488004428970955,0.00976470678000593,0.469251027919089,0.487878615683583,0.507095668531483,-0.0119955710290454,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,"beta2.beta2",-0.4,-0.415172921956613,0.00918617575498006,-0.433570066123615,-0.415268113674481,-0.396876938733009,-0.0151729219566132,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,"beta0",-1.40397869793906,-1.40096390292822,0.00931117764132485,-1.41990499751435,-1.40089564550202,-1.38236220224045,0.00301479501084212,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,"beta1.beta1",0.5,0.499801743648804,0.0102927123031596,0.479349348290418,0.499680952575634,0.519535200529623,-0.000198256351196469,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,"beta2.beta2",-0.4,-0.409801265100635,0.0100612097298318,-0.42876654041933,-0.409896890699861,-0.389553242227925,-0.0098012651006345,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,"beta0",-1.59011227919885,-1.59464647062796,0.00937625289917795,-1.6130646455844,-1.59461152491577,-1.576252894356,-0.00453419142911038,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,"beta1.beta1",0.5,0.505594215920471,0.0101521761078997,0.485805563156073,0.505403847738961,0.525793579989775,0.00559421592047094,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,"beta2.beta2",-0.4,-0.412178442536471,0.0101120401949483,-0.431901098108559,-0.411997508673683,-0.39216562639668,-0.0121784425364709,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,"beta0",-1.53963015075169,-1.52829122626913,0.00919353924322452,-1.54635092924202,-1.52834018122495,-1.50950944150037,0.011338924482559,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,"beta1.beta1",0.5,0.48886659626629,0.0100498817167865,0.469319112455445,0.488817141423755,0.508230499471226,-0.0111334037337101,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,"beta2.beta2",-0.4,-0.398442285864398,0.00963276680396922,-0.417192699024335,-0.398388976817512,-0.379874031795819,0.00155771413560218,1
"S2_DYNAMIC_FIXED_GAMMA_T100",6,"beta0",-1.44814607902023,-1.4594072884688,0.00912146780857625,-1.47732096670764,-1.4594270385973,-1.44103417355931,-0.0112612094485725,1
"S2_DYNAMIC_FIXED_GAMMA_T100",6,"beta1.beta1",0.5,0.50408238494449,0.010542739051872,0.483512196314867,0.503962827623951,0.524864731263227,0.00408238494448987,1
"S2_DYNAMIC_FIXED_GAMMA_T100",6,"beta2.beta2",-0.4,-0.40025811565641,0.0097689517119162,-0.419579657246526,-0.400329362355215,-0.381232369376262,-0.000258115656409819,1
