"scenario_id","rep_id","region","truth","mean","q025","q50","q975","bias","covered"
"S2_DYNAMIC_FIXED_GAMMA_T100",1,1,-0.25957193672066,-0.252511645478012,-0.305518678120989,-0.25262412767225,-0.198003966849044,0.00706029124264768,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,2,-0.133631150544175,-0.142973809435541,-0.195564147677673,-0.143334885162538,-0.0886072182044432,-0.0093426588913664,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,3,-0.150220751828285,-0.14248558596381,-0.196986571435232,-0.142669291683498,-0.0870182428693838,0.00773516586447526,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,4,0.248808273906479,0.25839412414526,0.213670053602672,0.258239751373001,0.304182556455135,0.00958585023878075,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,5,-0.397187960145802,-0.360748036499543,-0.4196129343531,-0.360271030086801,-0.301523216611922,0.0364399236462589,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,6,0.819539742628255,0.848895731290584,0.79710511776543,0.8486366509984,0.900886076421127,0.0293559886623295,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,7,-0.307932047532077,-0.325225314913089,-0.373845546233248,-0.325646099291686,-0.274198398022382,-0.0172932673810114,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,8,-0.0606666285713252,-0.117439320279078,-0.168991313022014,-0.117027552136238,-0.0677383161490201,-0.0567726917077527,0
"S2_DYNAMIC_FIXED_GAMMA_T100",1,9,0.240862458807591,0.234093857133228,0.179208027441389,0.234064364426973,0.290712614669875,-0.006768601674363,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,1,0.182084051449212,0.169615207093691,0.119741056775067,0.169311354810186,0.217723196891084,-0.0124688443555206,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,2,-0.11155441255226,-0.110039213392698,-0.160344499275658,-0.110330940052979,-0.060060028121819,0.00151519915956203,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,3,0.27721323545266,0.264000773251824,0.214438909362546,0.263911832830051,0.314521567594225,-0.0132124622008354,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,4,0.0268328699779476,0.0329719075630161,-0.0159612000211622,0.0325196257316965,0.0828135522998753,0.00613903758506844,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,5,0.0125750927155017,-0.0248608702742845,-0.0670013054236831,-0.0247335997164052,0.0171389143791351,-0.0374359629897862,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,6,-0.0940771246827795,-0.103632899838237,-0.155148770287118,-0.103146679714586,-0.0527949072947318,-0.00955577515545752,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,7,0.175272519288941,0.192656745273897,0.142545556196696,0.192894569249784,0.242325410498353,0.0173842259849566,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,8,0.0647646789668758,0.0709891644955893,0.0187033918593965,0.0712258775051936,0.121486014520229,0.00622448552871352,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,9,-0.533110910616098,-0.491700814172801,-0.545107809527701,-0.492495546431704,-0.434234680527161,0.0414100964432964,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,1,0.521689868345825,0.565080072374935,0.512196787638871,0.565213241304035,0.61673782526227,0.0433902040291103,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,2,0.0480619517200335,-0.0102946487299157,-0.0679108396593204,-0.0105724999363681,0.0462786977118871,-0.0583566004499492,0
"S2_DYNAMIC_FIXED_GAMMA_T100",3,3,-0.0037090566840749,-0.0147516309571076,-0.0674443440367658,-0.014426250207433,0.0406519362204936,-0.0110425742730327,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,4,-0.183356827310376,-0.176043848632137,-0.23025150925517,-0.176680624625043,-0.118048473598327,0.00731297867823905,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,5,-0.00574801165232151,-0.0192839970176011,-0.0650508691148243,-0.0192854899537955,0.0270561529067182,-0.0135359853652796,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,6,-0.208919898819736,-0.235206601635881,-0.29161351583522,-0.235997919680152,-0.180370753283315,-0.026286702816145,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,7,0.0293723050052874,0.0456832769080163,-0.0025689226369418,0.0451511239284886,0.0943567583259493,0.0163109719027289,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,8,-0.0553568938674499,-0.0447932407850829,-0.0911013662334148,-0.0449304927276739,0.000665600824332773,0.010563653082367,1
"S2_DYNAMIC_FIXED_GAMMA_T100",3,9,-0.142033436737188,-0.110389381525224,-0.163430285998269,-0.110491446656729,-0.055968090947399,0.0316440552119638,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,1,0.168603017975723,0.186504109307271,0.139298535782983,0.18655016673407,0.234417532586204,0.0179010913315478,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,2,-0.259493362446791,-0.287460274034397,-0.340167456103163,-0.287708906175282,-0.233405143430489,-0.0279669115876058,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,3,-0.335022150561045,-0.358052563601986,-0.410243455240285,-0.358016951848729,-0.305782047606043,-0.023030413040941,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,4,0.0501487507912126,0.0583743555131525,0.00556773097503977,0.0583851482053265,0.115579803550296,0.00822560472193985,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,5,0.10043897350337,0.112502083136386,0.0615828503265592,0.112293423802057,0.163648303763232,0.0120631096330167,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,6,-0.191006560761059,-0.138154993752484,-0.185533816643885,-0.138724831671779,-0.0881978512042722,0.0528515670085752,0
"S2_DYNAMIC_FIXED_GAMMA_T100",4,7,0.0266695103986596,0.0106102291828638,-0.0398197584327158,0.0102534472374973,0.0606758842097676,-0.0160592812157958,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,8,0.178314163348465,0.134998837459434,0.0779405379264228,0.134975952442837,0.191766899204457,-0.0433153258890311,1
"S2_DYNAMIC_FIXED_GAMMA_T100",4,9,0.261347657751465,0.280678216789761,0.230145495313304,0.280724181484007,0.331016750756803,0.0193305590382959,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,1,-0.143830250708542,-0.121729303298004,-0.171342479180991,-0.121986881338401,-0.0708394136613564,0.0221009474105377,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,2,0.0710624293193992,0.100018376756121,0.0439978458119344,0.0999994658672569,0.155786658146823,0.0289559474367223,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,3,-0.0865072839562856,-0.10753656807665,-0.154791894390653,-0.107719661866664,-0.058358608735019,-0.021029284120364,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,4,0.164551457806135,0.154831025828705,0.106447499322587,0.154580041714929,0.205629438134831,-0.00972043197742942,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,5,-0.583796512960155,-0.610959690733277,-0.659108769941119,-0.611252057970771,-0.563674777645821,-0.027163177773122,1
"S2_DYNAMIC_FIXED_GAMMA_T100",5,6,0.231677667898132,0.25422487168769,0.200619393564678,0.254104564411432,0.309352898204895,0.0225472037895576,1
