"scenario_id","rep_id","region","truth","mean","q025","q50","q975","bias","covered"
"S2_DYNAMIC_FIXED_GAMMA_T100",1,1,15,14.7441746000216,10.38329762165,14.5650523170627,20.2014081961641,-0.255825399978441,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,2,15,15.2038476665582,10.476203844614,14.9668555192386,21.4121208129045,0.203847666558159,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,3,15,13.5490714660217,9.68242523785013,13.4072266369463,18.241980010326,-1.45092853397827,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,4,15,21.8447820073272,15.1386744540398,21.3924137543304,30.9832093273333,6.84478200732716,0
"S2_DYNAMIC_FIXED_GAMMA_T100",1,5,15,12.4245719049781,8.55073868382548,12.2081502896479,17.2526292298048,-2.57542809502189,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,6,15,15.1871818376853,10.9847141971979,15.0178501138665,20.3473429533169,0.187181837685317,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,7,15,17.1428828301192,12.1858983657502,16.9928108506046,23.2536591315463,2.14288283011922,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,8,15,14.4648041435546,10.5627814222799,14.3293947104708,19.0959254732348,-0.53519585644538,1
"S2_DYNAMIC_FIXED_GAMMA_T100",1,9,15,13.4198224281187,9.76685383389601,13.313074168243,17.8923856017637,-1.58017757188128,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,1,15,16.8828724094812,11.9536329410165,16.6519087393896,23.1726280824916,1.88287240948121,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,2,15,14.8867834040827,10.7682781564878,14.6763660486085,20.0009060347093,-0.113216595917271,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,3,15,16.9545163767295,12.3954184721497,16.8018583813558,22.604175178636,1.95451637672953,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,4,15,17.1954739798292,12.4825767689344,16.9616416565202,23.0947429325518,2.19547397982921,1
"S2_DYNAMIC_FIXED_GAMMA_T100",2,5,15,23.6947938790754,16.8404117076709,23.4971634299082,31.9346990332976,8.69479387907542,0
