"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min.1","lambda_truth_max.1","lambda_post_mean_min","lambda_post_mean_max","stress_type","r_reference_truth","r_stress_truth","r_ratio_to_reference","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","count_sd","count_cv","reference_count_cv","count_cv_increase","variance_to_mean","reference_variance_to_mean","variance_to_mean_increase","q95_count","q99_count","reference_max_count","kappa_truth_cv","reference_kappa_cv","kappa_cv_increase","x2_mode","x2_ar","x2_innov_sd","x2_sd","x2_binary_like_prop","x2_empirical_ar1_mean","r_region_coverage_95","r_region_rmse","r_region_mae","r_region_mean_sd","kappa_rmse","log_kappa_rmse","cor_kappa","cor_log_kappa","kappa_post_mean_cv","s4c_beta_guard_count","s4c_kappa_guard_count","s4c_lambda_input_guard_count","s4c_lambda_output_guard_count"
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",1,100,9,151.033333333333,0.02,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.258601708347133,2.09912711965495,-2.13511540131423,-2.15016768994941,0.021416635725787,-2.19293953530948,-2.14976009304386,-2.10968056318795,-0.0150522886351778,1,0.5,0.496387977541734,0.0239225678738031,0.449333472638849,0.496482522402106,0.541232455320287,-0.00361202245826564,1,-0.4,-0.383917553139783,0.0206239169620836,-0.42226220128608,-0.384105611216642,-0.342548445000873,0.0160824468602174,1,0.0398505980713083,0.999653040214496,-3.99371893580438e-16,3,3.43533864247257,0.435338642472571,2.25888822394639,3.29956505091791,5.5298005929776,0.113716544203683,-3092.40937723722,-4551.90688320484,0.306,0.304574074074074,12.8695,33.3600000000151,0.111402457218324,0.0762632894330004,0.907777777777778,0.118135941187548,0.0781995678393254,0.907777777777778,0.850362315014471,0.832006424103131,0.0469097882832263,0.0284601334469861,0.30572216996631,0.258601708347133,2.09912711965495,0.554403028213832,2.03690774824672,"small_r_overdispersion",15,3,0.2,152.006666666666,0.0122222222222222,151.033333333333,0.02,135930,2182,208.94767055954,1.38345400944299,1.0742851698924,0.309168839550592,289.069492599369,175.429165114287,113.640327485082,511.1,1117.24,1368,0.593185688707907,0.258947395826071,0.334238292881836,"continuous_time",0.5,0.8,1,0,0.500702401548939,0.777777777777778,1.82703312088779,0.97760768839765,0.848215916896119,0.219303044523332,0.252683152891114,0.927098257979137,0.925499642718324,0.552089183440613,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",2,100,9,226.344444444444,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.75293698671582,1.23171288561439,-1.38506352666298,-1.40656256629738,0.0193109975531889,-1.44370856797398,-1.4066141531305,-1.36828714450926,-0.0214990396344075,1,0.5,0.508724549703962,0.0206997163184471,0.469146102096243,0.508781425377768,0.549373490692331,0.00872454970396197,1,-0.4,-0.399466544562962,0.0206505775936659,-0.439253726588871,-0.399587759669127,-0.359048003959604,0.000533455437037755,1,0.0334124940155,0.994214913118892,5.93660922889841e-17,3,3.12967511810985,0.12967511810985,2.32707051211438,3.11109431705888,4.04601674577784,3.83419943127871,-3497.79507195049,-5280.82143124024,0.2327,0.304366666666667,12.99625,213.755999999994,0.0583661150283944,0.0446489542140759,0.975555555555556,0.0585226147716268,0.0446505390640895,0.975555555555556,0.57185941206472,0.578672603749777,0.019088758328614,0.0140125758672054,0.0452963431887421,0.75293698671582,1.23171288561439,0.894677824347156,1.07837010822803,"small_r_overdispersion",15,3,0.2,228.057777777778,0,226.344444444444,0,203710,3027,274.799571459104,1.21407694425013,0.937932975469486,0.276143968780642,333.627823998313,200.626592922361,133.001231075952,686.15,1398.21,1863,0.561834006096334,0.256034194875787,0.305799811220547,"continuous_time",0.5,0.8,1,0,0.471020565051243,1,0.482685687716981,0.407693591143089,0.440147320189169,0.119149203359472,0.128546206890891,0.977241868144747,0.980087799816977,0.550210372851949,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",3,100,9,218.282222222222,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.782412894359852,1.27651777505022,-1.461673476828,-1.43152892930564,0.0187594346307916,-1.46836061460055,-1.43161893317386,-1.39423224217356,0.0301445475223638,1,0.5,0.492591901510162,0.0196654926629606,0.453027961528894,0.49257362727566,0.529569836231113,-0.00740809848983842,1,-0.4,-0.401960050680796,0.0196897619569521,-0.44119956373174,-0.40215688338548,-0.362335715395804,-0.00196005068079591,1,0.064324303935699,0.974553914892382,4.78012691158053e-17,3,3.31754226488354,0.317542264883545,2.48168799385962,3.29353987879716,4.28554837858845,3.31235335841738,-3501.38183036079,-5258.13637883001,0.26835,0.308786111111111,13.083,212.426000000007,0.0525330000061346,0.0428883436005151,0.98,0.052669480218783,0.0429590860376347,0.98,0.626699419675731,0.620837890171793,0.0185925566735022,0.01428604095528,0.0692559183764663,0.782412894359852,1.27651777505022,0.856871946085694,1.13215096898957,"small_r_overdispersion",15,3,0.2,209.543333333333,0,218.282222222222,0,196454,1643,221.992474783408,1.01699750224005,0.852255586798895,0.164741915441159,225.765792370815,152.19961782103,73.5661745497844,718.1,997.11,1306,0.57147030228633,0.256230128680154,0.315240173606176,"continuous_time",0.5,0.8,1,0,0.451410892465294,1,0.429492024525674,0.401383677712631,0.465178069870836,0.138328217534599,0.139985426647588,0.974375606369921,0.974534222271402,0.550128064202011,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",4,100,9,132.796666666667,0.0177777777777778,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.368683096446175,2.48743034067827,-1.99893288975913,-2.02710786964097,0.0203953975018799,-2.0668306693317,-2.02738617732182,-1.98723197770226,-0.0281749798818471,1,0.5,0.501591954058597,0.021398867989749,0.460281876661501,0.501294642168438,0.544463856561238,0.00159195405859724,1,-0.4,-0.424118913902868,0.0203701006116714,-0.464334850624839,-0.423754841093865,-0.384194191009044,-0.0241189139028681,1,0.0550959354348271,0.998538291071345,5.09623207831409e-16,3,3.21278606039097,0.21278606039097,2.37171400124522,3.17796410515364,4.23409315659528,0.223996796946572,-3163.55552216754,-4645.05647898826,0.24545,0.304772222222222,13.006675,215.245000000024,0.0911252678943015,0.0549828023015764,0.978888888888889,0.0950996256437229,0.0554309449709224,0.978888888888889,0.94143933913446,0.891503107227089,0.0419331071683851,0.0234898933838347,0.327413016120737,0.368683096446175,2.48743034067827,0.657525670938267,2.15544490416407,"small_r_overdispersion",15,3,0.2,135.158888888889,0.00888888888888889,132.796666666666,0.0177777777777778,119517,2233,157.56451365133,1.18650955333716,0.942185474841353,0.244324078495808,186.951800714227,119.982366122015,66.9694345922118,411.05,640.14,1244,0.576570042937448,0.259215559967755,0.317354482969693,"continuous_time",0.5,0.8,1,0,0.478792173148008,0.888888888888889,0.72462529132974,0.527816036440106,0.475477148679319,0.195675466767938,0.217200217457692,0.939044530106377,0.938483666531456,0.545871901772114,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",5,100,9,297.7,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.812411870772345,1.1854649268604,-1.56369881057473,-1.57555762757685,0.0190465896739202,-1.611882183148,-1.57586171845154,-1.53784592990122,-0.0118588170021248,1,0.5,0.490644519618602,0.0202543343090487,0.45006646731094,0.49113322811418,0.529526160322084,-0.00935548038139827,1,-0.4,-0.434747428379956,0.0199524938889319,-0.473012516361418,-0.434817924705255,-0.394796285864698,-0.0347474283799563,1,0.0510550610046551,0.995075920827223,-1.27984043116511e-16,3,3.21518867975912,0.215188679759124,2.40892192558321,3.19058066539022,4.15811107046643,0.756779673711971,-3531.76240915006,-5336.78516958775,0.256125,0.306369444444444,13.0353,212.46100000001,0.0624440100398487,0.0497193714353082,0.951111111111111,0.063512706443366,0.0500434129372225,0.951111111111111,0.267336098004874,0.249814720903183,0.0199043563548606,0.0142589208309443,0.102398080132865,0.812411870772345,1.1854649268604,0.858120807907103,1.17494013411451,"small_r_overdispersion",15,3,0.2,301.414444444444,0,297.700000000001,0,267930,3551,435.268629417838,1.4621049023105,1.31293263219881,0.149172270111688,636.408396893795,519.575837162296,116.832559731499,1019.1,2447.03,4518,0.567865730850437,0.252775616666037,0.315090114184399,"continuous_time",0.5,0.8,1,0,0.491010886099061,0.888888888888889,0.467435977195941,0.345274937741134,0.44909670873605,0.127127385051076,0.137976594936852,0.974191413460661,0.975593888092418,0.548396542762853,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",6,100,9,218.482222222222,0.00111111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.671701905629369,1.39404054630323,-1.62820166799763,-1.61164061416712,0.0192939067586777,-1.64924328393597,-1.61174762143511,-1.57244964034722,0.0165610538305097,1,0.5,0.497586246525139,0.019983708342569,0.457710234717871,0.497587446071992,0.536682109222981,-0.00241375347486117,1,-0.4,-0.385220706694889,0.0195807011303135,-0.423687879587214,-0.385168578473844,-0.346429662788877,0.0147792933051106,1,0.0552407473130324,0.998019717419144,7.04683225352356e-16,3,3.16689162682779,0.166891626827789,2.34778941100435,3.14302052276651,4.12421822883934,0.513394312849102,-3429.27422124755,-5149.13312903482,0.28635,0.302663888888889,12.992925,213.555999999982,0.0764998774747094,0.057673277753121,0.917777777777778,0.077077769918672,0.0578846431176635,0.917777777777778,0.614089978947766,0.59699608835293,0.0233978671185842,0.0158860340570162,0.174076899571515,0.671701905629369,1.39404054630323,0.839189448588108,1.18189420480709,"small_r_overdispersion",15,3,0.2,211.054444444444,0,218.482222222222,0.00111111111111111,196634,1976,244.149721373319,1.11748095057816,0.99466651154006,0.122814439038104,272.83266272365,208.809135232371,64.0235274912793,690.5,1105.22,2851,0.585163215941234,0.261590752730952,0.323572463210282,"continuous_time",0.5,0.8,1,0,0.509936183848334,0.888888888888889,0.529419460342064,0.348438348319576,0.454728303765251,0.143212362117783,0.156310158259655,0.971758739959366,0.967555138650125,0.564384737955095,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",7,100,9,203.063333333333,0.00111111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.664451469586054,1.45936769052892,-1.66316248304008,-1.6906079601591,0.0196890129922486,-1.72962586887222,-1.6902400655789,-1.65233825966082,-0.0274454771190238,1,0.5,0.497779683882041,0.0214455690275798,0.456061029197398,0.49758138063369,0.54152084148431,-0.00222031611795931,1,-0.4,-0.410139316794215,0.0198954161811148,-0.447807535320211,-0.410489045519013,-0.371257922837207,-0.0101393167942145,1,0.0442345183795788,0.998413092315911,4.62592926927149e-17,3,3.20979563282833,0.209795632828328,2.36225683265557,3.18222756097055,4.2253526440898,0.635680250050251,-3276.57864658491,-4846.23946529737,0.2877,0.302866666666667,12.9845,215.767999999982,0.0766863980748448,0.0542740934726887,0.93,0.0775383478807086,0.0546938890989817,0.93,0.759813046705264,0.752891082682344,0.0281028097577565,0.0195320987120746,0.0907796296297827,0.664451469586054,1.45936769052892,0.782383840252301,1.27810870621468,"small_r_overdispersion",15,3,0.2,209.465555555555,0,203.063333333334,0.00111111111111111,182757,3268,304.827848332499,1.50114667837209,1.34949364628374,0.151653032088355,457.591311999642,381.464656817019,76.1266551826239,792.399999999999,1435.26,3602,0.564157339244969,0.252604339666327,0.311552999578642,"continuous_time",0.5,0.8,1,0,0.433517572431339,0.888888888888889,0.458717213741081,0.393717549423524,0.475177314160273,0.163732974139892,0.197241993281569,0.95609651982297,0.954493141207878,0.537355192047103,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",8,100,9,179.492222222222,0.00222222222222222,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.51553310740229,2.20549534575597,-1.79725193697302,-1.79245324398378,0.0193785491674391,-1.83051735349712,-1.79233592343122,-1.7543691827557,0.00479869298924407,1,0.5,0.441610186089699,0.0205749430261361,0.40071761769868,0.441721170813026,0.481001946043598,-0.0583898139103008,0,-0.4,-0.400615720954519,0.0196916573622371,-0.437920157252076,-0.400356713471477,-0.362474822304037,-0.000615720954519283,1,0.0736294046984851,0.997324789001577,-3.54654577310814e-17,3,3.30493129574309,0.304931295743089,2.40914988846291,3.27668130758263,4.37082941346125,0.358412798439065,-3265.22221833047,-4817.48444088014,0.2468,0.303644444444444,13.03985,214.478999999992,0.0797368700437318,0.0554784529945083,0.974444444444444,0.0717418530215609,0.0534031013246671,0.974444444444444,0.89441409609198,0.904360579784576,0.0307023514173869,0.0204346638329972,0.253367750480152,0.51553310740229,2.20549534575597,0.542401304587813,1.77182255036142,"small_r_overdispersion",15,3,0.2,185.816666666667,0,179.492222222222,0.00222222222222222,161543,4502,295.327187846965,1.64534810584346,1.33418083226871,0.311167273574743,485.91602912808,330.760819343525,155.155209784555,602.05,1053.01,2759,0.568342752347621,0.261538288927094,0.306804463420527,"continuous_time",0.5,0.8,1,0,0.485235053854419,0.888888888888889,0.611696504025299,0.529588982824985,0.499592970991162,0.196016331037491,0.204703919327345,0.939156754110313,0.942795489466933,0.543785531168769,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",9,100,9,195.578888888889,0,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.731822629805188,1.31998233744889,-1.60166652979271,-1.59808713688418,0.0198686020032202,-1.6362416257138,-1.59820921013024,-1.55919047689918,0.00357939290852927,1,0.5,0.491391051494443,0.0205876585547308,0.451891935060789,0.491489292199311,0.531282850655616,-0.00860894850555677,1,-0.4,-0.393469510903644,0.020022225226117,-0.433214577237756,-0.393423216533344,-0.3550365173253,0.0065304890963559,1,0.0553224934910652,0.985939838537547,-3.24586037060549e-16,3,2.88701044358133,-0.112989556418673,2.15489672604911,2.86417887045818,3.75000772806521,2.50801607219386,-3399.17675982122,-5126.94079796525,0.256175,0.302588888888889,12.9377,212.312000000005,0.0608703967526931,0.0472437684558461,0.963333333333333,0.0597927172163207,0.0469124784057099,0.963333333333333,0.636784306297301,0.639964465369799,0.0215827259720567,0.0156449964834111,0.125102895721275,0.731822629805188,1.31998233744889,0.91167642070478,1.14088125764296,"small_r_overdispersion",15,3,0.2,194.292222222222,0,195.578888888889,0,176021,2579,243.830151589432,1.24670997455127,0.981189950781464,0.265520023769808,303.985482082894,187.051673772744,116.93380831015,646.649999999999,1138.41,1263,0.595184006865941,0.262406418227967,0.332777588637973,"continuous_time",0.5,0.8,1,0,0.466240347271394,1,0.352825965570835,0.300630803267725,0.40707209533045,0.128673050934079,0.139791315070985,0.976515681097103,0.976336765388301,0.58248747754158,0,0,0,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",10,100,9,215.378888888889,0.00111111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.672952675047904,1.70989759174562,-1.60878847912896,-1.60871841359593,0.0192110182815853,-1.64661496061286,-1.60861227641649,-1.57163838058188,7.0065533029906e-05,1,0.5,0.528550716640447,0.0217950912831881,0.486061316130571,0.528944508032092,0.571029712700899,0.0285507166404466,1,-0.4,-0.417305104835192,0.0204313695221164,-0.458707967813775,-0.417344677455465,-0.3775204648184,-0.0173051048351923,1,0.0276548673041748,0.999048780216618,-1.75496191652987e-16,3,3.06203561302625,0.0620356130262452,2.27725797720068,3.03783354584311,3.97314477545362,0.598400964747132,-3430.89362616056,-5159.61418864466,0.2531,0.301119444444444,12.977925,214.005000000005,0.0737191714636926,0.0542002458223299,0.917777777777778,0.0713928763703383,0.0535402888331057,0.917777777777778,0.80482341157909,0.79645850683608,0.0201342358805951,0.0149477020097584,0.306844843327473,0.672952675047904,1.70989759174562,0.747922286407991,1.39457887789241,"small_r_overdispersion",15,3,0.2,213.9,0,215.378888888889,0.00111111111111111,193841,2937,271.739622558387,1.26168179230683,1.1156490964437,0.146032695863125,342.848934030246,266.235534678029,76.6133993522171,700.35,1355.07,2617,0.555135387832386,0.253628306318283,0.301507081514104,"continuous_time",0.5,0.8,1,0,0.488604066010629,1,0.195972653368412,0.16312879980207,0.433042944878351,0.129559633808818,0.137159717945862,0.972364377449618,0.976753406845739,0.53938108349823,0,0,0,0
