"scenario_id","rep_id","data_file","stress_type","r_reference_truth","r_stress_truth","r_ratio_to_reference","mean_count","reference_mean_count","median_count","zero_prop","reference_zero_prop","total_count","max_count","reference_max_count","count_sd","count_cv","reference_count_cv","count_cv_increase","variance_to_mean","reference_variance_to_mean","variance_to_mean_increase","q95_count","q99_count","kappa_cv","reference_kappa_cv","kappa_cv_increase","x2_mode","x2_ar","x2_innov_sd","x2_sd","x2_binary_like_prop","x2_empirical_ar1_mean","beta0_star_ident","lambda_raw_min","lambda_raw_max","lambda_ident_min","lambda_ident_max"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",1,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep01.rds","small_r_overdispersion",15,3,0.2,151.033333333333,152.006666666666,87,0.02,0.0122222222222222,135930,2182,1368,208.94767055954,1.38345400944299,1.0742851698924,0.309168839550592,289.069492599369,175.429165114287,113.640327485082,511.1,1117.24,0.593185688707907,0.258947395826071,0.334238292881836,"continuous_time",0.5,0.8,1,0,0.500702401548939,-2.13511540131423,0.00572250577087872,2.25929664939123,0.258601708347133,2.09912711965495
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",2,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep02.rds","small_r_overdispersion",15,3,0.2,226.344444444444,228.057777777778,138.5,0,0,203710,3027,1863,274.799571459104,1.21407694425013,0.937932975469486,0.276143968780642,333.627823998313,200.626592922361,133.001231075952,686.15,1398.21,0.561834006096334,0.256034194875787,0.305799811220547,"continuous_time",0.5,0.8,1,0,0.471020565051243,-1.38506352666298,0.774654190759735,1.57783079727979,0.75293698671582,1.23171288561439
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",3,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep03.rds","small_r_overdispersion",15,3,0.2,218.282222222222,209.543333333333,145.5,0,0,196454,1643,1306,221.992474783408,1.01699750224005,0.852255586798895,0.164741915441159,225.765792370815,152.19961782103,73.5661745497844,718.1,997.11,0.57147030228633,0.256230128680154,0.315240173606176,"continuous_time",0.5,0.8,1,0,0.451410892465294,-1.461673476828,0.668375148168514,1.76959198620119,0.782412894359852,1.27651777505022
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",4,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep04.rds","small_r_overdispersion",15,3,0.2,132.796666666666,135.158888888889,90,0.0177777777777778,0.00888888888888889,119517,2233,1244,157.56451365133,1.18650955333716,0.942185474841353,0.244324078495808,186.951800714227,119.982366122015,66.9694345922118,411.05,640.14,0.576570042937448,0.259215559967755,0.317354482969693,"continuous_time",0.5,0.8,1,0,0.478792173148008,-1.99893288975913,0.0214606500124003,1.33523584244554,0.368683096446175,2.48743034067827
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",5,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep05.rds","small_r_overdispersion",15,3,0.2,297.700000000001,301.414444444444,151,0,0,267930,3551,4518,435.268629417838,1.4621049023105,1.31293263219881,0.149172270111688,636.408396893795,519.575837162296,116.832559731499,1019.1,2447.03,0.567865730850437,0.252775616666037,0.315090114184399,"continuous_time",0.5,0.8,1,0,0.491010886099061,-1.56369881057473,0.563293865173621,1.48988402710663,0.812411870772345,1.1854649268604
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",6,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep06.rds","small_r_overdispersion",15,3,0.2,218.482222222222,211.054444444444,140.5,0.00111111111111111,0,196634,1976,2851,244.149721373319,1.11748095057816,0.99466651154006,0.122814439038104,272.83266272365,208.809135232371,64.0235274912793,690.5,1105.22,0.585163215941234,0.261590752730952,0.323572463210282,"continuous_time",0.5,0.8,1,0,0.509936183848334,-1.62820166799763,0.0981319076960104,1.55306906533243,0.671701905629369,1.39404054630323
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",7,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep07.rds","small_r_overdispersion",15,3,0.2,203.063333333334,209.465555555555,85,0.00111111111111111,0,182757,3268,3602,304.827848332499,1.50114667837209,1.34949364628374,0.151653032088355,457.591311999642,381.464656817019,76.1266551826239,792.399999999999,1435.26,0.564157339244969,0.252604339666327,0.311552999578642,"continuous_time",0.5,0.8,1,0,0.433517572431339,-1.66316248304008,0.233306126563407,1.54859536067072,0.664451469586054,1.45936769052892
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",8,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep08.rds","small_r_overdispersion",15,3,0.2,179.492222222222,185.816666666667,104,0.00222222222222222,0,161543,4502,2759,295.327187846965,1.64534810584346,1.33418083226871,0.311167273574743,485.91602912808,330.760819343525,155.155209784555,602.05,1053.01,0.568342752347621,0.261538288927094,0.306804463420527,"continuous_time",0.5,0.8,1,0,0.485235053854419,-1.79725193697302,0.0645481684887387,1.40040684850713,0.51553310740229,2.20549534575597
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",9,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep09.rds","small_r_overdispersion",15,3,0.2,195.578888888889,194.292222222222,116.5,0,0,176021,2579,1263,243.830151589432,1.24670997455127,0.981189950781464,0.265520023769808,303.985482082894,187.051673772744,116.93380831015,646.649999999999,1138.41,0.595184006865941,0.262406418227967,0.332777588637973,"continuous_time",0.5,0.8,1,0,0.466240347271394,-1.60166652979271,0.317037871278204,2.09268298653263,0.731822629805188,1.31998233744889
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",10,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep10.rds","small_r_overdispersion",15,3,0.2,215.378888888889,213.9,128.5,0.00111111111111111,0,193841,2937,2617,271.739622558387,1.26168179230683,1.1156490964437,0.146032695863125,342.848934030246,266.235534678029,76.6133993522171,700.35,1355.07,0.555135387832386,0.253628306318283,0.301507081514104,"continuous_time",0.5,0.8,1,0,0.488604066010629,-1.60878847912896,0.293037070827604,1.55911405390598,0.672952675047904,1.70989759174562
