"scenario_id","rep_id","TT","n1","stress_type","r_reference_truth","r_stress_truth","r_stress_min","r_stress_max","r_ratio_to_reference","beta0_star","beta0_star_ident","mean_exposure","min_exposure","max_exposure","gamma_truth_mean","delta_truth","theoretical_variance_to_mean_avg","lambda_raw_min","lambda_raw_median","lambda_raw_max","lambda_ident_min","lambda_ident_median","lambda_ident_max","lambda_ident_log_rm_mean","coherent","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","count_sd","count_var","count_cv","variance_to_mean","max_to_mean","q05_count","q25_count","q50_count","q75_count","q90_count","q95_count","q99_count","reference_mean_count","reference_median_count","reference_zero_prop","reference_nonzero_prop","reference_total_count","reference_max_count","reference_count_sd","reference_count_var","reference_count_cv","reference_variance_to_mean","reference_max_to_mean","reference_q05_count","reference_q25_count","reference_q50_count","reference_q75_count","reference_q90_count","reference_q95_count","reference_q99_count","kappa_mean","kappa_sd","kappa_cv","kappa_min","kappa_q01","kappa_q05","kappa_median","kappa_q95","kappa_q99","kappa_max","reference_kappa_mean","reference_kappa_sd","reference_kappa_cv","reference_kappa_min","reference_kappa_q01","reference_kappa_q05","reference_kappa_median","reference_kappa_q95","reference_kappa_q99","reference_kappa_max","x2_mode","x2_ar","x2_innov_sd","x2_found","x2_mean","x2_sd","x2_min","x2_max","x2_binary_like_prop","x2_empirical_ar1_mean","x2_empirical_ar1_median","file"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",1,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-2.13511540131423,656.841291469245,291.48251758498,1168.75170429396,0.8,0.9,52.105672727448,0.00572250577087872,1.04898643760695,2.25929664939123,0.258601708347133,0.998241490670351,2.09912711965495,3.63904508378828e-16,TRUE,151.033333333333,87,0.02,0.98,135930,2182,208.94767055954,43659.1290322581,1.38345400944299,289.069492599369,14.4471419112778,2,20,87,202,358.6,511.1,1117.24,152.006666666666,109,0.0122222222222222,0.987777777777778,136806,1368,163.298507724777,26666.4026251391,1.0742851698924,175.429165114287,8.99960528047017,3,30,109,208.25,354,442.1,732.46,0.98306954895203,0.583142787442882,0.593185688707907,0.0331250632212999,0.134203422542233,0.251832332457604,0.867172532338586,2.13144288497612,2.71825571863929,3.9849562985367,0.995305594712148,0.257731791801829,0.258947395826071,0.381068448302413,0.522376538446313,0.612364419315329,0.989744760950922,1.46631643226102,1.688197734524,1.95663235742802,"continuous_time",0.5,0.8,TRUE,4.44089209850063e-17,1,-3.31941998193933,3.61099462690737,0,0.500702401548939,0.521452615502433,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep01.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",2,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.38506352666298,724.026171419258,311.909192262216,1145.58825906128,0.8,0.9,77.18887923368,0.774654190759735,1.15860153633321,1.57783079727979,0.75293698671582,1.00050209411309,1.23171288561439,2.93426066623316e-17,TRUE,226.344444444444,138.5,0,1,203710,3027,274.799571459104,75514.8044741071,1.21407694425013,333.627823998313,13.373423003289,22,72.75,138.5,278,505.2,686.15,1398.21,228.057777777778,159,0,1,205252,1863,213.90291009007,45754.4549450006,0.937932975469486,200.626592922361,8.16898251904975,41.95,94,159,297,464.1,612.25,1096.15,0.980729205552848,0.551007018451432,0.561834006096334,0.0616445627982159,0.139334384037089,0.272217203267461,0.901694677346123,2.00868735731782,2.57919113866367,3.53604023520938,0.999645036651403,0.255943312120619,0.256034194875787,0.361684363391406,0.503897374715627,0.611838684530352,0.976466166437147,1.44273540400071,1.71959379102462,2.01885584941675,"continuous_time",0.5,0.8,TRUE,9.76996261670138e-17,1,-3.32804966075023,3.24886634240592,0,0.471020565051243,0.452272363151258,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep02.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",3,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.461673476828,742.828380650023,328.087077787036,1123.59428988503,0.8,0.9,71.7818794588608,0.668375148168514,1.0653411253295,1.76959198620119,0.782412894359852,1.00002499061911,1.27651777505022,5.8521860197342e-17,TRUE,218.282222222222,145.5,0,1,196454,1643,221.992474783408,49280.6588604622,1.01699750224005,225.765792370815,7.52695287446425,26,72,145.5,278.5,497.6,718.1,997.11,209.543333333333,160,0,1,188589,1306,178.584476509797,31892.4152502781,0.852255586798895,152.19961782103,6.23260105308369,37,90,160,269.25,429,549.05,921.35,1.03135053795663,0.589386203689242,0.57147030228633,0.0254603228860732,0.167760721796736,0.299191851581596,0.941953468679438,2.10601321367083,2.80309680450781,4.63530491915294,1.00200718549838,0.256744430078689,0.256230128680154,0.359317606287006,0.482311075629325,0.623351497127165,0.973482309315846,1.43150658330333,1.69294569457947,2.15048440889108,"continuous_time",0.5,0.8,TRUE,-4.61359345788676e-17,1,-3.70940587039777,3.3628449575703,0,0.451410892465294,0.452369002080297,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep03.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",4,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.99893288975913,655.403339109013,367.078772207106,1225.33247695285,0.8,0.9,46.8556534162175,0.0214606500124003,0.697308156174293,1.33523584244554,0.368683096446175,1.00758969391781,2.48743034067827,2.94532916574515e-16,TRUE,132.796666666666,90,0.0177777777777778,0.982222222222222,119517,2233,157.56451365133,24826.5759621802,1.18650955333716,186.951800714227,16.8151811039434,3,37,90,174,304.1,411.05,640.14,135.158888888889,103,0.00888888888888889,0.991111111111111,121643,1244,127.344741906807,16216.6832913113,0.942185474841353,119.982366122015,9.20398214447195,3,53,103,183.75,279,384.05,542.749999999999,0.967366082681805,0.557754303828079,0.576570042937448,0.0620256229887884,0.180120660913741,0.270024629664831,0.887098293913332,1.97034525228145,2.74008648666841,4.6816177881669,0.990975706512697,0.25687632267813,0.259215559967755,0.343540359454732,0.490393145600474,0.60064582527668,0.968314798198279,1.43691187263863,1.66396815610008,1.94302183765408,"continuous_time",0.5,0.8,TRUE,4.51490696680897e-17,1,-3.52013067492084,3.42531225305197,0,0.478792173148008,0.460121702400557,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep04.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",5,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.56369881057473,887.757482377902,426.130275683098,1230.09755233465,0.8,0.9,100.850395886158,0.563293865173621,0.921711233351976,1.48988402710663,0.812411870772345,1.00363767332967,1.1854649268604,7.91284476214176e-17,TRUE,297.700000000001,151,0,1,267930,3551,435.268629417838,189458.779755284,1.4621049023105,636.408396893795,11.9281155525696,20,71,151,320.25,714.5,1019.1,2447.03,301.414444444444,177,0,1,271273,4518,395.736859927187,156607.66230503,1.31293263219881,519.575837162296,14.9893280938391,33.95,86,177,337.25,693.5,976.05,1940.11,0.984364162588968,0.558986674611562,0.567865730850437,0.0234074457224174,0.17832963229571,0.26693766405752,0.883171478749935,2.06113199816022,2.84604023813827,3.31019022121172,1.00303748968402,0.253543419994033,0.252775616666037,0.411857398559804,0.501277655226486,0.63402530130539,0.990955158799363,1.44480459882681,1.69389867692705,2.03951792589522,"continuous_time",0.5,0.8,TRUE,-4.97441594088994e-17,1,-3.85697558102622,3.08546381677699,0,0.491010886099061,0.504819942274288,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep05.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",6,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.62820166799763,746.404876046611,362.395160911671,1195.19513601871,0.8,0.9,72.3074000337049,0.0981319076960104,1.12800104539093,1.55306906533243,0.671701905629369,1.00369731826595,1.39404054630323,1.96779321232694e-16,TRUE,218.482222222222,140.5,0.00111111111111111,0.998888888888889,196634,1976,244.149721373319,59609.0864466692,1.11748095057816,272.83266272365,9.0442141237019,11,58.75,140.5,294.25,493.7,690.5,1105.22,211.054444444444,152,0,1,189949,2851,209.928788000581,44070.0960313929,0.99466651154006,208.809135232371,13.5083627710596,14.95,76,152,276.25,452,564.05,935.04,1.02035718224374,0.597075490170481,0.585163215941234,0.0594493313238383,0.160424149378796,0.275348233041612,0.892800545412198,2.16871258473378,2.76236328480584,5.0822852267007,0.993603287612747,0.259917431922567,0.261590752730952,0.425413940918357,0.499421000804001,0.5985196335141,0.981172576436391,1.45968162999877,1.65572018191815,1.86977236398476,"continuous_time",0.5,0.8,TRUE,-1.92438657601694e-17,1,-2.7922870415046,2.90549111541309,0,0.509936183848334,0.512177790831771,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep06.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",7,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.66316248304008,604.23034726049,302.830619427248,1075.22122419596,0.8,0.9,70.1341965590125,0.233306126563407,1.05026246849152,1.54859536067072,0.664451469586054,1.00843301525104,1.45936769052892,7.37565872574761e-17,TRUE,203.063333333334,85,0.00111111111111111,0.998888888888889,182757,3268,304.827848332499,92920.0171190211,1.50114667837209,457.591311999642,16.0935012065201,8,30,85,253.5,517,792.399999999999,1435.26,209.465555555555,108.5,0,1,188519,3602,282.672436337514,79903.7062649858,1.34949364628374,381.464656817019,17.1961446856816,12,37,108.5,280.5,541.3,745.3,1182.33,0.970671094276956,0.547611221829289,0.564157339244969,0.0461894980984697,0.140534050161169,0.247728259144955,0.879829831230327,1.97558640686556,2.56663286406659,3.59956299097255,1.01018381797077,0.255176816280116,0.252604339666327,0.378384497017039,0.510724934601672,0.631592787271771,0.987443055424298,1.46581135470113,1.75246162940312,1.97222385345206,"continuous_time",0.5,0.8,TRUE,-2.368475785867e-17,1,-3.15479671329669,3.17616629233575,0,0.433517572431339,0.411979807479757,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep07.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",8,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.79725193697302,621.89731636801,314.497789568473,1013.89738560842,0.8,0.9,62.4394332398108,0.0645481684887387,0.985017320178688,1.40040684850713,0.51553310740229,0.996248166967459,2.20549534575597,1.62254469119697e-16,TRUE,179.492222222222,104,0.00222222222222222,0.997777777777778,161543,4502,295.327187846965,87218.1478815968,1.64534810584346,485.91602912808,25.0818667475534,7,34,104,212,417.6,602.05,1053.01,185.816666666667,110,0,1,167235,2759,247.913034982732,61460.8729143494,1.33418083226871,330.760819343525,14.8479684276616,8,44,110,220.5,426.8,647.1,1208.07,1.00361964261079,0.570399949991553,0.568342752347621,0.0624820435080614,0.158133969913938,0.28571164390299,0.89799411312357,2.12153247943427,2.81400398459473,4.12551052333232,1.00191439213347,0.262038975770019,0.261538288927094,0.410693971081188,0.506082286120583,0.624695499616197,0.972764129615329,1.47664936534422,1.70169075163714,2.12570783679998,"continuous_time",0.5,0.8,TRUE,-5.42775700927854e-18,1,-2.74857454042641,2.81229935944405,0,0.485235053854419,0.52204721430941,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep08.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",9,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.60166652979271,712.142365341312,309.901526286,1190.94772781571,0.8,0.9,65.8344397270893,0.317037871278204,1.08293003978693,2.09268298653263,0.731822629805188,0.993923746232133,1.31998233744889,8.751246255434e-17,TRUE,195.578888888889,116.5,0,1,176021,2579,243.830151589432,59453.1428241256,1.24670997455127,303.985482082894,13.1864947932349,16,53.75,116.5,245.25,442.1,646.649999999999,1138.41,194.292222222222,132,0,1,174863,1263,190.637575959443,36342.6853676925,0.981189950781464,187.051673772744,6.50051754802331,25.95,67,132,249.25,441.5,598.1,935.38,1.00361595709071,0.597336166695843,0.595184006865941,0.0769972690727196,0.138871592392404,0.257141825807275,0.885824763071665,2.11066785894751,2.98942620161785,4.37619217362267,0.996162421099603,0.261399412894047,0.262406418227967,0.277351722982005,0.496461472356268,0.60979639705523,0.9808378642105,1.45832469040541,1.71193541713634,1.82481281746118,"continuous_time",0.5,0.8,TRUE,-5.9211894646675e-17,1,-3.31025976150639,3.65845536708981,0,0.466240347271394,0.469724236734233,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep09.rds"
"S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100",10,100,9,"small_r_overdispersion",15,3,3,3,0.2,-1.5,-1.60878847912896,763.063890650379,418.182860098175,1236.7443949057,0.8,0.9,72.9485827579579,0.293037070827604,1.09124272393877,1.55911405390598,0.672952675047904,0.999322478714037,1.70989759174562,8.38420767997524e-17,TRUE,215.378888888889,128.5,0.00111111111111111,0.998888888888889,193841,2937,271.739622558387,73842.4224681745,1.26168179230683,342.848934030246,13.6364339845543,15,57,128.5,262,474.2,700.35,1355.07,213.9,144,0,1,192510,2617,238.637341729308,56947.7808676304,1.1156490964437,266.235534678029,12.2346891070594,25.95,72.75,144,276.25,462.1,642.05,1112.11,1.00018931355272,0.555240482484897,0.555135387832386,0.0563004319739209,0.135027767123208,0.250949776543382,0.920502024352989,1.95546414450985,2.69306836578256,3.47346372279979,0.993658213477296,0.252019849743497,0.253628306318283,0.283241687530659,0.460927172213964,0.627834903600497,0.971901052442519,1.42074600263982,1.66799783874159,1.86072089542388,"continuous_time",0.5,0.8,TRUE,-1.25825276124184e-16,1,-3.10530343206034,2.86607339270364,0,0.488604066010629,0.501570299783497,"./data_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_CONTINUOUS_X2_T100/data_rep10.rds"
