"scenario_id","rep_id","TT","TT_reference","TT_short","TT_ratio_to_reference","n1","n_cells","stress_type","beta0_star","beta0_star_ident","beta1_star","beta2_star","r_truth_mean","r_truth_min","r_truth_max","gamma_truth_mean","gamma_truth_min","gamma_truth_max","delta_truth","mean_exposure","min_exposure","max_exposure","exposure_cv","x1_sd","x2_sd","phi_truth_sd","phi_ident_sd","coherent","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","count_sd","count_var","count_cv","variance_to_mean","max_to_mean","q05_count","q25_count","q50_count","q75_count","q90_count","q95_count","q99_count","kappa_mean","kappa_sd","kappa_cv","kappa_min","kappa_median","kappa_max","lambda_raw_min","lambda_raw_q01","lambda_raw_q05","lambda_raw_median","lambda_raw_q95","lambda_raw_q99","lambda_raw_max","log_lambda_mean","log_lambda_sd","log_lambda_q01","log_lambda_q05","log_lambda_median","log_lambda_q95","log_lambda_q99","delta_log_lambda_mean","delta_log_lambda_sd","delta_log_lambda_abs_mean","lambda_ident_lambda_raw_min","lambda_ident_lambda_raw_q01","lambda_ident_lambda_raw_q05","lambda_ident_lambda_raw_median","lambda_ident_lambda_raw_q95","lambda_ident_lambda_raw_q99","lambda_ident_lambda_raw_max","lambda_ident_log_lambda_mean","lambda_ident_log_lambda_sd","lambda_ident_log_lambda_q01","lambda_ident_log_lambda_q05","lambda_ident_log_lambda_median","lambda_ident_log_lambda_q95","lambda_ident_log_lambda_q99","lambda_ident_delta_log_lambda_mean","lambda_ident_delta_log_lambda_sd","lambda_ident_delta_log_lambda_abs_mean","file"
"S4D_SHORT_TIME_CALIB_T80",1,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.58741262585043,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,656.733722082404,291.48251758498,1168.75170429396,0.471985362840937,1,0.999999999999993,0.329674758850623,0.479258373987024,TRUE,183.3625,104.5,0,1,132021,3256,243.579502654374,59330.974113352,1.32840413200285,323.57201779727,17.7571749948871,28,58,104.5,189.75,446.7,654.2,996.009999999999,0.985518573712297,0.258363472197686,0.262159921780541,0.398950009942583,0.939112573271747,1.89015941132539,0.115031564680656,0.129130872240558,0.153531879330371,1.16137011001489,1.3611803886734,1.40651328508142,1.46064313947801,-0.0874126258504266,0.651807555366995,-2.04692888003399,-1.87385030490796,0.149600401120308,0.308352154907367,0.341113427433648,-0.000266132762815891,0.0234806498433001,0.0174393799346652,0.75207250707029,0.839764883700049,0.888175162235275,0.997223504774734,1.14230246054954,1.25808676996256,1.51958417140036,-6.05996734274565e-17,0.0788840495149107,-0.174633538700977,-0.118586302373601,-0.00278036278266812,0.133045911764971,0.229592128860635,-0.000266132762815893,0.0234806498433001,0.0174393799346652,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep01.rds"
"S4D_SHORT_TIME_CALIB_T80",2,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.84160766459538,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,724.213293315242,311.909192262216,1145.58825906128,0.341350639386854,1,1,0.459637785848327,1.03708583592867,TRUE,189.541666666666,120.5,0,1,136470,1782,218.848023139957,47894.457232267,1.15461696094943,252.685639387648,9.40162673114972,11,46.75,120.5,240.5,432,602.25,1063.87,0.999947305011369,0.251855519176034,0.251868791399133,0.41409309318074,0.96867102690986,1.92525730986035,0.116415007050522,0.119892395230043,0.200286211826596,1.03349307721247,1.37163260036787,1.45318194558334,1.50238967572464,-0.341607664595376,0.72411573184334,-2.12116824888458,-1.60800836333601,0.0329444014670759,0.316001705277358,0.373755593377303,-0.00132545999663896,0.0320501948786105,0.0206490223691331,0.58785253177917,0.605412050067249,0.874764312922114,0.996924610056527,1.16936787710067,1.56426997355755,2.03483760384245,-1.1205831787178e-17,0.126655594997769,-0.501853582272437,-0.133801109335393,-0.00308012909038425,0.156463138120235,0.447419218204377,-0.00132545999663896,0.0320501948786106,0.0206490223691331,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep02.rds"
"S4D_SHORT_TIME_CALIB_T80",3,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.46874436527918,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,742.777942077369,328.087077787036,1121.54547696747,0.338902177700389,1,1,0.140270690404906,0.446117489317462,TRUE,195.576388888889,154,0,1,140815,954,144.423412617607,20858.1221121156,0.738450144407039,106.649489903229,4.87788942939317,50.95,94,154,252,376,486.25,748.169999999997,1.00815847440827,0.257532574281961,0.255448504197833,0.429070253778136,0.965260145543083,2.14871649650041,0.316877166706816,0.331664930053108,0.347676141785903,1.0633519604708,1.78210740756347,1.88338497029642,1.9227421420685,0.0312556347208208,0.428595248739922,-1.10363009100684,-1.05648385959036,0.0614260407499387,0.57779660047557,0.633065912311154,-0.000223237305433966,0.0193500202639896,0.0147334849224336,0.725712957479194,0.831534875168564,0.889931317297987,0.996356133324444,1.13669936430407,1.18244954337459,1.21366303741344,-1.58293517182884e-17,0.0732609183079276,-0.184483418721116,-0.11661099178002,-0.00365052237778262,0.12812876465908,0.167588144318157,-0.000223237305433963,0.0193500202639896,0.0147334849224336,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep03.rds"
"S4D_SHORT_TIME_CALIB_T80",4,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.45216175655084,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,654.915864222159,367.078772207106,1225.33247695285,0.399231708134463,1,1.00000000000002,0.296673817257692,0.548869875730083,TRUE,174.544444444444,138.5,0,1,125672,729,127.876181952224,16352.3179106784,0.732628198847807,93.6856968591926,4.17658667006175,41,78,138.5,234.25,354.2,437.1,609.43,0.98960730563984,0.250926786542316,0.253561978688179,0.422605320371919,0.97489341499745,2.27415282820331,0.526609010033255,0.552333659198299,0.602416215218513,1.18698167052779,1.52673846966522,1.55672878966518,1.58320970173896,0.0478382434491611,0.313345240153818,-0.593602963971147,-0.506808574733639,0.171413489890422,0.423133737759674,0.442586688904892,-0.00113638355303283,0.0211698481879318,0.0156088088271119,0.787970002058824,0.844426737368407,0.887101437350872,1.00387340522117,1.10409889548982,1.15749166234054,1.3585018046075,-1.51113689462869e-17,0.0669448349597528,-0.169104370352792,-0.119796032686977,0.00386592120227344,0.099029520587291,0.146255296995635,-0.00113638355303282,0.0211698481879318,0.0156088088271119,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep04.rds"
"S4D_SHORT_TIME_CALIB_T80",5,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.73639449738049,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,887.682527157307,426.130275683098,1230.09755233465,0.228584826118394,1,1.00000000000002,0.291033142139263,0.786089088664971,TRUE,245.720833333334,185,0,1,176919,1757,245.523331641597,60281.7063803894,0.9991962354634,245.325988694715,7.15039085683278,22.95,56,185,333,535.1,739.55,1113.92,1.01021277286546,0.261190995676296,0.258550478366484,0.411857398559804,0.99645669116029,2.08852412851364,0.0897969875370539,0.105026268346823,0.151982910659165,1.02909167904382,1.36956287886058,1.45966253612736,1.52747694310404,-0.236394497380495,0.690914338494368,-2.25354686620175,-1.88398727671266,0.0286757324237606,0.314491610332819,0.378204487478151,0.00103130404220217,0.0246560267240798,0.0171747095782494,0.621393918346211,0.726780332028208,0.870081421501749,0.996194470656336,1.1578635520533,1.23281325645734,1.30149342967684,1.01693345102818e-16,0.0896706681534861,-0.319133084697473,-0.139168487073101,-0.00381278934610462,0.146575524262282,0.209298738662764,0.00103130404220218,0.0246560267240798,0.0171747095782494,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep05.rds"
"S4D_SHORT_TIME_CALIB_T80",6,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.43924401388676,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,746.28374811183,364.878355110492,1195.19513601871,0.296070851656441,1,1,0.342913307882,0.394110535055299,TRUE,254.366666666666,151.5,0,1,183144,2643,305.26490741581,93186.6636995828,1.20009791933879,366.347780236861,10.3905123836981,41,89.75,151.5,293.5,549.4,831.6,1602.82,0.998511148283388,0.267396423383426,0.267795130623354,0.442752929194176,0.962213219940457,1.92993696534158,0.678447767276714,0.712086338295503,0.737183715505859,1.078790559328,1.35208479222436,1.48045741308542,1.51859818890421,0.0607559861132364,0.174363813210766,-0.339556131006549,-0.304918157245696,0.075840560920739,0.301647648045013,0.392350651809276,0.000284549567413265,0.0192756505379766,0.0144919792300238,0.855806968582754,0.875035943282794,0.905622752190066,0.999834246648573,1.11207375857723,1.15966684906495,1.19848231194523,2.14720216915351e-17,0.0593410487040365,-0.133490423800909,-0.0991324843491437,-0.000165768054777035,0.106226519889847,0.148132593872018,0.000284549567413266,0.0192756505379766,0.0144919792300238,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep06.rds"
"S4D_SHORT_TIME_CALIB_T80",7,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.45461180661136,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,604.317783543856,302.830619427248,1075.22122419596,0.43662317045407,1,1,0.447962974999543,0.765332356513481,TRUE,209.579166666667,130,0,1,150897,1605,226.974836662011,51517.5764777468,1.08300285888154,245.81439699913,7.65820394043619,18,55,130,281,510.6,674.15,983.81,0.998128068971778,0.260783952889442,0.261273037996105,0.422420940661967,0.979544756451171,1.97222385345206,0.205082321707533,0.218008734199937,0.243201804678457,1.20779347734934,1.60796830721695,1.76947984493678,1.88114554041507,0.0453881933886411,0.527966906467646,-1.52322118126225,-1.41386374348382,0.188795117729199,0.474971207475759,0.570685592284979,0.000351791075468936,0.0244307887599319,0.0175943838394967,0.795046916697876,0.855503902422473,0.911838404214445,1.00033415372409,1.11064012745982,1.18555259211924,1.22169505453059,2.98408577940427e-17,0.0626598545369372,-0.15606500399831,-0.0922925003715305,0.000334093994674526,0.104936448500951,0.170206525559476,0.000351791075468934,0.0244307887599319,0.0175943838394967,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep07.rds"
"S4D_SHORT_TIME_CALIB_T80",8,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.34960160606818,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,622.044660758493,314.497789568473,1013.89738560842,0.299809891085984,1,1,0.415823647473188,0.500031831419142,TRUE,220.486111111112,150,0,1,158750,1371,233.411685881099,54481.0151058569,1.05862307927175,247.094997645461,6.21807874015746,34.95,82,150,243.25,487.1,745.05,1153.06,0.997068210781143,0.261225152903817,0.26199326192454,0.343744658125365,0.978167709727062,1.79930075146896,0.664601249079018,0.700375120657303,0.759040978889624,1.2365885842309,1.58658217956069,1.69844071876038,1.74600734822162,0.150398393931824,0.224885468038035,-0.356140511346163,-0.275699712086813,0.212356446461934,0.461582058903348,0.529709563693207,-0.00109662118393906,0.0214161942607509,0.015356208489422,0.743733676807191,0.776137967830853,0.860990831704407,1.00979732289156,1.13975392793944,1.19497299955163,1.38912727617775,4.91802011080266e-17,0.0853539154776403,-0.253432419375252,-0.149671633112063,0.00974963799650258,0.130812201337134,0.178123327615894,-0.00109662118393906,0.0214161942607509,0.015356208489422,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep08.rds"
"S4D_SHORT_TIME_CALIB_T80",9,80,100,80,0.8,9,720,"short_time_series",-1.5,-1.85838007508527,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,712.345532964462,309.901526286,1190.94772781571,0.328402246321109,1,1,0.268738227338292,0.806067639058578,TRUE,183.854166666666,116,0,1,132375,2005,200.964799772413,40386.8507475659,1.09306633303975,219.667856757299,10.9053824362606,10,44,116,261,424.1,576.199999999999,874.059999999999,1.00531754881389,0.257883752811086,0.25651969680162,0.344947634997653,0.985143524219752,1.90936504129688,0.0838056059454876,0.0917941473721501,0.104852379583933,0.932431394258079,1.29080462901809,1.32521543590473,1.34257559831463,-0.358380075085275,0.785842941186098,-2.3882417714953,-2.25520182838644,-0.0699600621571287,0.255265767171594,0.281574810793992,-0.001569073237029,0.0293095362477766,0.0200743689347928,0.720742315294178,0.758523096758051,0.839414964891265,1.0027195031809,1.19980591579295,1.37022566335696,1.43064472310067,1.16336097776775e-16,0.101854580910568,-0.276382495577822,-0.175050164898633,0.00271581031339276,0.182159556867616,0.314972269166699,-0.001569073237029,0.0293095362477766,0.0200743689347928,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep09.rds"
"S4D_SHORT_TIME_CALIB_T80",10,80,100,80,0.8,9,720,"short_time_series",-1.5,-2.07180192228415,0.5,-0.4,15,15,15,0.8,0.8,0.8,0.9,762.697253779828,418.182860098175,1236.7443949057,0.357945359397739,1,1,0.1720448856404,0.955354887315789,TRUE,142.551388888889,84,0,1,102637,1240,162.423210051938,26381.299163576,1.13940110522906,185.065185048031,8.69861745764199,16,40,84,179.25,329.2,458.35,790.48,0.990159100365185,0.261589157844484,0.264189015429951,0.244260156393859,0.975559712356178,2.13603997395319,0.114278525079774,0.124397901293893,0.14423725618863,0.896903883088588,1.24286223388025,1.29046740730014,1.30906936306139,-0.571801922284147,0.791177422012466,-2.08427011900869,-1.93629572388839,-0.108806578302066,0.217416961365168,0.255004474561668,-0.000485945012152741,0.0280642193409024,0.0205346538453552,0.804218985098869,0.842881511185093,0.88656826456514,1.00853348262657,1.11762745328738,1.19375595211721,1.35667099391529,7.63085582376909e-17,0.0738448990521315,-0.170933029088374,-0.120397286127463,0.00849727639402252,0.11120808930993,0.177064268808001,-0.000485945012152735,0.0280642193409024,0.0205346538453552,"./data_s4d_short_time_calibration/S4D_SHORT_TIME_CALIB_T80/data_rep10.rds"
