"scenario","label","stress_mechanism","primary_subset","n_reps_total","n_stable","n_soft_warning","n_numerical_instability","prop_stable","mean_count_avg","zero_prop_avg","max_count_max","beta1_mean_avg","beta2_mean_avg","beta1_coverage","beta2_coverage","r_truth_avg","r_mean_avg","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","phi_rmse_avg","phi_cor_avg","kappa_truth_cv_avg","kappa_post_mean_cv_avg","log_kappa_rmse_avg","cor_log_kappa_avg","beta_guard_total","kappa_guard_total","lambda_input_guard_total","lambda_output_guard_total","special_metric_1","special_value_1","special_metric_2","special_value_2","special_metric_3","special_value_3","main_interpretation"
"S4A","Sparse counts","Sparse-count observation regime","stable_plus_soft_warning",10,6,0,4,0.6,2.94108333333334,0.244490740740741,61,0.492816152668795,-0.384338161957614,NA,NA,15,16.6367643634725,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,902461,"stable_reps",6,"numerical_instability_reps",4,"lambda_output_guard_total",902461,"Sparse counts are the clearest latent-scale numerical-instability stress; stable replicates recover slopes but unstable replicates expose lambda-scale failure."
"S4B","Low/heterogeneous exposure","Low and heterogeneous exposure; local information imbalance","stable_plus_soft_warning",10,9,1,0,0.9,10.3064444444444,0.136222222222222,NA,0.500189472414622,-0.399880877063073,1,1,NA,17.5850241177587,0.36062821073086,0.209376760558404,0.477827334388519,0.0977092734441513,0.985277677289597,NA,NA,NA,NA,0,0,0,1,"low_exp_log_lambda_rmse",0.214514754182489,"high_exp_log_lambda_rmse",0.0919619975384402,"low_minus_high_log_lambda_rmse",0.122552756644049,"Low exposure mainly weakens low-exposure latent-risk recovery while regression slopes remain stable."
"S4C","Strong overdispersion","Small-r negative-binomial overdispersion","stable_plus_soft_warning",10,10,0,0,1,203.815222222222,0.00433333333333334,4502,0.494685878706483,-0.405096085084882,0.9,1,3,3.19411953776228,0.0743383563996675,0.0745483932672647,0.68635054691807,0.0499820423648326,0.994078229761513,0.573890847311061,0.551409008724032,0.171159870270955,0.961213316098955,0,0,0,0,"kappa_truth_cv",0.573890847311061,"reference_kappa_cv",0.257497100188643,"kappa_cv_increase",0.316393747122418,"Strong overdispersion is manageable when counts remain abundant; r and kappa-level variability are recovered well."
"S4D","Short time series","Short temporal record, T = 30","stable_plus_soft_warning",10,10,0,0,1,202.167037037037,0.00481481481481481,2286,0.506481273987264,-0.405494815691645,NA,NA,NA,15.5349820347759,0.0541846157566176,0.0534859836611806,0.53229865422034,0.0489645582545829,0.997603873934876,0.259491340622061,0.233578235980402,0.121294405880205,0.88895981166949,0,0,0,0,"time_points",30,"short_T_log_lambda_rmse",0.0534859836611806,"short_T_cor_log_lambda",0.53229865422034,"Short T preserves slope recovery but weakens temporal-path recovery relative to T = 100 scenarios."
"S4E","Spatial/covariate confounding","Strong x2-phi spatial/covariate confounding","stable_plus_soft_warning",10,10,0,0,1,203.971777777778,0.000888888888888889,2749,0.498187123711407,-0.397652555189357,0.9,1,15,15.2861156551508,0.057159752722389,0.056127637807328,0.839297390727281,0.0277658978588882,0.998639488964853,0.257497100188643,0.235031634701534,0.107342743167064,0.911907794243044,0,0,0,0,"abs_cell_cor_x2_phi",0.574675094872445,"abs_area_mean_cor_x2_phi",0.975606119494843,"confounded_minus_reference_cell_cor",0.519783163342213,"Strong x2-phi confounding is successfully calibrated and remains stable in this high-count fixed-gamma setting."
