"scenario","label","primary_subset","lambda_rmse_avg","log_lambda_rmse_avg","cor_log_lambda_avg","phi_rmse_avg","phi_cor_avg","kappa_truth_cv_avg","kappa_post_mean_cv_avg","log_kappa_rmse_avg","cor_log_kappa_avg"
"S4A","Sparse counts","stable_plus_soft_warning",NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4B","Low/heterogeneous exposure","stable_plus_soft_warning",0.36062821073086,0.209376760558404,0.477827334388519,0.0977092734441513,0.985277677289597,NA,NA,NA,NA
"S4C","Strong overdispersion","stable_plus_soft_warning",0.0743383563996675,0.0745483932672647,0.68635054691807,0.0499820423648326,0.994078229761513,0.573890847311061,0.551409008724032,0.171159870270955,0.961213316098955
"S4D","Short time series","stable_plus_soft_warning",0.0541846157566176,0.0534859836611806,0.53229865422034,0.0489645582545829,0.997603873934876,0.259491340622061,0.233578235980402,0.121294405880205,0.88895981166949
"S4E","Spatial/covariate confounding","stable_plus_soft_warning",0.057159752722389,0.056127637807328,0.839297390727281,0.0277658978588882,0.998639488964853,0.257497100188643,0.235031634701534,0.107342743167064,0.911907794243044
