"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","stress_type","sparse_beta0_shift","expected_count_multiplier","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","s4a_beta_guard_count","s4a_kappa_guard_count","s4a_lambda_input_guard_count","s4a_lambda_output_guard_count"
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",1,100,9,3.04111111111111,0.206666666666667,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.666221989997869,1.81516555879515,-5.67581758101154,-5.69923706433773,0.0318674078338103,-5.76341019519855,-5.69952085656532,-5.63593301159685,-0.0234194833261965,1,0.5,0.492121341563628,0.0292193922054879,0.434895562539275,0.491635381846441,0.54938114558673,-0.00787865843637237,1,-0.4,2.57838990672654,1.56757965104046,0.33977543248543,2.7755213177905,4.90351370309429,2.97838990672654,0,2.99644160089256,0.382507281231331,3.94745964311167e-16,15,15.4589378032525,0.458937803252457,4.81067890137155,13.1338814063703,39.4332036935306,0.071771023522863,-1512.38271473745,-1602.80595471582,0.287625,0.312419444444444,12.69385,228.460999999894,0.21116392200522,0.145513996417029,0.993333333333333,0.187657295546051,0.139839362687816,0.993333333333333,0.349293148670488,0.365626516742016,0.0486586984450806,0.0355264552846084,0.137575847709352,0.666221989997869,1.81516555879515,0.497120453696315,1.9959563143917,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,3.04111111111111,0.206666666666667,2737,20,18,0,0,0
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",2,100,9,4.68555555555556,0.164444444444444,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.641218927388333,1.623511272448,-5.4656523234212,-5.54463569483205,0.0289002656997048,-5.60340519967394,-5.54370215779438,-5.48997028471703,-0.0789833714108488,0,0.5,0.511519624069054,0.0242173807221366,0.464966293135485,0.51119466497275,0.558897487949773,0.0115196240690543,1,-0.4,1.54921314503737,1.56535521744557,-1.60972791660448,1.67327895925837,3.62127727955289,1.94921314503737,1,2.00549133519059,0.557216912062126,9.86864910777917e-17,15,18.8323357587957,3.83233575879568,6.55302001658219,16.4381067785558,44.6695105216272,0.0907064411390161,-1647.3966404735,-1749.99019908126,0.25435,0.308658333333333,12.837825,225.412000000011,0.22647117517954,0.136780819493047,1,0.203383172594742,0.126401451299606,1,0.530382431245989,0.574100787475359,0.0503415642447639,0.0328699223142228,0.149912995906892,0.641218927388333,1.623511272448,0.279465705390987,2.40658088604015,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,4.68555555555556,0.164444444444444,4217,86,0,0,0,0
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",3,100,9,3.27444444444444,0.21,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.66957094593915,1.44475245341837,-5.78194190506619,-5.86405192184268,0.0356026877480824,-5.93437719417176,-5.86385318554373,-5.79579576630185,-0.0821100167764861,0,0.5,0.491327686097709,0.0265831319118508,0.439937928835601,0.491738208007753,0.542207380228649,-0.0086723139022914,1,-0.4,3.39356729561004,0.945527205844628,1.84501540173163,3.31294954654405,4.96720361433749,3.79356729561004,0,3.76473158732891,0.0334147324544741,-1.67767034832246e-15,15,16.8284099338162,1.82840993381618,5.47501279913976,14.3898126128191,42.50798577005,0.0227991706192863,-1521.52148633136,-1607.13917367664,0.261225,0.3144,12.725575,227.324000000022,0.286544660415455,0.164737826367781,0.994444444444444,0.212189769611248,0.147014513147416,0.994444444444444,0.30734720484822,0.355707655321922,0.0522023419512689,0.0363395215195336,0.0895902576511426,0.66957094593915,1.44475245341837,0.487301425432436,3.28302565689227,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,3.27444444444444,0.21,2947,39,69,0,0,0
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",4,100,9,2.48333333333333,0.3,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.148714873349531,4.92023393746212,-6.28036627476399,-7.03518208575871,0.162974134092216,-7.32201823431616,-7.04591206230539,-6.67182501269236,-0.754815810994725,0,0.5,0.498199487162323,0.0306203734699337,0.437157796451963,0.498583339063162,0.560388784982443,-0.00180051283767652,1,-0.4,-3.51637769576269,0.894263996179304,-4.95696257989294,-3.40942847602595,-1.99674545338609,-3.11637769576269,0,4.00431439537989,0.802289372480379,-2.368475785867e-15,15,15.1804380669383,0.180438066938333,4.33946141903532,12.7248461671298,40.0265632061041,0.00566403330833384,-1353.39409789544,-1438.10862261866,0.2633,0.309583333333333,12.366225,226.70299999998,1385.85637208545,216.123803221611,0.951111111111111,2.8356011973552,0.791509569520806,0.951111111111111,-0.0459251000548073,0.219968879250049,0.248224390447059,0.0847893523575541,-0.0534226256859454,0.148714873349531,4.92023393746212,0.256425949841925,15037.9018681724,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,2.48333333333333,0.3,2235,15,62,1,0,483612
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",5,100,9,6.09222222222222,0.111111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.741994020858652,1.28535281026071,-5.3731423755845,-5.40817786398825,0.0237937240554192,-5.45516144687464,-5.40829895697386,-5.36215171060447,-0.0350354884037598,1,0.5,0.506280083401704,0.0238957459777728,0.461139640394551,0.506277028493536,0.553805471179327,0.0062800834017045,1,-0.4,1.45903507120582,0.976905642762002,-0.223814985414741,1.19977217498827,2.9902514753471,1.85903507120582,0,1.88770547085366,0.641523046660126,-2.46716227694479e-15,15,15.820674226307,0.820674226306949,6.10798902341317,13.8314562093233,36.8205157021115,0.102574340724712,-1833.47939495845,-1980.71197652282,0.26115,0.307930555555556,13.1716,228.227999999886,0.132303430488719,0.0937507642863564,1,0.125519149918425,0.0911961521232188,1,0.50464283181221,0.518667449821092,0.0349128292715935,0.0244267073428286,0.106318745326924,0.741994020858652,1.28535281026071,0.528455574646284,1.83898003978403,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,6.09222222222222,0.111111111111111,5483,50,0,0,0,0
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",6,100,9,3.02777777777778,0.191111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.761261087000651,1.29270978852057,-5.7511894022961,-5.84448231612377,0.02915309454239,-5.90349492484358,-5.84370530120743,-5.79099202354785,-0.0932929138276704,0,0.5,0.473535419639885,0.0287060661258079,0.416123078018511,0.474257769160691,0.530864842554086,-0.0264645803601154,1,-0.4,0.457507064372602,1.04981339162904,-1.87065028141241,0.707850177769811,2.03126814533763,0.857507064372601,1,0.921626616343516,0.502760297851268,-3.94745964311167e-16,15,16.3786082281316,1.37860822813161,5.08036425552545,13.9665258285331,41.4236150936235,0.246963088518365,-1529.5206077037,-1612.92657140813,0.284175,0.311855555555556,12.526325,226.645000000019,0.178843767061123,0.138053758145563,1,0.171303079468282,0.132112300413256,1,0.419404639372786,0.411772598206547,0.0462795635913235,0.033981510932671,0.0347576788459833,0.761261087000651,1.29270978852057,0.641461445907391,1.77733247995139,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,3.02777777777778,0.191111111111111,2725,24,0,0,0,0
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",7,100,9,3.40666666666667,0.24,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,4.20716072856158e-281,1.02906146131891e+26,-12.325081040253,-7134.67696892076,1363.57669575646,-9377.21211538829,-7132.22899994034,-4886.30740738204,-7122.3518878805,0,0.5,0.523777688447066,0,0.523777688447066,0.523777688447066,0.523777688447066,0.0237776884470658,0,-0.4,-0.44750801689369,0,-0.44750801689369,-0.44750801689369,-0.44750801689369,-0.04750801689369,0,20144.904692003,0.999878414909142,1.81898940354586e-12,15,17.3533741409442,2.35337414094422,5.64469579778448,14.9711415062421,42.602121844806,9.1497209414526e-10,-1614.31274078245,-322312.440874153,0.2606,0.308758333333333,13.683725,227.115999999922,1.38608699351474e+25,3.13912344380439e+24,0.882222222222222,54.5262314342491,10.3948923717087,0.882222222222222,0.18173654764245,0.542837181580043,13.1116927035191,0.867065644627496,0.00916842519633524,4.20716072856158e-281,1.02906146131891e+26,0.211790313569302,2155353.90578701,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,3.40666666666667,0.24,3066,25,39905,398,0,1148895
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",8,100,9,2.47222222222222,0.261111111111111,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.562307034891257,1.47304675861128,-5.8570761548057,-5.97319897757598,0.0359022091495337,-6.04467435400102,-5.97299377654258,-5.90315759926169,-0.116122822770279,0,0.5,0.512397954763942,0.0323983770169099,0.449099795424054,0.512222264583249,0.576323807795513,0.0123979547639423,1,-0.4,-4.66933719541333,0.249603388187174,-4.98518594873782,-4.72856885913408,-4.11323224517264,-4.26933719541333,0,4.32025285247091,0.714233220297872,1.38161087508908e-15,15,17.7122558493536,2.71225584935363,5.25693784122521,14.9561616773289,45.3797917831467,0.0126541570902447,-1385.60317536257,-1446.50510331611,0.286275,0.307533333333333,12.578675,226.633000000147,0.257028318075433,0.178084915800531,0.994444444444444,0.237405760394156,0.16706826940379,0.994444444444444,0.435915536987626,0.48825908046036,0.0557691268596349,0.0401467618658096,0.0780348224466457,0.562307034891257,1.47304675861128,0.3355409976424,2.12711717327763,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,2.47222222222222,0.261111111111111,2225,20,198,0,0,0
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",9,100,9,4.52,0.133333333333333,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.780774909435344,1.24258812596504,-5.46259269926043,-5.46475815374686,0.0245095491237807,-5.51246528129075,-5.46464600187908,-5.4164858046875,-0.00216545448642513,1,0.5,0.473201926758181,0.0245446956077314,0.426258697844389,0.47230996317911,0.523984584160012,-0.0267980732418189,1,-0.4,-2.86177204732596,0.713799924090845,-4.31506795303114,-2.8009913195771,-1.33728904817699,-2.46177204732596,0,2.4583633886929,-0.210382308351488,1.97372982155583e-16,15,17.7655857995046,2.76558579950464,6.07703341605874,15.4373268947932,42.6756245721018,0.0502511068941818,-1672.07725835115,-1779.14235587895,0.27995,0.305763888888889,13.000525,227.66799999983,0.162298656434491,0.124853564377228,0.996666666666667,0.165477178318011,0.121552046151974,0.996666666666667,0.240494774107303,0.215768468898967,0.0395366595211234,0.0292342787341179,0.0421237024230034,0.780774909435344,1.24258812596504,0.438590386283111,1.65146221199898,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,4.52,0.133333333333333,4068,68,0,0,0,0
"S4A_EASY_SPARSE_COUNTS_OBS_FIXED_GAMMA_T100",10,100,9,5.18,0.115555555555556,TRUE,TRUE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.8155914724962,1.40511102208183,-5.29605021652164,-5.34237783052875,0.0240802976031393,-5.39022479884328,-5.34273019242158,-5.29663966350262,-0.0463276140071107,0,0.5,0.484644569804269,0.0255245533963354,0.435401553700961,0.484916382433944,0.533847840238344,-0.0153554301957314,1,-0.4,2.53994947050772,0.767192562083497,1.1631203127962,2.47502849030717,3.7442835230536,2.93994947050772,0,2.98207994484396,0.338760676072735,-1.67767034832246e-15,15,14.7261751918314,-0.273824808168637,5.47398954022398,12.803967039845,35.0276518673924,0.0251974071574632,-1776.95419612274,-1922.35016836942,0.248175,0.308322222222222,13.00005,229.589000000153,0.171463598518002,0.115680089223647,0.996666666666667,0.160556864039716,0.110802486015341,0.996666666666667,0.499202192816948,0.443426801720037,0.036645086997657,0.0261648438868933,0.0855331831277394,0.8155914724962,1.40511102208183,0.558038759254195,2.06917680287477,"observation_sparse_counts",-4,0.0183156388887342,NA,NA,5.18,0.115555555555556,4662,40,0,0,0,0
