"scenario_id","rep_id","TT","n1","stress_type","confounding_type","x2_confounding_strength","x2_residual_weight","preserve_reference_mean","beta0_reference_truth","beta0_confounding_truth","beta0_shift_to_preserve_reference_mean","beta0_star_ident","beta1_truth","beta2_truth","r_truth","mean_exposure","min_exposure","max_exposure","gamma_truth_mean","delta_truth","lambda_raw_min","lambda_raw_median","lambda_raw_max","lambda_ident_min","lambda_ident_median","lambda_ident_max","x2_mode","x2_ar","x2_innov_sd","x2_mean","x2_sd","x2_min","x2_max","x2_binary_like_prop","x2_empirical_ar1_mean","x2_empirical_ar1_median","x2_phi_cell_cor","x2_phi_abs_cell_cor","x2_phi_area_mean_cor","x2_phi_abs_area_mean_cor","reference_x2_phi_cell_cor","reference_x2_phi_abs_cell_cor","reference_x2_phi_area_mean_cor","reference_x2_phi_abs_area_mean_cor","x2_area_mean_sd","x2_area_sd_mean","x2_area_sd_min","x2_area_sd_max","mu_mean_after_beta0_shift","target_mu_mean_reference","mean_count","median_count","zero_prop","nonzero_prop","total_count","max_count","count_sd","count_var","count_cv","variance_to_mean","max_to_mean","q05_count","q25_count","q50_count","q75_count","q90_count","q95_count","q99_count","reference_mean_count","reference_median_count","reference_zero_prop","reference_nonzero_prop","reference_total_count","reference_max_count","reference_count_sd","reference_count_var","reference_count_cv","reference_variance_to_mean","reference_max_to_mean","reference_q05_count","reference_q25_count","reference_q50_count","reference_q75_count","reference_q90_count","reference_q95_count","reference_q99_count","file"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",1,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.36120609062194,0.138793909378059,-1.99632149193617,0.5,-0.4,15,656.841291469245,291.48251758498,1168.75170429396,0.8,0.9,0.00572250577087872,1.04898643760695,2.25929664939123,0.258601708347133,0.998241490670351,2.09912711965495,"continuous_time",0.5,0.8,2.23524902291198e-16,1,-3.30990921889457,3.23819938066515,0,0.500702401548939,0.521452615502433,0.553568657398345,0.553568657398345,0.985984027960683,0.985984027960683,-0.0434219057072446,0.0434219057072446,-0.360445427373734,0.360445427373734,0.59516374148832,0.828884876171575,0.737460918275239,0.972069998503174,153.317018182344,153.317018182344,151.833333333334,114,0.00555555555555556,0.994444444444444,136650,1199,154.749641721405,23947.4516129032,1.01920730003121,157.72196451967,7.89681668496157,4,35,114,213,343,433,718.25,152.006666666666,109,0.0122222222222222,0.987777777777778,136806,1368,163.298507724777,26666.4026251391,1.0742851698924,175.429165114287,8.99960528047017,3,30,109,208.25,354,442.1,732.46,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep01.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",2,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.44678094903446,0.0532190509655409,-1.33184447569743,0.5,-0.4,15,724.026171419258,311.909192262216,1145.58825906128,0.8,0.9,0.774654190759735,1.15860153633321,1.57783079727979,0.75293698671582,1.00050209411309,1.23171288561439,"continuous_time",0.5,0.8,-1.38161087508908e-17,1,-3.12221788808238,2.84330120974154,0,0.471020565051243,0.452272363151258,0.572433708044311,0.572433708044311,0.973158089356457,0.973158089356457,-0.00939918314122524,0.00939918314122524,-0.0568414325394035,0.0568414325394035,0.623557711945433,0.810927516955801,0.707394871250907,0.870274862763596,228.56663770104,228.56663770104,226.99,175,0,1,204291,1432,188.489720570766,35528.3747608454,0.830387772900857,156.519559279463,6.30864795805982,47.95,106,175,292,438.3,575.749999999999,951.12,228.057777777778,159,0,1,205252,1863,213.90291009007,45754.4549450006,0.937932975469486,200.626592922361,8.16898251904975,41.95,94,159,297,464.1,612.25,1096.15,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep02.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",3,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.47683856444488,0.0231614355551179,-1.43851204127288,0.5,-0.4,15,742.828380650023,328.087077787036,1123.59428988503,0.8,0.9,0.668375148168514,1.0653411253295,1.76959198620119,0.782412894359852,1.00002499061911,1.27651777505022,"continuous_time",0.5,0.8,-6.57807142090405e-17,1,-2.9525593566711,2.9212669952383,0,0.451410892465294,0.452369002080297,0.621145935726548,0.621145935726548,0.956924409041409,0.956924409041409,0.0823916816811583,0.0823916816811583,0.325111992461912,0.325111992461912,0.68809890644125,0.761216532978545,0.683080568299774,0.895164401229888,212.345638376582,212.345638376582,210.185555555555,162,0,1,189167,1170,166.297059251536,27654.7119157088,0.791191663061645,131.572846871484,5.56651001496033,39,97,162,273,430.5,516.45,816.789999999999,209.543333333333,160,0,1,188589,1306,178.584476509797,31892.4152502781,0.852255586798895,152.19961782103,6.23260105308369,37,90,160,269.25,429,549.05,921.35,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep03.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",4,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.38237302452216,0.117626975477841,-1.88130591428129,0.5,-0.4,15,655.403339109013,367.078772207106,1225.33247695285,0.8,0.9,0.0214606500124003,0.697308156174293,1.33523584244554,0.368683096446175,1.00758969391781,2.48743034067827,"continuous_time",0.5,0.8,2.2065682614425e-17,1,-3.6127141285585,3.46295128661285,0,0.478792173148008,0.460121702400557,0.51149699870215,0.51149699870215,0.95222777581244,0.95222777581244,-0.116279029216449,0.116279029216449,-0.522778612142132,0.522778612142132,0.569425742469288,0.845051799211926,0.763526739980986,0.950591229095908,137.566960248653,137.566960248653,135.288888888889,110,0.00333333333333333,0.996666666666667,121760,1060,115.348631912963,13305.3068841923,0.852609795677292,98.3473734869669,7.83508541392905,7,60,110,179.25,266,354.15,526.09,135.158888888889,103,0.00888888888888889,0.991111111111111,121643,1244,127.344741906807,16216.6832913113,0.942185474841353,119.982366122015,9.20398214447195,3,53,103,183.75,279,384.05,542.749999999999,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep04.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",5,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.3217756707585,0.178224329241505,-1.38547448133322,0.5,-0.4,15,887.757482377902,426.130275683098,1230.09755233465,0.8,0.9,0.563293865173621,0.921711233351976,1.48988402710663,0.812411870772345,1.00363767332967,1.1854649268604,"continuous_time",0.5,0.8,-9.32587340685131e-17,1,-3.1823468804076,2.92338089225516,0,0.491010886099061,0.504819942274288,0.507405497232872,0.507405497232872,0.974655749380437,0.974655749380437,-0.123144388289839,0.123144388289839,-0.676309384692229,0.676309384692229,0.55187252272712,0.855285091091895,0.776173527762491,0.943105276068745,299.551187658472,299.551187658472,300.074444444446,211,0,1,270067,2749,291.311578989988,84862.4360536398,0.970797694983051,282.804609405353,9.16106003325097,46.95,118,211,367.75,645.1,805.45,1444.78,301.414444444444,177,0,1,271273,4518,395.736859927187,156607.66230503,1.31293263219881,519.575837162296,14.9893280938391,33.95,86,177,337.25,693.5,976.05,1940.11,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep05.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",6,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.39264512661633,0.107354873383673,-1.52084679461396,0.5,-0.4,15,746.404876046611,362.395160911671,1195.19513601871,0.8,0.9,0.0981319076960104,1.12800104539093,1.55306906533243,0.671701905629369,1.00369731826595,1.39404054630323,"continuous_time",0.5,0.8,8.45003079853591e-17,0.999999999999999,-3.42310190760246,2.74232763644904,0,0.509936183848333,0.512177790831771,0.604229660792987,0.604229660792987,0.985038122793379,0.985038122793379,0.0498672426172887,0.0498672426172887,0.352225591452442,0.352225591452442,0.650255230016925,0.791679611942095,0.729678234683017,0.906054256966567,213.922200101115,213.922200101115,211.352222222222,164,0,1,190217,2327,186.396587454964,34743.687814856,0.881923953744762,164.387615372813,11.0100569349743,27,89,164,274,435.3,545,817.37,211.054444444444,152,0,1,189949,2851,209.928788000581,44070.0960313929,0.99466651154006,208.809135232371,13.5083627710596,14.95,76,152,276.25,452,564.05,935.04,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep06.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",7,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.30551431185142,0.194485688148576,-1.4686767948915,0.5,-0.4,15,604.23034726049,302.830619427248,1075.22122419596,0.8,0.9,0.233306126563407,1.05026246849152,1.54859536067072,0.664451469586054,1.00843301525104,1.45936769052892,"continuous_time",0.5,0.8,-1.28785870856518e-16,1,-3.13063684497049,2.84179342400773,0,0.433517572431339,0.411979807479757,0.596121242016541,0.596121242016541,0.987343152951353,0.987343152951353,0.0345227649660844,0.0345227649660844,0.278204736854449,0.278204736854449,0.640031473992336,0.798000579005077,0.703030453892479,0.909433893012663,207.402589677037,207.402589677037,209.346666666667,127,0,1,188412,2534,234.091032747739,54798.6116129032,1.11819804191328,261.76013444798,12.1043245653143,21,55,127,281,498.1,691,1082.1,209.465555555555,108.5,0,1,188519,3602,282.672436337514,79903.7062649858,1.34949364628374,381.464656817019,17.1961446856816,12,37,108.5,280.5,541.3,745.3,1182.33,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep07.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",8,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.33928863342915,0.160711366570846,-1.63654057040218,0.5,-0.4,15,621.89731636801,314.497789568473,1013.89738560842,0.8,0.9,0.0645481684887387,0.985017320178688,1.40040684850713,0.51553310740229,0.996248166967459,2.20549534575597,"continuous_time",0.5,0.8,-1.7072762956458e-16,1,-3.22721247845335,2.50154966949048,0,0.485235053854418,0.52204721430941,0.577963947536195,0.577963947536195,0.982625408208959,0.982625408208959,0.000734942938633499,0.000734942938633499,0.00549389179196565,0.00549389179196565,0.623516012898462,0.81041537557909,0.716718565677897,0.888765574722129,184.318299719432,184.318299719432,186.411111111111,122.5,0,1,167770,2078,210.750272350383,44415.6772957607,1.13056711638163,238.267327687815,11.1474041843,13.95,56.5,122.5,236,430,566.999999999999,1019.09,185.816666666667,110,0,1,167235,2759,247.913034982732,61460.8729143494,1.33418083226871,330.760819343525,14.8479684276616,8,44,110,220.5,426.8,647.1,1208.07,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep08.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",9,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.39399465448332,0.106005345516682,-1.49566118427602,0.5,-0.4,15,712.142365341312,309.901526286,1190.94772781571,0.8,0.9,0.317037871278204,1.08293003978693,2.09268298653263,0.731822629805188,0.993923746232133,1.31998233744889,"continuous_time",0.5,0.8,-4.44089209850063e-17,1,-3.17908021626519,3.06632560518851,0,0.466240347271394,0.469724236734233,0.581292114562323,0.581292114562323,0.979953169760877,0.979953169760877,0.00686899321755985,0.00686899321755985,0.0472433115008012,0.0472433115008012,0.628816547807978,0.806845318110535,0.718151271760679,0.907446303381517,194.503319181268,194.503319181268,194.322222222222,145,0,1,174890,1183,160.529943272076,25769.8626869361,0.826101829406307,132.614079811553,6.08782663388416,35,84,145,250,403.6,536.05,768.34,194.292222222222,132,0,1,174863,1263,190.637575959443,36342.6853676925,0.981189950781464,187.051673772744,6.50051754802331,25.95,67,132,249.25,441.5,598.1,935.38,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep09.rds"
"S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100",10,100,9,"spatial_covariate_confounding","x2_area_mean_aligned_with_phi",0.75,1,TRUE,-1.5,-1.38473060331912,0.115269396680879,-1.49351908244808,0.5,-0.4,15,763.063890650379,418.182860098175,1236.7443949057,0.8,0.9,0.293037070827604,1.09124272393877,1.55911405390598,0.672952675047904,0.999322478714037,1.70989759174562,"continuous_time",0.5,0.8,2.86190824125596e-16,0.999999999999999,-3.1403558605259,2.74740328791584,0,0.488604066010629,0.501570299783498,0.621093186712179,0.621093186712179,0.978151289682437,0.978151289682437,0.0822891835268342,0.0822891835268342,0.440177764918111,0.440177764918111,0.673109291646223,0.77389141543115,0.669962482100287,0.85975617954411,215.845748273874,215.845748273874,213.913333333333,155,0,1,192522,1924,194.256396398453,37735.547541713,0.908107939656808,176.405775898556,8.99429675569546,38,91,155,275.25,435.2,594.05,877.22,213.9,144,0,1,192510,2617,238.637341729308,56947.7808676304,1.1156490964437,266.235534678029,12.2346891070594,25.95,72.75,144,276.25,462.1,642.05,1112.11,"./data_s4e_spatial_covariate_confounding_continuous_x2/S4E_STRONG_SPATIAL_COVARIATE_CONFOUNDING_CONTINUOUS_X2_T100/data_rep10.rds"
