"scenario_id","rep_id","data_file","stress_type","mean_count","median_count","zero_prop","total_count","max_count","beta0_star_ident","lambda_raw_min","lambda_raw_max","lambda_ident_min","lambda_ident_max"
"S4A_SPARSE_COUNTS_OBS_T100",1,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep01.rds","observation_sparse_counts",2.38555555555556,2,0.272222222222222,2147,19,-5.92581758101154,0.0842390914207052,1.6098143768284,0.666221989997869,1.81516555879515
"S4A_SPARSE_COUNTS_OBS_T100",2,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep02.rds","observation_sparse_counts",3.58444444444444,2,0.203333333333333,3226,54,-5.7156523234212,0.198607790466504,1.66174106327009,0.641218927388333,1.623511272448
"S4A_SPARSE_COUNTS_OBS_T100",3,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep03.rds","observation_sparse_counts",2.59777777777778,2,0.26,2338,20,-6.03194190506619,0.0354830172011052,2.18576446461718,0.66957094593915,1.44475245341837
"S4A_SPARSE_COUNTS_OBS_T100",4,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep04.rds","observation_sparse_counts",1.96444444444444,1,0.356666666666667,1768,23,-6.53036627476399,0.000473344384043854,1.46026670956317,0.148714873349531,4.92023393746212
"S4A_SPARSE_COUNTS_OBS_T100",5,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep05.rds","observation_sparse_counts",4.86555555555556,3,0.14,4379,41,-5.6231423755845,0.605029805921024,1.68177691088246,0.741994020858652,1.28535281026071
"S4A_SPARSE_COUNTS_OBS_T100",6,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep06.rds","observation_sparse_counts",2.36111111111111,2,0.248888888888889,2125,21,-6.0011894022961,0.288226577457566,1.60408648714487,0.761261087000651,1.29270978852057
"S4A_SPARSE_COUNTS_OBS_T100",7,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep07.rds","observation_sparse_counts",2.67222222222222,2,0.28,2405,23,-12.575081040253,2.2250738585072e-308,1.65725419267295,4.20716072856158e-281,1.02906146131891e+26
"S4A_SPARSE_COUNTS_OBS_T100",8,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep08.rds","observation_sparse_counts",1.92444444444444,1,0.315555555555556,1732,14,-6.1070761548057,0.102236345553197,1.63562877573759,0.562307034891257,1.47304675861128
"S4A_SPARSE_COUNTS_OBS_T100",9,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep09.rds","observation_sparse_counts",3.48444444444444,2,0.185555555555556,3136,52,-5.71259269926043,0.552229257466157,1.35161792767436,0.780774909435344,1.24258812596504
"S4A_SPARSE_COUNTS_OBS_T100",10,"./data_s4a_sparse_counts/S4A_SPARSE_COUNTS_OBS_T100/data_rep10.rds","observation_sparse_counts",4.15,3,0.156666666666667,3735,39,-5.54605021652164,0.784014796234997,1.87467324440051,0.8155914724962,1.40511102208183
