"scenario_id","rep_id","data_file","stress_type","TT_short","TT_reference","TT_ratio_to_reference","n_cells","r_truth_mean","gamma_truth_mean","mean_count","median_count","zero_prop","total_count","max_count","count_sd","count_cv","variance_to_mean","q95_count","q99_count","kappa_cv","x2_mode","mean_x2_within_sd","min_x2_within_sd","mean_lag1_x2","beta0_star_ident","phi_ident_sd","lambda_raw_min","lambda_raw_median","lambda_raw_max","log_lambda_sd","delta_log_lambda_sd","delta_log_lambda_abs_mean"
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",1,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep01.rds","short_time_series",30,100,0.3,270,15,0.8,169.977777777778,125,0.0037037037037037,45894,1067,155.49799920618,0.914813696467264,142.251699447069,493,699.82,0.252439057783023,"continuous_time",0.968441280201895,0.865316599167168,0.303608846639784,-1.63700651766786,0.873892033610516,0.180977546015788,1.15579170525834,1.54581972091587,0.592532733841533,0.0267556729114781,0.0194327900839301
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",2,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep02.rds","short_time_series",30,100,0.3,270,15,0.8,180.344444444444,121,0,48693,1005,174.853980149797,0.969555678238045,169.530669316758,542.5,839.23,0.250360383303607,"continuous_time",0.958917218673873,0.587157969043721,0.410217829299142,-1.6790670388564,0.820440636324468,0.0499555340611998,1.15441667551447,1.46329080958384,0.892287830398588,0.0252158269116023,0.0182858031622155
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",3,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep03.rds","short_time_series",30,100,0.3,270,15,0.8,262.07037037037,178.5,0,70759,1969,298.223984976856,1.13795384253241,339.365129639741,799.349999999999,1745.24,0.271066544292323,"continuous_time",0.96379624528203,0.697592624807334,0.446425895466591,-1.33085390067906,0.378149887868421,0.794597914585854,1.23030934030739,1.5366191415799,0.160332593024325,0.0264801129135252,0.0169643447830762
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",4,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep04.rds","short_time_series",30,100,0.3,270,15,0.8,154.296296296296,109.5,0,41660,974,134.021807806208,0.868600290630731,116.411381211328,373.55,649.24,0.265057240895276,"continuous_time",0.968165353613314,0.873932828292156,0.473990032952982,-1.63172232835732,0.453344854329916,0.386147058165817,1.00548799377866,1.36693790726157,0.361995432744799,0.0223876250385366,0.0169054634687198
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",5,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep05.rds","short_time_series",30,100,0.3,270,15,0.8,272.874074074074,178,0,73676,1602,291.360759009176,1.06774804458002,311.099880699399,890.549999999999,1391.27,0.247073328516541,"continuous_time",0.972350709642739,0.715171004215336,0.439842875894594,-1.70345106821141,0.909886430433807,0.152307676588216,1.19401933518972,1.49840795940893,0.727582492150668,0.0231554982899326,0.0168058095916326
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",6,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep06.rds","short_time_series",30,100,0.3,270,15,0.8,217.725925925926,136.5,0,58786,2286,265.679179581115,1.22024595119418,324.193943200447,739.899999999996,1202.37,0.263673544911266,"continuous_time",0.941697919634106,0.643721521049692,0.402199639356612,-1.72461652830535,0.845580497966404,0.194613223850334,1.14645581603112,1.41831279764585,0.684846542560025,0.0256181926281951,0.0181155172611987
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",7,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep07.rds","short_time_series",30,100,0.3,270,15,0.8,131.248148148148,89,0.037037037037037,35437,773,127.362760515288,0.970396628922533,123.592393454303,385.65,573.96,0.271819605720266,"continuous_time",0.998960164476897,0.850086928257052,0.421547404153151,-2.1018943609622,1.77775899793108,0.000433644727638038,1.08496925793598,1.61249271121549,1.70857355343357,0.0924759769171921,0.0395310935324325
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",8,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep08.rds","short_time_series",30,100,0.3,270,15,0.8,139.237037037037,102,0.00740740740740741,37594,960,138.193749416554,0.992507111306846,137.158279034086,425.099999999999,621.8,0.237821934796557,"continuous_time",0.969529245133164,0.759339554174127,0.419847034165247,-1.88232533320233,1.00568474774232,0.0284476793136075,1.11646022880431,1.5956910911692,1.0711736668757,0.0369355547475352,0.0230978836654603
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",9,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep09.rds","short_time_series",30,100,0.3,270,15,0.8,237.322222222222,98,0,64077,1944,312.789565273112,1.31799526544221,412.255166109687,873.3,1337.91,0.286164695884746,"continuous_time",0.951633534843582,0.829312516290793,0.484134796555879,-1.92197728162427,1.09874161411444,0.0420420358730587,1.05533381873618,1.44601292465453,0.937786161426675,0.041911702905317,0.0247601795101572
"S4D_SHORT_TIME_T30_CONTINUOUS_X2",10,"./data_s4d_short_time_continuous_x2/S4D_SHORT_TIME_T30_CONTINUOUS_X2/data_rep10.rds","short_time_series",30,100,0.3,270,15,0.8,256.574074074074,149,0,69275,2079,297.766169197671,1.16054659954343,345.571515121432,822.949999999999,1365.64,0.249437070117007,"continuous_time",0.968355849890112,0.731966498587249,0.42427969453568,-1.50644081119884,0.599587948250454,0.363899355111019,1.17589417838648,1.42856130423437,0.384645777171416,0.0221446428185784,0.0162976272529906
