"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max"
"S3_DYNAMIC_LEARNED_GAMMA_T100",1,100,9,164.013333333333,0,TRUE,TRUE,FALSE,TRUE,0.8,0.765047877376571,0.0353050809283465,0.689535252022578,0.766710137711959,0.826153711380865,-0.0349521226234291,1,0.3589,0.0803861926287212,0.672003565894424,1.512122179452,-1.55101809603453,-1.55446031530182,0.00944214964682434,-1.57285762371165,-1.5544248019496,-1.53531414546089,-0.00344221926729094,1,0.5,0.48804818462293,0.0107409808430529,0.467105456263109,0.488251514490843,0.508747540134271,-0.01195181537707,1,-0.4,-0.397121106276563,0.00999814019066638,-0.416804485653328,-0.397025493029152,-0.377878949715547,0.00287889372343653,1,0.0251377981921574,0.997725345904638,-3.81639164714898e-17,15,15.4382626273851,0.438262627385072,10.8890652346006,15.2412290107676,21.0588866074986,1.47903154118425,-3431.61060026463,-4437.98961942226,0.237275,0.301863888888889,14.4954,299.036000000007,0.0573978327592685,0.0452565671067982,0.941111111111111,0.0571268166244394,0.0451278809514963,0.941111111111111,0.873338019224027,0.872032316381782,0.0219513076193181,0.0166997392936181,0.220072767406317,0.672003565894424,1.512122179452,0.762180204548529,1.33904505684357
"S3_DYNAMIC_LEARNED_GAMMA_T100",2,100,9,190.828888888889,0,TRUE,TRUE,FALSE,TRUE,0.8,0.872122834130554,0.0420962380210463,0.772972187828578,0.876111923353236,0.942893730250827,0.0721228341305535,1,0.33645,0.0920520291267848,0.867134424629295,1.16408300862199,-1.52214568450129,-1.52406298898646,0.00887244961140178,-1.54168139898649,-1.52401973689656,-1.50651610826534,-0.00191730448517502,1,0.5,0.487064955506452,0.00954939357954265,0.468549436585449,0.48693408610284,0.505928287175487,-0.0129350444935478,1,-0.4,-0.416288524009095,0.00929822222187026,-0.434564591273414,-0.416349460701504,-0.39800744029966,-0.0162885240090947,1,0.0211000026501234,0.996742077471375,-7.786980936607e-17,15,16.4143257508446,1.41432575084465,11.7024805826277,16.2324153720856,22.1435426680506,7.31084526423209,-3511.2120699112,-4558.36259693181,0.255525,0.307397222222222,14.537675,298.198999999993,0.044374011686482,0.0351143966672231,0.868888888888889,0.0443805276142526,0.0351156542566519,0.868888888888889,0.538696353394351,0.538470877890826,0.0191097253420106,0.0145738151828128,0.0770892846418967,0.867134424629295,1.16408300862199,0.926060173747515,1.05863297282238
"S3_DYNAMIC_LEARNED_GAMMA_T100",3,100,9,230.316666666667,0,TRUE,TRUE,FALSE,TRUE,0.8,0.854311934185213,0.0411618630462739,0.764955960434706,0.858412760133992,0.920938594964573,0.0543119341852134,1,0.332,0.0943783572089613,0.77194753777953,1.17803573190334,-1.40397869793906,-1.40067502287606,0.00947397784754754,-1.41895973553734,-1.40059919840942,-1.38275541687377,0.00330367506300022,1,0.5,0.502041726410007,0.0102822839885471,0.482551789567083,0.501977508205137,0.522710411797402,0.00204172641000677,1,-0.4,-0.409995584940911,0.00951818189286454,-0.428963823689832,-0.410063106540278,-0.391497872312654,-0.00999558494091085,1,0.0290629789420185,0.991920561072231,2.13563734598034e-16,15,14.7683564056897,-0.231643594310349,10.6485967829838,14.6182394100322,19.78308413837,6.2897156898865,-3571.30021933877,-4723.28826262481,0.233,0.307163888888889,14.426875,298.645000000004,0.041240555913391,0.033760038186331,0.938888888888889,0.0415332924258193,0.0338288038738124,0.938888888888889,0.801040390848076,0.798836987693506,0.0177239266128883,0.0136037409831444,0.152846572115142,0.77194753777953,1.17803573190334,0.926134633800849,1.09780865921083
"S3_DYNAMIC_LEARNED_GAMMA_T100",4,100,9,160.464444444444,0,TRUE,TRUE,FALSE,TRUE,0.8,0.804017641478168,0.0297753557172624,0.747379984502629,0.803773851498821,0.859168779877936,0.00401764147816841,1,0.337875,0.0902201937471618,0.681134707604779,1.38501022163585,-1.59011227919885,-1.59476419690342,0.00949693310419361,-1.61267562850835,-1.59470502913525,-1.57549092394503,-0.00465191770456919,1,0.5,0.505671544822105,0.0100831365307702,0.485285025855383,0.505705042295929,0.52572979835424,0.00567154482210486,1,-0.4,-0.412124607499994,0.00995836214685666,-0.431601651579566,-0.412190993639405,-0.39285994073313,-0.0121246074999936,1,0.0277005729555235,0.990973398438282,8.17247504237963e-17,15,15.4536082477063,0.453608247706256,10.9051763660295,15.2568988759934,21.0806411720931,8.14336783560472,-3426.73232781734,-4431.94172928598,0.27165,0.310238888888889,14.47215,303.509999999995,0.0479390559942676,0.0368929388671006,0.947777777777778,0.0475688537290377,0.0368624280056292,0.947777777777778,0.870041247576568,0.862190228189033,0.0210488709001907,0.0158792048718223,0.174324109161679,0.681134707604779,1.38501022163585,0.76981073542861,1.37218006721544
"S3_DYNAMIC_LEARNED_GAMMA_T100",5,100,9,281.008888888889,0,TRUE,TRUE,FALSE,TRUE,0.8,0.833599869619663,0.053432996630857,0.717477296707172,0.846293326697049,0.908227274621874,0.033599869619663,1,0.345675,0.0840911162731844,0.820762434234092,1.21437773334684,-1.53963015075169,-1.52784886705661,0.00927382073954369,-1.5459157090998,-1.52781136957401,-1.5098951825546,0.0117812836950799,1,0.5,0.4890490548502,0.00985576492764877,0.469227604074193,0.489267499478594,0.50794071472605,-0.0109509451497998,1,-0.4,-0.399167345415889,0.00976535805801774,-0.418278929702841,-0.399033382060266,-0.380129028085704,0.00083265458411097,1,0.0246760314325532,0.997998036813987,-6.63049861928913e-17,15,15.4164617825889,0.416461782588861,11.0929474390231,15.2637260830603,20.6791955764635,1.44166277877337,-3614.89275248237,-4789.67970026325,0.2592,0.305641666666667,14.5255,305.505000000005,0.0467535290865465,0.0347187508068523,0.917777777777778,0.0473416857909373,0.0348997512177727,0.917777777777778,0.661640387350819,0.653230761095823,0.0185419694209887,0.0134022736597436,0.161366799668951,0.820762434234092,1.21437773334684,0.873215034936122,1.10235713281132
"S3_DYNAMIC_LEARNED_GAMMA_T100",6,100,9,213.898888888889,0,TRUE,TRUE,FALSE,TRUE,0.8,0.708905030803209,0.0395597287917276,0.628547335851624,0.711121982771981,0.785167210732711,-0.0910949691967906,0,0.35985,0.0828468262141062,0.687019697752817,1.29212472395296,-1.44814607902023,-1.45992955235613,0.00906585720880447,-1.47697078260656,-1.46011917911043,-1.44157239695421,-0.0117834733358997,1,0.5,0.504422997127827,0.0104920102048028,0.483295228382834,0.504415902142099,0.52501801406099,0.00442299712782745,1,-0.4,-0.400141093947052,0.00968384318443278,-0.419045153367438,-0.400220552262545,-0.381671532137126,-0.000141093947051973,1,0.0230522498292438,0.997647724971435,2.4825820411757e-16,15,15.3240218090655,0.324021809065547,10.9483642638702,15.1549378325693,20.6453892642769,1.99978592509705,-3562.13737333732,-4682.10600094509,0.2692,0.297708333333333,14.508325,301.275999999998,0.0450064498887944,0.035576879624355,0.983333333333333,0.044663174913935,0.0353238605518894,0.983333333333333,0.824577675972314,0.826712054067919,0.0174327239876544,0.0135410816091123,0.200861899874743,0.687019697752817,1.29212472395296,0.78063847043558,1.22908841896401
"S3_DYNAMIC_LEARNED_GAMMA_T100",7,100,9,205.13,0,TRUE,TRUE,FALSE,TRUE,0.8,0.772145236044272,0.0331783802300071,0.70117866559655,0.774364923342447,0.830549938587462,-0.0278547639557277,1,0.36715,0.0745621435926957,0.773283088022971,1.46034747956778,-1.48655364988887,-1.47786817805541,0.00966701278574066,-1.49673382106381,-1.47770689606881,-1.45945340093736,0.00868547183346058,1,0.5,0.499209453592749,0.0111291562556075,0.477907425507633,0.49920401055523,0.520958130449112,-0.000790546407251458,1,-0.4,-0.39137497990225,0.0100767406685698,-0.410283375902612,-0.39147222966896,-0.371806684294423,0.00862502009774974,1,0.0164396864095573,0.999799600589096,-4.1500849824584e-16,15,14.9007647739436,-0.0992352260564111,10.5030849311224,14.7180523035259,20.3841105323893,2.03589960333314,-3433.64654230876,-4465.25711384552,0.2538,0.304383333333333,14.438325,302.22600000001,0.0517878985253372,0.0392081091234466,0.968888888888889,0.0508480536856011,0.0388184106110139,0.968888888888889,0.881305162053836,0.877674592245635,0.0229214120890398,0.0170047959597089,0.225019754030687,0.773283088022971,1.46034747956778,0.823501213229329,1.33225868127733
"S3_DYNAMIC_LEARNED_GAMMA_T100",8,100,9,174.394444444444,0,TRUE,TRUE,FALSE,TRUE,0.8,0.765293912385917,0.0369209647826531,0.690294454618384,0.766848542671557,0.8306423762335,-0.0347060876140832,1,0.35445,0.0836836628425316,0.83253927762397,1.34519007743444,-1.5147890397372,-1.51283661292624,0.00919290961169263,-1.53083506374754,-1.51272044549719,-1.49491277348431,0.00195242681096364,1,0.5,0.517360020893134,0.0105852793087787,0.496996881436243,0.517247384944419,0.53875112551954,0.017360020893134,1,-0.4,-0.396826740898306,0.00968023392832281,-0.41523912425328,-0.39690356424896,-0.378082849927525,0.00317325910169408,1,0.0219964149571409,0.997699150577902,-1.88892111828586e-16,15,15.2865495507503,0.286549550750253,10.8397158355022,15.111870327583,20.7069209745584,3.08771111256442,-3450.99396381983,-4481.03694015371,0.27625,0.299519444444444,14.4935,303.338000000003,0.0505025440351787,0.0400619941931243,0.958888888888889,0.0508500602757451,0.0402631736845948,0.958888888888889,0.769410764254877,0.757187842487117,0.0199517383423325,0.015132392268865,0.16859045176371,0.83253927762397,1.34519007743444,0.851516566446923,1.2537852364673
"S3_DYNAMIC_LEARNED_GAMMA_T100",9,100,9,178.144444444444,0,TRUE,TRUE,FALSE,TRUE,0.8,0.778609368191012,0.0368761885945183,0.701391934797066,0.780238751274598,0.845299668437119,-0.0213906318089884,1,0.343225,0.0893179918096902,0.619037333121575,1.50217806132883,-1.65564478525192,-1.65713880480854,0.00964225693399956,-1.67530786689493,-1.65733989070369,-1.63799184462171,-0.00149401955661999,1,0.5,0.489132829099428,0.0104599420260637,0.468491635162201,0.489227437270947,0.509601484594525,-0.0108671709005716,1,-0.4,-0.403492939748794,0.0100605594294135,-0.422846863494221,-0.403466408083519,-0.384080806858306,-0.00349293974879444,1,0.0269619678725672,0.998960279307152,-2.72737079834131e-16,15,14.8522357882218,-0.147764211778165,10.4265259649652,14.6395147364084,20.2631650948654,0.75125401302455,-3444.74173507949,-4487.38057324457,0.250725,0.309363888888889,14.430325,299.506999999998,0.0482689917060859,0.0358082717938069,0.97,0.0470420162997525,0.035519326306616,0.97,0.88475475307753,0.89604403231973,0.02380127972899,0.0169684038957479,0.229812610308544,0.619037333121575,1.50217806132883,0.720104508797926,1.21208349524102
"S3_DYNAMIC_LEARNED_GAMMA_T100",10,100,9,188.225555555556,0,TRUE,TRUE,FALSE,TRUE,0.8,0.874941950996038,0.0420201288344943,0.783327592233712,0.8742229942298,0.946934238632038,0.0749419509960378,1,0.32035,0.101257232039463,0.755548547412699,1.44251539876033,-1.67500995209964,-1.66635239784762,0.00950583807387082,-1.68518224260702,-1.66626440276398,-1.64786774190767,0.00865755425201509,1,0.5,0.532103929230968,0.0102470311887685,0.512066026444113,0.532166504251417,0.552489261018918,0.0321039292309684,0,-0.4,-0.394189156997662,0.00957145953304958,-0.413411086173339,-0.394100250378365,-0.375593759562351,0.00581084300233758,1,0.0456128869793906,0.99591686103054,-9.25185853854297e-17,15,14.7560730703785,-0.24392692962145,10.4915956250177,14.6051422628468,19.9421116318347,2.06421344164644,-3470.28225044892,-4529.77903754982,0.23505,0.300447222222222,14.4482,298.805999999997,0.0609357452264944,0.0466795482715003,0.766666666666667,0.0603690496675458,0.0466281191042019,0.766666666666667,0.734779546286376,0.729856040101407,0.0201877396434428,0.0151881450792922,0.239438296063866,0.755548547412699,1.44251539876033,0.904615025551511,1.12034315624991
