"scenario_id","rep_id","TT","n1","mean_count","zero_prop","dynamic_lambda_in_truth","lambda_sampled_in_fit","gamma_fixed_in_fit","gamma_learned_in_fit","gamma_truth_mean","gamma_mean","gamma_sd","gamma_q025","gamma_q50","gamma_q975","gamma_bias","gamma_covered","gamma_accept_rate","gamma_proposal_sd_final","lambda_truth_min","lambda_truth_max","beta0_true","beta0_mean","beta0_sd","beta0_q025","beta0_q50","beta0_q975","beta0_bias","beta0_covered","beta1_true","beta1_mean","beta1_sd","beta1_q025","beta1_q50","beta1_q975","beta1_bias","beta1_covered","beta2_true","beta2_mean","beta2_sd","beta2_q025","beta2_q50","beta2_q975","beta2_bias","beta2_covered","phi_rmse","phi_cor","phi_mean_bias","r_true_mean","r_mean","r_bias","r_q025_mean","r_q50_mean","r_q975_mean","tau_phi_mean","loglik_mean","loglik_nb_mean","phi_accept_rate","r_accept_rate_mean","beta_mean_n_reject","elapsed_sec","lambda_rmse","lambda_mae","lambda_coverage_95","log_lambda_rmse","log_lambda_mae","log_lambda_coverage_95","cor_lambda","cor_log_lambda","rmse_delta_log_lambda","mae_delta_log_lambda","cor_delta_log_lambda","lambda_truth_min","lambda_truth_max","lambda_post_mean_min","lambda_post_mean_max","oracle_lambda_fixed_in_fit","oracle_lambda_source","stress_type","sparse_beta0_shift","expected_count_multiplier","reference_mean_count","reference_zero_prop","observed_mean_count","observed_zero_prop","observed_total_count","observed_max_count","x2_mode","x2_ar","x2_innov_sd","lambda_oracle_min","lambda_oracle_max","oracle_phi_fixed_in_fit","oracle_phi_source","s4a_oracle_beta_guard_count","s4a_oracle_kappa_guard_count","s4a_oracle_lamphi_beta_guard_count","s4a_oracle_lamphi_kappa_guard_count"
"S4A_ORACLE_LAMBDA_PHI_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100",1,100,9,2.22555555555556,0.358888888888889,TRUE,FALSE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.258601708347133,2.09912711965495,-6.38511540131423,-6.37435509354689,0.0297106681859575,-6.43414627801891,-6.37423306623564,-6.31603697078747,0.0107603077673426,1,0.5,0.512982121255574,0.0275866818249763,0.460743810759007,0.512347949497243,0.567502398348457,0.0129821212555744,1,-0.4,-0.402778265796321,0.0277073882822071,-0.457679259519655,-0.402362974251903,-0.348071621542616,-0.00277826579632084,1,6.75874805445116e-14,1,1.98236488952514e-14,15,13.625803160888,-1.37419683911199,3.7660497538714,11.2749620819335,37.0940781286959,1,-1248.82010984881,-1328.23227996115,NA,0.309344444444444,12.409825,125.898000000001,0,0,1,0,0,1,1,1,0,0,1,0.258601708347133,2.09912711965495,0.258601708347133,2.09912711965495,TRUE,"lambda_tilde_ident","observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2.22555555555556,0.358888888888889,2003,19,"continuous_time",0.5,0.8,0.258601708347133,2.09912711965495,TRUE,"phi_star_ident",0,0,0,0
"S4A_ORACLE_LAMBDA_PHI_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100",4,100,9,1.95777777777778,0.312222222222222,TRUE,FALSE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.368683096446175,2.48743034067827,-6.24893288975913,-6.22448593182705,0.0299373842176969,-6.28455298914674,-6.2243206634466,-6.16644948555264,0.024446957932077,1,0.5,0.479676869499391,0.0276350087649331,0.4253753594823,0.480192140221472,0.533806324790916,-0.0203231305006089,1,-0.4,-0.349036873119728,0.0280261675720017,-0.401770866840047,-0.348629514001662,-0.293055956351899,0.0509631268802725,1,5.01876549296799e-14,1,7.56956226095124e-15,15,14.0659663673827,-0.934033632617323,3.93635699025901,11.5398017168906,38.3094469488912,1,-1306.8831661481,-1378.49014922296,NA,0.309375,12.313475,123.527000000002,0,0,1,0,0,1,1,1,0,0,1,0.368683096446175,2.48743034067827,0.368683096446175,2.48743034067827,TRUE,"lambda_tilde_ident","observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,1.95777777777778,0.312222222222222,1762,16,"continuous_time",0.5,0.8,0.368683096446175,2.48743034067827,TRUE,"phi_star_ident",0,0,0,0
"S4A_ORACLE_LAMBDA_PHI_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100",8,100,9,2.62,0.312222222222222,TRUE,FALSE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.51553310740229,2.20549534575597,-6.04725193697302,-6.058371658647,0.0271012232661504,-6.11136121537352,-6.05834322187424,-6.00574146386167,-0.0111197216739711,1,0.5,0.505976306638327,0.0257310928953859,0.455323893074061,0.50609284573292,0.555249997133236,0.00597630663832738,1,-0.4,-0.422468846081383,0.0252438926119921,-0.472528361801183,-0.422381882014047,-0.373933933377876,-0.0224688460813833,1,3.13983753052895e-14,1,1.87604561515305e-14,15,14.2572745968338,-0.742725403166194,4.27722790400747,11.885668870703,37.4067443507583,1,-1330.41193225748,-1414.8339167327,NA,0.308094444444444,12.49405,123.220000000001,0,0,1,0,0,1,1,1,0,0,1,0.51553310740229,2.20549534575597,0.51553310740229,2.20549534575597,TRUE,"lambda_tilde_ident","observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,2.62,0.312222222222222,2358,47,"continuous_time",0.5,0.8,0.51553310740229,2.20549534575597,TRUE,"phi_star_ident",0,0,0,0
"S4A_ORACLE_LAMBDA_PHI_FIXED_GAMMA_CONTINUOUS_X2_DIAGNOSTIC_T100",10,100,9,3.10777777777778,0.223333333333333,TRUE,FALSE,TRUE,FALSE,0.8,0.8,0,0.8,0.8,0.8,0,1,NA,NA,0.672952675047904,1.70989759174562,-5.85878847912896,-5.83877405842419,0.0260452202315786,-5.88932510147306,-5.83836034015334,-5.78802068109753,0.020014420704773,1,0.5,0.492238233721869,0.0249036336598273,0.443766374844186,0.492454498387147,0.540481964477708,-0.00776176627813147,1,-0.4,-0.404956592984765,0.0241341114608656,-0.451991426194668,-0.404762102892795,-0.358746038252014,-0.00495659298476503,1,2.53674775646463e-14,1,-4.03689427565092e-15,15,12.9119722350313,-2.08802776496874,4.23320242035966,11.0430731385027,32.3933019520369,1,-1520.51445367908,-1644.05539721837,NA,0.306233333333333,12.58135,126.944000000003,0,0,1,0,0,1,1,1,0,0,1,0.672952675047904,1.70989759174562,0.672952675047904,1.70989759174562,TRUE,"lambda_tilde_ident","observation_sparse_counts",-4.25,0.0142642339089993,NA,NA,3.10777777777778,0.223333333333333,2797,41,"continuous_time",0.5,0.8,0.672952675047904,1.70989759174562,TRUE,"phi_star_ident",0,0,0,0
