"scenario_id","rep_id","fit_status","mean_count","zero_prop","observed_total_count","max_count","count_cv","reference_count_cv","count_cv_increase","variance_to_mean","reference_variance_to_mean","variance_to_mean_increase","kappa_truth_cv","reference_kappa_cv","kappa_cv_increase","beta0_mean","beta1_mean","beta2_mean","r_mean","r_stress_truth","lambda_rmse","log_lambda_rmse","cor_log_lambda","kappa_post_mean_cv","kappa_rmse","log_kappa_rmse","cor_log_kappa","phi_rmse","phi_cor","s4c_beta_guard_count","s4c_kappa_guard_count","s4c_lambda_input_guard_count","s4c_lambda_output_guard_count","x2_mode","x2_ar","x2_innov_sd","x2_sd","x2_empirical_ar1_mean","x2_binary_like_prop"
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",1,"stable",151.033333333333,0.02,135930,2182,1.38345400944299,1.0742851698924,0.309168839550592,289.069492599369,175.429165114287,113.640327485082,0.593185688707907,0.258947395826071,0.334238292881836,-2.15016768994941,0.496387977541734,-0.383917553139783,3.43533864247257,3,0.111402457218324,0.118135941187548,0.832006424103131,0.552089183440613,0.219303044523332,0.252683152891114,0.925499642718324,0.0398505980713083,0.999653040214496,0,0,0,0,"continuous_time",0.5,0.8,1,0.500702401548939,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",2,"stable",226.344444444444,0,203710,3027,1.21407694425013,0.937932975469486,0.276143968780642,333.627823998313,200.626592922361,133.001231075952,0.561834006096334,0.256034194875787,0.305799811220547,-1.40656256629738,0.508724549703962,-0.399466544562962,3.12967511810985,3,0.0583661150283944,0.0585226147716268,0.578672603749777,0.550210372851949,0.119149203359472,0.128546206890891,0.980087799816977,0.0334124940155,0.994214913118892,0,0,0,0,"continuous_time",0.5,0.8,1,0.471020565051243,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",3,"stable",218.282222222222,0,196454,1643,1.01699750224005,0.852255586798895,0.164741915441159,225.765792370815,152.19961782103,73.5661745497844,0.57147030228633,0.256230128680154,0.315240173606176,-1.43152892930564,0.492591901510162,-0.401960050680796,3.31754226488354,3,0.0525330000061346,0.052669480218783,0.620837890171793,0.550128064202011,0.138328217534599,0.139985426647588,0.974534222271402,0.064324303935699,0.974553914892382,0,0,0,0,"continuous_time",0.5,0.8,1,0.451410892465294,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",4,"stable",132.796666666667,0.0177777777777778,119517,2233,1.18650955333716,0.942185474841353,0.244324078495808,186.951800714227,119.982366122015,66.9694345922118,0.576570042937448,0.259215559967755,0.317354482969693,-2.02710786964097,0.501591954058597,-0.424118913902868,3.21278606039097,3,0.0911252678943015,0.0950996256437229,0.891503107227089,0.545871901772114,0.195675466767938,0.217200217457692,0.938483666531456,0.0550959354348271,0.998538291071345,0,0,0,0,"continuous_time",0.5,0.8,1,0.478792173148008,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",5,"stable",297.7,0,267930,3551,1.4621049023105,1.31293263219881,0.149172270111688,636.408396893795,519.575837162296,116.832559731499,0.567865730850437,0.252775616666037,0.315090114184399,-1.57555762757685,0.490644519618602,-0.434747428379956,3.21518867975912,3,0.0624440100398487,0.063512706443366,0.249814720903183,0.548396542762853,0.127127385051076,0.137976594936852,0.975593888092418,0.0510550610046551,0.995075920827223,0,0,0,0,"continuous_time",0.5,0.8,1,0.491010886099061,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",6,"stable",218.482222222222,0.00111111111111111,196634,1976,1.11748095057816,0.99466651154006,0.122814439038104,272.83266272365,208.809135232371,64.0235274912793,0.585163215941234,0.261590752730952,0.323572463210282,-1.61164061416712,0.497586246525139,-0.385220706694889,3.16689162682779,3,0.0764998774747094,0.077077769918672,0.59699608835293,0.564384737955095,0.143212362117783,0.156310158259655,0.967555138650125,0.0552407473130324,0.998019717419144,0,0,0,0,"continuous_time",0.5,0.8,1,0.509936183848334,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",7,"stable",203.063333333333,0.00111111111111111,182757,3268,1.50114667837209,1.34949364628374,0.151653032088355,457.591311999642,381.464656817019,76.1266551826239,0.564157339244969,0.252604339666327,0.311552999578642,-1.6906079601591,0.497779683882041,-0.410139316794215,3.20979563282833,3,0.0766863980748448,0.0775383478807086,0.752891082682344,0.537355192047103,0.163732974139892,0.197241993281569,0.954493141207878,0.0442345183795788,0.998413092315911,0,0,0,0,"continuous_time",0.5,0.8,1,0.433517572431339,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",8,"stable",179.492222222222,0.00222222222222222,161543,4502,1.64534810584346,1.33418083226871,0.311167273574743,485.91602912808,330.760819343525,155.155209784555,0.568342752347621,0.261538288927094,0.306804463420527,-1.79245324398378,0.441610186089699,-0.400615720954519,3.30493129574309,3,0.0797368700437318,0.0717418530215609,0.904360579784576,0.543785531168769,0.196016331037491,0.204703919327345,0.942795489466933,0.0736294046984851,0.997324789001577,0,0,0,0,"continuous_time",0.5,0.8,1,0.485235053854419,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",9,"stable",195.578888888889,0,176021,2579,1.24670997455127,0.981189950781464,0.265520023769808,303.985482082894,187.051673772744,116.93380831015,0.595184006865941,0.262406418227967,0.332777588637973,-1.59808713688418,0.491391051494443,-0.393469510903644,2.88701044358133,3,0.0608703967526931,0.0597927172163207,0.639964465369799,0.58248747754158,0.128673050934079,0.139791315070985,0.976336765388301,0.0553224934910652,0.985939838537547,0,0,0,0,"continuous_time",0.5,0.8,1,0.466240347271394,0
"S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100",10,"stable",215.378888888889,0.00111111111111111,193841,2937,1.26168179230683,1.1156490964437,0.146032695863125,342.848934030246,266.235534678029,76.6133993522171,0.555135387832386,0.253628306318283,0.301507081514104,-1.60871841359593,0.528550716640447,-0.417305104835192,3.06203561302625,3,0.0737191714636926,0.0713928763703383,0.79645850683608,0.53938108349823,0.129559633808818,0.137159717945862,0.976753406845739,0.0276548673041748,0.999048780216618,0,0,0,0,"continuous_time",0.5,0.8,1,0.488604066010629,0
