"scenario","subset","n_reps","mean_count_avg","zero_prop_avg","beta1_mean_avg","beta2_mean_avg","beta2_mean_sd","r_mean_avg","log_lambda_rmse_avg","cor_log_lambda_avg"
"S3 control","control reps",3,195.05,0,0.4918,-0.4077,0.0089,NA,0.0472,0.734
"S4C overdispersion","stable+soft",10,203.815222222222,0.00433333333333334,0.494685878706483,-0.405096085084882,0.0165190218114929,3.19411953776228,0.0745483932672647,0.68635054691807
